$ctr_tr4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWK-MOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS   ,Gen1(tracer),Gen2(Age),Gen3(FC),ISS,PO4   ,NH4   ,NO3   ,LDOM  ,RDOM  ,LPOM  ,RPOM  ,BOD1,BOD2,BOD3,BOD4,BOD5,BOD6,BOD7,BOD8,BOD9,BOD10,BODP1,BODP2,BODP3,BODP4,BODP5,BODP6,BODP7,BODP8,BODP9,BODP10,BODN1,BODN2,BODN3,BODN4,BODN5,BODN6,BODN7,BODN8,BODN9,BODN10,ALG1  ,DO    ,TIC   ,ALK   ,ZOO1  ,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
1,0,0,0,0,2.856357143,0.012,0.016,0.0725,0.453571429,0.453571429,0.453571429,0.453571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365,10.21,9.572,37.33333333,0.01,0.00068175,0.002727,0.00068175,0.002727,0.067145,0.067145,0.067145,0.067145
218,0,0,0,0,3.448857143,0.012,0.016,0.0725,0.453571429,0.453571429,0.453571429,0.453571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,9.02,9.2013,37.33333333,0.01,0.000678,0.002712,0.000678,0.002712,0.066995,0.066995,0.066995,0.066995
260,0,0,0,0,4.463857143,0.019,0.02,0.132,0.453571429,0.453571429,0.453571429,0.453571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,11.4,9.7357,37.33333333,0.01,0.0010855,0.004342,0.0010855,0.004342,0.04442,0.04442,0.04442,0.04442
568,0,0,0,0,0.656357143,0.005,0.012,0.013,0.453571429,0.453571429,0.453571429,0.453571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365,10.21,9.4073,37.33333333,0.01,0.00028175,0.001127,0.00028175,0.001127,0.09002,0.09002,0.09002,0.09002
730,0,0,0,0,2.856357143,0.012,0.016,0.0725,0.453571429,0.453571429,0.453571429,0.453571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365,10.21,9.5873,37.33333333,0.01,0.00068175,0.002727,0.00068175,0.002727,0.067145,0.067145,0.067145,0.067145
