$Columbia Slough wind sheltering file                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                    
JDAY,   1,   2,   3,   4,   5,   6,   7,
      1.0000,   0.250,   0.250,   0.250,   0.250,   0.250,   0.250,   0.250,
   1095.0000,   0.250,   0.250,   0.250,   0.250,   0.250,   0.250,   0.250,
