$Inflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4405,57.46,0,0,4.919,0,108.1,1342,219.2,22.78,0.1166,6.62E-02,0.3303,0.1352,0.1352,0.1352,0.1352,0.1,7.9,7.306,25.2,6.76E-04,6.76E-04,6.76E-04,6.76E-04,1.08E-02,1.08E-02,1.08E-02,1.08E-02
4406,57.46,0,0,4.92,0,108.5,1342,219.2,22.77,0.1161,6.53E-02,0.3259,0.136,0.136,0.136,0.136,0.1,7.9,7.306,25.34,6.80E-04,6.80E-04,6.80E-04,6.80E-04,1.09E-02,1.09E-02,1.09E-02,1.09E-02
4407,57.46,0,0,4.922,0,109,1342,219.2,22.76,0.1156,6.45E-02,0.3214,0.1368,0.1368,0.1368,0.1368,0.1,7.9,7.307,25.47,6.84E-04,6.84E-04,6.84E-04,6.84E-04,1.10E-02,1.10E-02,1.10E-02,1.10E-02
4408,57.47,0,0,4.923,0,109.5,1342,219.2,22.74,0.1151,6.37E-02,0.317,0.1377,0.1377,0.1377,0.1377,0.1,7.9,7.309,25.61,6.88E-04,6.88E-04,6.88E-04,6.88E-04,1.10E-02,1.10E-02,1.10E-02,1.10E-02
4409,57.47,0,0,4.924,0,109.9,1342,219.2,22.73,0.1145,6.29E-02,0.3126,0.1385,0.1385,0.1385,0.1385,0.1,7.9,7.312,25.74,6.92E-04,6.92E-04,6.92E-04,6.92E-04,1.11E-02,1.11E-02,1.11E-02,1.11E-02
4410,57.48,0,0,4.926,0,110.4,1342,219.2,22.72,0.114,6.20E-02,0.3081,0.1393,0.1393,0.1393,0.1393,0.1,7.9,7.315,25.88,6.96E-04,6.96E-04,6.96E-04,6.96E-04,1.11E-02,1.11E-02,1.11E-02,1.11E-02
4411,57.48,0,0,4.927,0,110.9,1342,219.2,22.71,0.1135,6.12E-02,0.3037,0.1401,0.1401,0.1401,0.1401,0.1,7.9,7.319,26.01,7.00E-04,7.00E-04,7.00E-04,7.00E-04,1.12E-02,1.12E-02,1.12E-02,1.12E-02
4412,57.48,0,0,4.928,0,111.4,1342,219.2,22.69,0.113,6.04E-02,0.2993,0.1409,0.1409,0.1409,0.1409,0.1,7.9,7.324,26.15,7.04E-04,7.04E-04,7.04E-04,7.04E-04,1.13E-02,1.13E-02,1.13E-02,1.13E-02
4413,57.49,0,0,4.93,0,111.8,1342,219.2,22.68,0.1124,5.95E-02,0.2948,0.1417,0.1417,0.1417,0.1417,0.1,7.9,7.329,26.29,7.08E-04,7.08E-04,7.08E-04,7.08E-04,1.13E-02,1.13E-02,1.13E-02,1.13E-02
4414,57.49,0,0,4.931,0,112.3,1342,219.2,22.67,0.1119,5.87E-02,0.2904,0.1425,0.1425,0.1425,0.1425,0.1,7.9,7.336,26.42,7.12E-04,7.12E-04,7.12E-04,7.12E-04,1.14E-02,1.14E-02,1.14E-02,1.14E-02
4415,57.49,0,0,4.932,0,112.8,1342,219.2,22.65,0.1114,5.79E-02,0.286,0.1433,0.1433,0.1433,0.1433,0.1,7.9,7.342,26.56,7.16E-04,7.16E-04,7.16E-04,7.16E-04,1.15E-02,1.15E-02,1.15E-02,1.15E-02
4416,57.5,0,0,4.934,0,113.2,1342,219.2,22.64,0.1109,5.71E-02,0.2815,0.1441,0.1441,0.1441,0.1441,0.1,7.9,7.35,26.69,7.21E-04,7.21E-04,7.21E-04,7.21E-04,1.15E-02,1.15E-02,1.15E-02,1.15E-02
4417,57.5,0,0,4.935,0,113.7,1342,219.2,22.63,0.1103,5.62E-02,0.2771,0.1449,0.1449,0.1449,0.1449,0.1,7.9,7.357,26.83,7.25E-04,7.25E-04,7.25E-04,7.25E-04,1.16E-02,1.16E-02,1.16E-02,1.16E-02
4418,57.51,0,0,4.936,0,114.2,1342,219.2,22.61,0.1098,5.54E-02,0.2726,0.1457,0.1457,0.1457,0.1457,0.1,7.9,7.366,26.96,7.29E-04,7.29E-04,7.29E-04,7.29E-04,1.17E-02,1.17E-02,1.17E-02,1.17E-02
4419,57.51,0,0,4.938,0,114.6,1342,219.2,22.6,0.1093,5.46E-02,0.2682,0.1465,0.1465,0.1465,0.1465,0.1,7.9,7.375,27.1,7.33E-04,7.33E-04,7.33E-04,7.33E-04,1.17E-02,1.17E-02,1.17E-02,1.17E-02
