$R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4404,39.89,0,0,1.167,0,42.82,1600,180,7.22,6.47E-02,0.1343,0.4911,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.041,16.46,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4405,40.21,0,0,1.166,0,42.88,1600,180,7.047,6.43E-02,0.1333,0.481,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.018,16.5,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4406,40.53,0,0,1.165,0,42.94,1600,180,6.874,6.38E-02,0.1322,0.4708,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.996,16.54,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4407,40.84,0,0,1.165,0,43,1600,180,6.701,6.34E-02,0.1312,0.4607,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.975,16.57,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4408,41.16,0,0,1.164,0,43.06,1600,180,6.528,6.29E-02,0.1301,0.4506,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.954,16.61,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4409,41.47,0,0,1.163,0,43.12,1600,180,6.355,6.25E-02,0.1291,0.4405,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.933,16.64,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4410,41.79,0,0,1.163,0,43.18,1600,180,6.182,6.20E-02,0.128,0.4303,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.913,16.68,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4411,42.11,0,0,1.162,0,43.24,1600,180,6.009,6.16E-02,0.127,0.4202,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.893,16.71,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4412,42.42,0,0,1.161,0,43.29,1600,180,5.836,6.11E-02,0.1259,0.4101,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.874,16.75,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4413,42.74,0,0,1.161,0,43.35,1600,180,5.663,6.07E-02,0.1249,0.3999,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.855,16.79,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
