$ BONNEVILLE-DAM AT COLUMBIA RIVER TAILWATER_TWELEV.csv based on BONNEVILLE-DAM AT COLUMBIA RIVER TAILWATER/ELEV-TAILWATER NAVD88 from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  feet ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","BONNEVILLE.DAM.AT.COLUMBIA.RIVER.TAILWATER_TWELEV"
40913,18.9
40914,18.06
40915,17.81
40916,15.22
40917,16.74
40918,17.92
40919,17.94
40920,17.38
40921,16.35
40922,17.74
40923,16.79
40924,17.43
40925,17.4
40926,15.55
40927,18.71
40928,19.01
40929,18.83
40930,18.52
40931,19.26
40932,19.68
40933,18.27
40934,18.52
40935,19.3
40936,18.73
40937,18.92
40938,18.21
40939,19.16
40940,20.35
40941,19.78
40942,19.47
40943,19.1
40944,20.06
40945,19.28
40946,19.52
40947,17.66
40948,17.8
40949,19.05
40950,19.63
40951,18.79
40952,19.92
40953,18.23
40954,19.1
40955,19.66
40956,19.96
40957,18.52
40958,18.12
40959,20.1
40960,20.56
40961,18.93
40962,19.26
40963,24.44
40964,23.99
40965,21.08
40966,22.46
40967,22.02
40968,20.78
40969,18.46
40970,17.88
40971,17.97
40972,17.41
40973,17.37
40974,16.46
40975,17.29
40976,18.05
40977,16.79
40978,15.76
40979,16.63
40980,15.64
40981,17.28
40982,17.97
40983,18.12
40984,18.57
40985,19.98
40986,21.82
40987,21.92
40988,22.61
40989,19.11
40990,19.7
40991,19.45
40992,21.05
40993,20.19
40994,21.37
40995,20.45
40996,20.63
40997,22.6
40998,23.82
40999,22.76
41000,24.75
41001,27.87
41002,29
41003,27.3
41004,25.65
41005,25.49
41006,24.85
41007,26.09
41008,25.54
41009,24.05
41010,23.72
41011,26.01
41012,25.52
41013,24.95
41014,27.06
41015,27.56
41016,26.19
41017,26.62
41018,26.79
41019,26.96
41020,25.64
41021,27.74
41022,27.51
41023,26.63
41024,26.5
41025,29.1
41026,29.53
41027,30.62
41028,32.7
41029,31.25
41030,29.81
41031,29.96
41032,30.34
41033,29.52
41034,30.17
41035,29.49
41036,28.35
41037,27.72
41038,26.83
41039,26.33
41040,27.24
41041,28.38
41042,28.08
41043,25.88
41044,26.59
41045,29.12
41046,28.82
41047,29.67
41048,31.44
41049,30.06
41050,29.05
41051,29.15
41052,28.03
41053,30.22
41054,31.43
41055,30.23
41056,28.9
41057,28.86
41058,28.17
41059,26.49
41060,26.53
41061,26.05
41062,26.8
41063,28.22
41064,28.78
41065,29.94
41066,31.26
41067,32.89
41068,33.36
41069,32.24
41070,32.52
41071,32.31
41072,32.07
41073,30.77
41074,30.42
41075,31.26
41076,31.65
41077,30.41
41078,31.95
41079,31.16
41080,32.62
41081,31.64
41082,31.86
41083,30.54
41084,31.38
41085,31.29
41086,32.18
41087,30.45
41088,32.34
41089,30.18
41090,29.83
41091,29.93
41092,31.17
41093,32.42
41094,31.11
41095,31.58
41096,32.48
41097,31.22
41098,30.57
41099,30.6
41100,30.62
41101,30.27
41102,29.86
41103,30.1
41104,29.65
41105,29.27
41106,28.25
41107,31.26
41108,29.37
41109,27.68
41110,27.75
41111,27.41
41112,28.02
41113,26.95
41114,27.27
41115,26.74
41116,25.63
41117,26.01
41118,25.93
41119,24.74
41120,25.82
41121,23.94
41122,24.43
41123,22.93
41124,22.17
41125,22.88
41126,20.57
41127,20.42
41128,20.74
41129,20.87
41130,21.79
41131,20.98
41132,21.47
41133,20.18
41134,20.53
41135,20.04
41136,18.73
41137,19.53
41138,18.82
41139,18.16
41140,18.59
41141,16.79
41142,19.19
41143,17.09
41144,18.59
41145,15.94
41146,17.68
41147,16.89
41148,15.19
41149,17.2
41150,14.57
41151,15.48
41152,15.02
41153,15.34
41154,14.28
41155,11.03
41156,12.32
41157,12.87
41158,13.43
41159,14.7
41160,12
41161,12.33
41162,11.09
41163,12.96
41164,13.05
41165,13.64
41166,12.02
41167,12.42
41168,12.19
41169,12.14
41170,13.04
41171,12.89
41172,14.27
41173,12.56
41174,13.15
41175,11.9
41176,12.33
41177,12.16
41178,13.23
41179,13.81
41180,12.91
41181,13.32
41182,13.04
41183,12.29
41184,12.15
41185,12.74
41186,14.32
41187,13.53
41188,12.52
41189,12.45
41190,12.75
41191,12.46
41192,13.73
41193,13.93
41194,12.65
41195,13.16
41196,12.82
41197,13.01
41198,13.76
41199,12.99
41200,15.04
41201,14.37
41202,13.84
41203,13.97
41204,15.36
41205,14.6
41206,13.65
41207,12.91
41208,13.62
41209,13.84
41210,12.63
41211,14.05
41212,15
41213,14.88
41214,15.74
41215,16.71
41216,17.38
41217,17.89
41218,19.14
41219,19.36
41220,18.39
41221,18.02
41222,20.08
41223,19.17
41224,18.6
41225,17.96
41226,17.31
41227,16.89
41228,17.43
41229,17.66
41230,17.1
41231,17.15
41232,17.06
41233,16.36
41234,18.39
41235,20.85
41236,19.41
41237,19.99
41238,19.25
41239,18.59
41240,18.96
41241,18.54
41242,17.9
41243,17.8
41244,18.1
41245,18.65
41246,18.07
41247,20
41248,21.83
41249,21.35
41250,21.18
41251,21.22
41252,21.11
41253,21.5
41254,19.4
41255,19.92
41256,18.92
41257,18.98
41258,20.53
41259,18.59
41260,18.44
41261,18.58
41262,20.63
41263,18.47
41264,17.27
41265,18.36
41266,19.61
41267,17.7
41268,17.08
41269,18.36
41270,17.77
41271,17.58
41272,18.87
41273,16.8
41274,17.81
41275,19.28
41276,17.04
41277,19.42
41278,18.08
41279,18.63
41280,18.46
41281,17.84
41282,17.63
41283,20.39
41284,21.41
41285,19.02
41286,19.05
41287,20.63
41288,19
41289,18.93
41290,19.91
41291,19.13
41292,18.23
41293,18.82
41294,19.17
41295,17.26
41296,19.09
41297,19.1
41298,18.57
41299,18.41
41300,19.2
41301,18.34
41302,18.97
41303,20.73
41304,18.08
41305,19.85
41306,21
41307,19.83
41308,19.37
41309,19.39
41310,20.19
41311,18.97
41312,19.35
41313,18.01
41314,18.53
41315,19.07
41316,18.56
41317,19.52
41318,18.84
41319,17.92
41320,18.12
41321,17.49
41322,18.5
41323,18.11
41324,17.17
41325,17.69
41326,18.27
41327,17.94
41328,17.71
41329,17.8
41330,18.75
41331,17.76
41332,18.35
41333,18.27
41334,18.12
41335,16.29
41336,17.57
41337,16.08
41338,16.33
41339,16.58
41340,17.34
41341,16.28
41342,15.91
41343,17.05
41344,15.78
41345,17.33
41346,17.04
41347,16.3
41348,15.49
41349,16.54
41350,16.56
41351,16.08
41352,18.81
41353,16.79
41354,16.14
41355,17.36
41356,16.91
41357,16.42
41358,17.03
41359,17.2
41360,15.91
41361,17.7
41362,15.36
41363,16.01
41364,17.39
41365,16.71
41366,16.18
41367,17.73
41368,17.4
41369,17.94
41370,19.9
41371,20.59
41372,22.22
41373,21.66
41374,23.11
41375,21.54
41376,22.35
41377,22.14
41378,18.93
41379,21.66
41380,21.72
41381,21.45
41382,20.87
41383,20.96
41384,20.38
41385,20.71
41386,20.99
41387,21.71
41388,19.33
41389,19.53
41390,19.11
41391,19.35
41392,19.95
41393,18.17
41394,18.2
41395,20.03
41396,20.49
41397,19.64
41398,20.09
41399,19.33
41400,19.65
41401,19.65
41402,19.98
41403,21.42
41404,22.79
41405,24.69
41406,27.71
41407,28.11
41408,27.22
41409,29.59
41410,30.35
41411,30.15
41412,27.48
41413,28.45
41414,28.16
41415,27.96
41416,27.4
41417,27.51
41418,28.28
41419,27.46
41420,26.64
41421,26.84
41422,25.45
41423,24.75
41424,24.75
41425,25.06
41426,25
41427,24.36
41428,23.52
41429,25.47
41430,23.72
41431,24.08
41432,24.83
41433,23
41434,24.89
41435,25.32
41436,25.64
41437,23.95
41438,25.12
41439,24.75
41440,23.4
41441,23.45
41442,21.8
41443,21.91
41444,22.58
41445,22.06
41446,22.72
41447,23.93
41448,24.78
41449,23.53
41450,22.95
41451,24.3
41452,23.04
41453,23.59
41454,22.94
41455,23.58
41456,22.25
41457,23.94
41458,24.6
41459,25.44
41460,25.42
41461,24.17
41462,24.74
41463,24.81
41464,23.55
41465,22.42
41466,22
41467,21.55
41468,21.77
41469,22.3
41470,20.93
41471,21.22
41472,20.4
41473,20.25
41474,20.56
41475,20.34
41476,20.72
41477,19.82
41478,21.1
41479,18.88
41480,19.12
41481,19.44
41482,20.01
41483,18.2
41484,18.35
41485,19.79
41486,18.07
41487,19.19
41488,17.9
41489,17.29
41490,18.49
41491,18.3
41492,17.3
41493,18.45
41494,16.8
41495,16.97
41496,18.25
41497,16.3
41498,15.8
41499,18.48
41500,18.31
41501,16.93
41502,15.8
41503,17.13
41504,16.59
41505,16.46
41506,16.93
41507,16.17
41508,15.64
41509,14.75
41510,14.44
41511,14.72
41512,15.11
41513,16.13
41514,14.44
41515,14.44
41516,15.4
41517,15.28
41518,13.73
41519,12.88
41520,12.78
41521,13.45
41522,13.33
41523,13.67
41524,13.72
41525,15.45
41526,12.88
41527,13.28
41528,15.63
41529,14.81
41530,13.13
41531,13.98
41532,13.57
41533,12.78
41534,13.77
41535,15.44
41536,12.89
41537,12.53
41538,16.1
41539,13.06
41540,14.22
41541,14.46
41542,13.5
41543,13.79
41544,13.85
41545,13.49
41546,15.61
41547,15.81
41548,14.62
41549,17.51
41550,17.42
41551,15.92
41552,16.28
41553,14.92
41554,14.97
41555,14.55
41556,15.16
41557,13.97
41558,15.38
41559,15.31
41560,14.21
41561,13.21
41562,14.41
41563,13.34
41564,14.13
41565,14.57
41566,14.2
41567,12.96
41568,13.19
41569,14.1
41570,14.39
41571,13.64
41572,13.26
41573,13.28
41574,14.01
41575,13.94
41576,14.32
41577,12.92
41578,13.07
41579,14.2
41580,15.27
41581,14.69
41582,15.06
41583,15.75
41584,14.74
41585,15.45
41586,14.87
41587,15.22
41588,16.17
41589,15.59
41590,15.62
41591,15.06
41592,15.58
41593,15.54
41594,15.84
41595,14.77
41596,14.94
41597,15.8
41598,15.49
41599,15.93
41600,16.01
41601,16.87
41602,15.2
41603,15.19
41604,15.27
41605,15.09
41606,15.38
41607,15.33
41608,14.75
41609,15.19
41610,15.25
41611,14.19
41612,17.41
41613,17.21
41614,15.36
41615,16.37
41616,15.28
41617,15
41618,15.2
41619,15.24
41620,15.39
41621,15.1
41622,15.43
41623,15.46
41624,15.37
41625,15.09
41626,15.45
41627,15.53
41628,14.99
41629,15.29
41630,15.27
41631,15.29
41632,15.42
41633,15.48
41634,15.12
41635,15.28
41636,15.17
41637,15.51
41638,15.14
41639,15.28
41640,15.52
41641,15.67
41642,14.33
41643,14.6
41644,15.25
41645,16.05
41646,17.35
41647,16.75
41648,15.28
41649,17.21
41650,17.47
41651,14.55
41652,17.77
41653,17.98
41654,17.51
41655,17.21
41656,18.31
41657,16.76
41658,15.97
41659,17.04
41660,15.68
41661,16.8
41662,16.41
41663,15.87
41664,15.93
41665,16.15
41666,16.28
41667,15.16
41668,16.49
41669,15.78
41670,16.76
41671,16.27
41672,16.87
41673,15.77
41674,16.15
41675,15.78
41676,15.83
41677,15.31
41678,14.4
41679,14.95
41680,16.49
41681,15.13
41682,16
41683,16.23
41684,16.02
41685,19.75
41686,20.41
41687,17.9
41688,21.05
41689,21.65
41690,19.23
41691,19.58
41692,18.34
41693,19.2
41694,18.15
41695,18.28
41696,17.49
41697,17.62
41698,17.67
41699,18.77
41700,18.04
41701,19.08
41702,18.51
41703,21.23
41704,22.52
41705,22.73
41706,25.67
41707,26.58
41708,26.1
41709,24.29
41710,28.75
41711,29.95
41712,27.44
41713,25.62
41714,26.51
41715,24.31
41716,23.97
41717,24.95
41718,24.65
41719,24.29
41720,23.65
41721,23.18
41722,21.97
41723,22.35
41724,22.33
41725,21.96
41726,20.74
41727,23.45
41728,21.97
41729,25.22
41730,24.97
41731,23.37
41732,22.16
41733,22.71
41734,20.71
41735,22.37
41736,20.8
41737,20.86
41738,21.7
41739,21.39
41740,23.97
41741,23.75
41742,23.38
41743,24.44
41744,23.33
41745,24.15
41746,24.55
41747,24.25
41748,24.15
41749,25.05
41750,24.82
41751,22.85
41752,23.51
41753,24.09
41754,23.75
41755,25.28
41756,24.58
41757,24.44
41758,24.32
41759,25.22
41760,24.32
41761,23.44
41762,23.92
41763,24.37
41764,26.56
41765,26.55
41766,29.65
41767,27.94
41768,26.29
41769,26.98
41770,25.96
41771,27.16
41772,26.44
41773,25.8
41774,25.31
41775,24.61
41776,24.35
41777,25.68
41778,26.96
41779,28.21
41780,28.94
41781,28.33
41782,26.98
41783,28.86
41784,28.64
41785,30.45
41786,30.46
41787,31.61
41788,30.81
41789,30.32
41790,30.89
41791,29.7
41792,28.65
41793,30.5
41794,29.99
41795,29.62
41796,30.48
41797,30.3
41798,29.33
41799,28.86
41800,28.38
41801,27.69
41802,27.47
41803,25.36
41804,25.89
41805,25.63
41806,24.4
41807,23.17
41808,23.79
41809,24.35
41810,22.7
41811,22.41
41812,22.68
41813,24.15
41814,22.24
41815,21.95
41816,22.82
41817,21.67
41818,22.05
41819,22
41820,23.01
41821,24.15
41822,23.62
41823,24.39
41824,24.6
41825,26.47
41826,25.82
41827,24.43
41828,24.66
41829,24.97
41830,23.64
41831,23.9
41832,23.49
41833,23.51
41834,21.95
41835,22.66
41836,21.22
41837,22.61
41838,20.65
41839,22.3
41840,20.25
41841,20.13
41842,21.57
41843,19.83
41844,19.1
41845,20.26
41846,21.26
41847,19.77
41848,20.52
41849,19.44
41850,17.63
41851,18.98
41852,18.16
41853,17.63
41854,17.97
41855,17.5
41856,18.69
41857,17.07
41858,17.45
41859,18.64
41860,17.49
41861,16.74
41862,16.84
41863,17.82
41864,16.68
41865,16.85
41866,17.75
41867,17.54
41868,17.45
41869,16.3
41870,16.88
41871,16.56
41872,16.49
41873,16.28
41874,16.18
41875,16.53
41876,15.44
41877,14.75
41878,14.86
41879,14.91
41880,14.83
41881,14.44
41882,14.72
41883,15.81
41884,13.54
41885,12.93
41886,14.77
41887,14.43
41888,14.45
41889,13.85
41890,13.21
41891,13.52
41892,13.53
41893,13.56
41894,12.9
41895,14.07
41896,13.37
41897,13.27
41898,13.46
41899,13.14
41900,13.88
41901,13.19
41902,13.67
41903,12.52
41904,13.75
41905,13.35
41906,13.25
41907,15.75
41908,13.7
41909,12.41
41910,13.36
41911,13.2
41912,12.86
41913,13.76
41914,14.12
41915,14.16
41916,14.62
41917,13.8
41918,12.62
41919,14.67
41920,14.65
41921,15
41922,13.72
41923,14.22
41924,12.7
41925,14.08
41926,14.08
41927,14.53
41928,14.24
41929,14.92
41930,14.56
41931,13.88
41932,13.64
41933,14.21
41934,15.26
41935,14.86
41936,15.15
41937,16.02
41938,14.31
41939,14.85
41940,15.78
41941,15.75
41942,15.93
41943,15.6
41944,15.46
41945,14.96
41946,17.02
41947,17.35
41948,17.44
41949,18.98
41950,18.21
41951,19.58
41952,19.09
41953,18.75
41954,19.89
41955,18.68
41956,18.36
41957,16.71
41958,16.08
41959,16.6
41960,16.75
41961,16.27
41962,15.76
41963,15.8
41964,15.98
41965,15.68
41966,16.11
41967,16.17
41968,16.52
41969,17.38
41970,17.82
41971,18.34
41972,18.93
41973,20.29
41974,20.83
41975,20.24
41976,18.34
41977,17.61
41978,17.5
41979,18.26
41980,17.53
41981,17.83
41982,17.94
41983,18.07
41984,19.2
41985,17.74
41986,18.39
41987,19.45
41988,19.11
41989,18.66
41990,18.24
41991,18.06
41992,18.98
41993,17.27
41994,19.6
41995,20.84
41996,20.55
41997,19.86
41998,19.94
41999,20.03
42000,19.31
42001,19.22
42002,19.48
42003,17.89
42004,18.94
42005,18.86
42006,17.97
42007,18.46
42008,18.31
42009,19.84
42010,17.65
42011,19.24
42012,20.58
42013,21.08
42014,20.42
42015,20.07
42016,20.53
42017,19.94
42018,20.27
42019,18.7
42020,19.17
42021,18.9
42022,21.61
42023,18.93
42024,21.05
42025,20.18
42026,21.82
42027,20.91
42028,20.18
42029,20.12
42030,19.12
42031,19.89
42032,21.11
42033,20.27
42034,20.41
42035,20.74
42036,19.79
42037,21.59
42038,21.21
42039,20.83
42040,21.43
42041,22.54
42042,21.83
42043,22.97
42044,25.07
42045,25.79
42046,27.54
42047,28.26
42048,27.94
42049,26.74
42050,26.57
42051,26.4
42052,26.47
42053,25.99
42054,24.93
42055,24.91
42056,25.04
42057,24.5
42058,22.89
42059,23.48
42060,22.98
42061,23.09
42062,21.33
42063,23.01
42064,22.35
42065,22.29
42066,21.45
42067,20.26
42068,20.4
42069,21.04
42070,21.11
42071,19.43
42072,19.76
42073,19.11
42074,21.05
42075,19.75
42076,19.5
42077,20.57
42078,21.21
42079,21.12
42080,23.27
42081,22.73
42082,22.97
42083,22.94
42084,22.16
42085,21.89
42086,22.57
42087,21.98
42088,22.93
42089,22.93
42090,22.55
42091,23.2
42092,23.58
42093,23.31
42094,24.29
42095,24.35
42096,20.21
42097,22.52
42098,22.01
42099,21.18
42100,20.86
42101,20.65
42102,19.42
42103,19.53
42104,18.12
42105,18.83
42106,19.88
42107,19.71
42108,18.36
42109,17.23
42110,17.56
42111,18.74
42112,18.14
42113,17.34
42114,17.51
42115,17.82
42116,16.99
42117,16.61
42118,17.92
42119,17.37
42120,18.12
42121,18.1
42122,18
42123,17.79
42124,17.13
42125,16.81
42126,19.12
42127,19.55
42128,19.06
42129,19.52
42130,20.01
42131,21.33
42132,20.81
42133,21.69
42134,20.87
42135,19.82
42136,19.75
42137,21.02
42138,20.7
42139,21.05
42140,20.66
42141,19.54
42142,17.69
42143,20.79
42144,20.99
42145,19.29
42146,20.08
42147,19.86
42148,20.28
42149,20.73
42150,20.96
42151,21.06
42152,20.97
42153,21.11
42154,20.21
42155,20.28
42156,20.75
42157,18.12
42158,21.54
42159,20.79
42160,21.12
42161,21.49
42162,19.53
42163,19.92
42164,20.05
42165,19.62
42166,19.13
42167,19.73
42168,20.03
42169,19.55
42170,20.27
42171,19.54
42172,19.21
42173,18.07
42174,17.1
42175,16.84
42176,17.24
42177,17.01
42178,16.2
42179,15.48
42180,16.55
42181,16.31
42182,15.28
42183,15.13
42184,14.86
42185,15.53
42186,14.71
42187,14.44
42188,14.44
42189,14.86
42190,14.46
42191,14.44
42192,14.44
42193,14.63
42194,14.44
42195,14.88
42196,14.44
42197,15.54
42198,15.92
42199,15.19
42200,16.5
42201,15.47
42202,14.44
42203,15.21
42204,14.94
42205,15.03
42206,14.44
42207,15.26
42208,14.44
42209,14.44
42210,14.44
42211,14.44
42212,14.44
42213,14.44
42214,14.44
42215,14.44
42216,14.44
42217,14.44
42218,14.66
42219,14.44
42220,14.44
42221,15.18
42222,15.08
42223,15.47
42224,15.62
42225,15.45
42226,14.44
42227,15.37
42228,14.91
42229,15.03
42230,14.77
42231,14.44
42232,14.69
42233,15.51
42234,15.69
42235,14.44
42236,14.44
42237,14.44
42238,15.17
42239,14.51
42240,14.55
42241,14.44
42242,14.54
42243,14.44
42244,14.44
42245,14.44
42246,14.44
42247,14.44
42248,11.03
42249,11.03
42250,11.75
42251,13.92
42252,13.67
42253,12.36
42254,13.27
42255,12.73
42256,13.78
42257,14.12
42258,14.08
42259,13.18
42260,13.08
42261,11.98
42262,13.09
42263,13.24
42264,14.06
42265,13.02
42266,13.35
42267,14.63
42268,12.68
42269,13.19
42270,14.5
42271,13.68
42272,14.13
42273,13.16
42274,14.45
42275,12.87
42276,13.12
42277,14.5
42278,13.12
42279,12.56
42280,12.67
42281,13.88
42282,14.16
42283,13.36
42284,14.41
42285,13.97
42286,13.26
42287,13.63
42288,14.24
42289,13.72
42290,12.54
42291,13.41
42292,13.34
42293,15.66
42294,13.57
42295,13.43
42296,13.17
42297,13.55
42298,13.68
42299,14.35
42300,13.58
42301,14.03
42302,13.12
42303,13.89
42304,13.06
42305,14.08
42306,12.44
42307,11.81
42308,12.91
42309,14.73
42310,15.4
42311,15.78
42312,15.35
42313,15.61
42314,15.32
42315,16.31
42316,15.96
42317,15.98
42318,15.34
42319,15.34
42320,15.36
42321,15.86
42322,15.49
42323,15.71
42324,16.37
42325,18.26
42326,16.37
42327,17.58
42328,18.39
42329,17.68
42330,16.6
42331,15.09
42332,14.95
42333,15.69
42334,15.74
42335,14.33
42336,15.93
42337,15.38
42338,14.76
42339,15.62
42340,14.9
42341,15.07
42342,14.72
42343,14.66
42344,13.97
42345,14.26
42346,16
42347,16.36
42348,17.67
42349,19.97
42350,20.14
42351,20.75
42352,19.45
42353,18.88
42354,18.47
42355,16.96
42356,18.24
42357,16.31
42358,17.01
42359,16.12
42360,17.79
42361,17.95
42362,16.28
42363,15.52
42364,16.25
42365,16.55
42366,15.57
42367,15.53
42368,16.55
42369,14.72
