$$W2 Shading Input File, Vegetation and Topography, calibrated veg characteristics and corrected topography,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,DynSh,TTEleLB,TTEleRB,ClDisLB,ClDiRB,SRFLB1,SRFLB2,SRFRB1,SRFRB2,TOPO1,TOPO2,TOPO3,TOPO4,TOPO5,TOPO6,TOPO7,TOPO8,TOPO9,TOPO10,TOPO11,TOPO12,TOPO13,TOPO14,TOPO15,TOPO16,TOPO17,TOPO18,SRFJD1,SRFJD2
31,-1,550,535,70,70,0,0.7,0,0.71,0.299,0.264,0.279,0.182,0.115,0.166,0.259,0.314,0.423,0.497,0.524,0.504,0.409,0.224,0.185,0.296,0.356,0.373,80,288
32,-1,535,527,70,70,0,0.7,0,0.71,0.299,0.264,0.279,0.182,0.115,0.166,0.259,0.314,0.423,0.497,0.524,0.504,0.409,0.224,0.185,0.296,0.356,0.373,80,288
33,-1,526,532,70,70,0,0.7,0,0.74,0.397,0.374,0.296,0.246,0.13,0.136,0.186,0.232,0.339,0.371,0.313,0.21,0.077,0.125,0.258,0.342,0.391,0.414,80,288
34,-1,529,532,70,70,0,0.77,0,0.75,0.568,0.491,0.361,0.225,0.138,0.119,0.157,0.256,0.257,0.212,0.147,0.056,0.114,0.261,0.404,0.509,0.577,0.6,80,288
35,-1,530,523,70,70,0,0.77,0,0.75,0.568,0.491,0.361,0.225,0.138,0.119,0.157,0.256,0.257,0.212,0.147,0.056,0.114,0.261,0.404,0.509,0.577,0.6,80,288
36,-1,528,529,70,70,0,0.78,0,0.71,0.485,0.384,0.267,0.162,0.1,0.2,0.279,0.295,0.254,0.207,0.152,0.063,0.176,0.402,0.541,0.596,0.577,0.536,80,288
37,-1,535,524,70,70,0,0.78,0,0.71,0.485,0.384,0.267,0.162,0.1,0.2,0.279,0.295,0.254,0.207,0.152,0.063,0.176,0.402,0.541,0.596,0.577,0.536,80,288
38,-1,512,528,70,70,0,0.63,0,0.62,0.366,0.263,0.175,0.144,0.266,0.334,0.383,0.378,0.374,0.304,0.221,0.142,0.001,0.112,0.241,0.344,0.378,0.392,80,288
39,-1,527,528,70,70,0,0.69,0,0.64,0.362,0.244,0.144,0.14,0.252,0.372,0.451,0.494,0.496,0.477,0.433,0.286,0.035,0.061,0.199,0.299,0.346,0.374,80,288
40,-1,530,519,70,70,0,0.69,0,0.64,0.362,0.244,0.144,0.14,0.252,0.372,0.451,0.494,0.496,0.477,0.433,0.286,0.035,0.061,0.199,0.299,0.346,0.374,80,288
41,-1,529,517,70,70,0,0.63,0,0.76,0.369,0.28,0.18,0.278,0.137,0.238,0.34,0.322,0.289,0.24,0.171,0.064,0.001,0.081,0.21,0.308,0.369,0.378,80,288
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
