$Little Spokane River inflow 01/01/2000 to 12/31/2000,,
,,
Jday,Q,
15.75,17.285,
15.792,17.285,
15.833,17.285,
15.875,17.285,
15.917,17.285,
15.958,17.285,
16,17.285,
16.042,17.176,
16.083,17.176,
16.125,17.285,
16.167,17.176,
16.208,17.176,
16.25,17.176,
16.292,17.285,
16.333,17.285,
16.375,17.285,
16.417,17.285,
16.458,17.394,
16.5,17.503,
16.542,17.503,
16.583,17.612,
16.625,17.612,
16.667,17.612,
16.708,17.612,
16.75,17.612,
16.792,17.721,
16.833,17.721,
16.875,17.721,
16.917,17.83,
16.958,17.949,
17,18.058,
17.042,18.058,
17.083,18.167,
17.125,18.287,
17.167,18.287,
17.208,18.407,
17.25,18.407,
17.292,18.407,
17.333,18.407,
17.375,18.407,
17.417,18.287,
17.458,18.167,
17.5,18.167,
17.542,18.167,
17.583,18.407,
17.625,18.287,
17.667,18.167,
17.708,18.058,
17.75,18.058,
17.792,18.004,
17.833,17.949,
17.875,17.949,
17.917,17.83,
17.958,17.721,
18,17.721,
18.042,17.612,
18.083,17.503,
22.792,16.543,
22.833,16.543,
22.875,16.543,
22.917,16.445,
22.958,16.445,
23,16.445,
23.042,16.445,
23.083,16.445,
23.125,16.445,
23.167,16.445,
23.208,16.336,
23.25,16.336,
23.292,16.336,
23.333,16.336,
23.375,16.336,
23.417,16.336,
23.458,16.336,
23.5,16.336,
23.542,16.238,
23.583,16.238,
23.625,16.238,
23.667,16.238,
23.708,16.238,
23.75,16.336,
23.792,16.336,
23.833,16.238,
23.875,16.238,
23.917,16.238,
23.958,16.238,
24,16.238,
24.042,16.14,
24.083,16.14,
24.125,16.14,
24.167,16.042,
24.208,16.042,
24.25,15.944,
24.292,15.944,
24.333,15.944,
24.375,15.944,
24.417,15.944,
24.458,15.944,
24.5,15.944,
24.542,15.846,
24.583,15.944,
24.625,15.846,
24.667,15.846,
24.708,15.846,
24.75,15.846,
24.792,15.846,
24.833,15.846,
24.875,15.846,
24.917,15.846,
24.958,15.944,
25,15.944,
25.042,16.042,
25.083,16.042,
25.125,15.944,
25.167,15.944,
25.208,15.944,
25.25,15.944,
25.292,15.944,
25.333,16.042,
25.375,16.042,
25.417,16.042,
25.458,16.042,
25.5,16.042,
25.542,16.042,
25.583,16.042,
25.625,16.042,
25.667,16.042,
25.708,16.042,
25.75,16.042,
25.792,16.042,
25.833,16.042,
25.875,16.042,
25.917,16.042,
25.958,16.042,
26,16.042,
26.042,16.042,
26.083,16.042,
26.125,16.042,
26.167,16.042,
26.208,16.042,
26.25,16.042,
26.292,16.042,
26.333,16.042,
26.375,16.042,
26.417,16.042,
26.458,16.042,
26.5,15.944,
26.542,16.042,
26.583,16.042,
26.625,16.042,
26.667,16.042,
26.708,16.042,
26.75,16.042,
26.792,16.042,
26.833,15.944,
26.875,15.944,
26.917,15.944,
26.958,15.944,
27,15.944,
27.042,15.944,
27.083,15.944,
27.125,15.944,
27.167,15.944,
27.208,15.944,
27.25,15.944,
27.292,15.944,
27.333,15.944,
27.375,15.944,
27.417,15.944,
27.458,15.846,
27.5,15.846,
27.542,15.846,
27.583,15.846,
27.625,15.846,
27.667,15.846,
27.708,15.846,
27.75,15.846,
27.792,15.846,
27.833,15.846,
27.875,15.846,
27.917,15.846,
27.958,15.846,
28,15.846,
28.042,15.846,
28.083,15.846,
28.125,15.846,
28.167,15.748,
28.208,15.65,
28.25,15.65,
28.292,15.65,
28.333,15.65,
28.375,15.65,
28.417,15.65,
28.458,15.65,
28.5,15.65,
28.542,15.748,
28.583,15.748,
28.625,15.846,
28.667,15.846,
28.708,15.846,
28.75,15.846,
28.792,15.846,
28.833,15.846,
28.875,15.65,
28.917,15.65,
28.958,15.551,
29,15.551,
29.042,15.453,
29.083,15.366,
29.125,15.268,
29.167,15.268,
29.208,15.268,
29.25,15.366,
29.292,15.366,
29.333,15.268,
29.375,15.268,
29.417,15.268,
29.458,15.181,
29.5,15.083,
29.542,14.996,
29.583,14.908,
29.625,14.908,
29.667,14.996,
29.708,15.083,
29.75,15.268,
29.792,15.268,
29.833,15.268,
29.875,15.366,
29.917,15.453,
29.958,15.453,
30,15.366,
30.042,15.268,
30.083,15.181,
30.125,14.996,
30.167,14.81,
30.208,14.723,
30.25,14.636,
30.292,14.549,
30.333,14.549,
30.375,14.549,
30.417,14.549,
30.458,14.549,
30.5,14.908,
30.542,15.268,
30.583,14.81,
30.625,14.549,
30.667,14.461,
30.708,14.549,
30.75,14.81,
30.792,15.268,
30.833,15.65,
30.875,15.846,
30.917,15.944,
30.958,15.846,
31,15.846,
31.042,15.65,
31.083,15.551,
31.125,15.453,
31.167,15.268,
31.208,15.268,
31.25,15.268,
31.292,15.181,
31.333,15.181,
31.375,15.181,
31.417,15.181,
31.458,15.181,
31.5,15.181,
31.542,15.268,
31.583,15.268,
31.625,15.268,
31.667,15.268,
31.708,15.453,
31.75,15.453,
31.792,15.551,
31.833,15.551,
31.875,15.551,
31.917,15.551,
31.958,15.551,
32,15.551,
32.042,15.551,
32.083,15.551,
32.125,15.65,
32.167,15.65,
32.208,15.65,
32.25,15.748,
32.292,15.846,
32.333,15.944,
32.375,16.042,
32.417,16.042,
32.458,16.042,
32.5,16.238,
32.542,16.238,
32.583,16.336,
32.625,16.336,
32.667,16.445,
32.708,16.543,
32.75,16.75,
32.792,16.859,
32.833,17.176,
32.875,17.721,
32.917,18.167,
32.958,18.516,
33,18.636,
33.042,18.636,
33.083,18.636,
33.125,18.636,
33.167,18.636,
33.208,18.876,
33.25,18.876,
33.292,18.996,
33.333,19.116,
33.375,19.356,
33.417,19.595,
33.458,19.715,
33.5,19.955,
33.542,20.075,
33.583,20.195,
33.625,20.315,
33.667,20.565,
33.708,20.936,
33.75,21.187,
33.792,21.448,
33.833,21.579,
33.875,21.579,
33.917,21.579,
33.958,21.579,
34,21.448,
34.042,21.318,
34.083,21.187,
34.125,21.067,
34.167,21.067,
34.208,21.067,
34.25,21.067,
34.292,20.936,
34.333,20.936,
34.375,20.816,
34.417,20.816,
34.458,20.685,
34.5,20.565,
34.542,20.685,
34.583,20.816,
34.625,20.685,
34.667,20.685,
34.708,20.816,
34.75,20.816,
34.792,20.816,
34.833,20.816,
34.875,20.816,
34.917,20.565,
34.958,20.435,
35,20.315,
35.042,20.195,
35.083,20.075,
35.125,20.075,
35.167,19.955,
35.208,19.955,
35.25,19.955,
35.292,19.955,
35.333,19.955,
35.375,19.955,
35.417,19.955,
35.458,19.955,
35.5,19.955,
35.542,20.075,
35.583,20.075,
35.625,20.315,
35.667,20.315,
35.708,20.565,
35.75,20.565,
35.792,20.565,
35.833,20.565,
35.875,20.565,
35.917,20.435,
35.958,20.315,
36,20.315,
36.042,20.315,
36.083,20.195,
36.125,20.075,
36.167,20.075,
36.208,20.075,
36.25,20.075,
36.292,20.075,
36.333,20.075,
36.375,20.075,
36.417,20.075,
36.458,20.075,
36.5,20.075,
36.542,20.075,
36.583,20.075,
36.625,20.075,
36.667,20.075,
36.708,20.075,
36.75,20.075,
36.792,20.075,
36.833,19.955,
36.875,20.075,
36.917,20.075,
36.958,19.955,
37,19.955,
37.042,19.955,
37.083,19.955,
37.125,19.955,
37.167,19.955,
37.208,19.955,
37.25,19.955,
37.292,19.955,
37.333,19.955,
37.375,19.955,
37.417,19.955,
37.458,19.955,
37.5,19.955,
37.542,19.955,
37.583,19.835,
37.625,19.835,
37.667,19.835,
37.708,19.835,
37.75,19.835,
37.792,19.835,
37.833,19.835,
37.875,19.835,
37.917,19.835,
37.958,19.955,
38,19.955,
38.042,19.955,
38.083,19.955,
38.125,19.955,
38.167,19.955,
38.208,19.955,
38.25,19.955,
38.292,19.955,
38.333,19.955,
38.375,19.955,
38.417,19.955,
38.458,19.955,
38.5,19.955,
38.542,19.955,
38.583,19.955,
38.625,19.955,
38.667,20.075,
38.708,19.955,
38.75,19.955,
38.792,19.955,
38.833,19.955,
38.875,19.955,
38.917,20.075,
38.958,20.075,
39,20.075,
39.042,20.075,
39.083,20.075,
39.125,20.075,
39.167,20.075,
39.208,20.075,
39.25,20.075,
39.292,20.075,
39.333,20.075,
39.375,20.075,
39.417,20.075,
39.458,20.075,
39.5,20.075,
39.542,20.075,
39.583,20.075,
39.625,20.075,
39.667,20.195,
39.708,20.195,
39.75,20.315,
39.792,20.315,
39.833,20.435,
39.875,20.435,
39.917,20.565,
39.958,20.565,
40,20.685,
40.042,20.816,
40.083,20.936,
40.125,20.936,
40.167,21.067,
40.208,21.187,
40.25,21.318,
40.292,21.448,
40.333,21.579,
40.375,21.579,
