$BON Elev-Tailwater CBT-REV [NAVD88],,
CY2011 - 2015,,12/31/2010
JDAY,ElevFT,
40827,15.48093867,
40828,14.30593867,
40829,14.476772,
40830,15.98093867,
40831,16.38510533,
40832,15.95593867,
40833,15.464272,
40834,14.87260533,
40835,13.86843867,
40836,13.614272,
40837,14.239272,
40838,14.64343867,
40839,13.43510533,
40840,13.339272,
40841,15.28510533,
40842,15.91843867,
40843,13.989272,
40844,15.23093867,
40845,15.99760533,
40846,13.664272,
40847,13.389272,
40848,15.94343867,
40849,15.814272,
40850,15.151772,
40851,14.926772,
40852,14.814272,
40853,14.776772,
40854,14.789272,
40855,15.214272,
40856,14.79760533,
40857,14.85593867,
40858,14.88510533,
40859,15.04343867,
40860,15.04760533,
40861,15.24760533,
40862,15.70593867,
40863,16.014272,
40864,16.605522,
40865,16.44343867,
40866,16.139272,
40867,15.94343867,
40868,16.18093867,
40869,16.964272,
40870,17.80593867,
40871,17.68093867,
40872,16.77260533,
40873,15.914272,
40874,15.639272,
40875,16.20593867,
40876,16.201772,
40877,16.19343867,
40878,16.31010533,
40879,15.23093867,
40880,15.176772,
40881,15.41010533,
40882,15.826772,
40883,16.41010533,
40884,16.16010533,
40885,16.22260533,
40886,15.85593867,
40887,16.189272,
40888,16.126772,
40889,16.19343867,
40890,16.15593867,
40891,16.42260533,
40892,16.32260533,
40893,15.364272,
40894,15.151772,
40895,15.20593867,
40896,15.214272,
40897,15.201772,
40898,15.23093867,
40899,15.25593867,
40900,15.351772,
40901,15.48093867,
40902,15.726772,
40903,16.07260533,
40904,16.476772,
40905,17.051772,
40906,16.93510533,
40907,19.264272,
40908,18.289272,
40909,19.151772,
40910,15.63510533,
40911,17.04343867,
40912,18.176772,
40913,17.61843867,
40914,16.651772,
40915,15.676772,
40916,15.49760533,
40917,16.18093867,
40918,16.30593867,
40919,17.564272,
40920,16.43093867,
40921,16.01843867,
40922,15.601772,
40923,15.501772,
40924,16.29760533,
40925,16.01010533,
40926,17.81010533,
40927,19.30593867,
40928,20.89343867,
40929,21.49760533,
40930,20.81843867,
40931,20.226772,
40932,20.74343867,
40933,19.776772,
40934,19.901772,
40935,20.29343867,
40936,20.00593867,
40937,18.489272,
40938,17.714272,
40939,18.29343867,
40940,17.94760533,
40941,16.86010533,
40942,16.289272,
40943,16.10593867,
40944,15.98510533,
40945,15.651772,
40946,16.189272,
40947,16.79760533,
40948,15.82260533,
40949,15.94343867,
40950,16.78093867,
40951,16.389272,
40952,16.46843867,
40953,17.46843867,
40954,16.91843867,
40955,18.201772,
40956,16.25593867,
40957,15.54760533,
40958,15.57260533,
40959,16.75593867,
40960,16.364272,
40961,17.93510533,
40962,20.64760533,
40963,19.151772,
40964,17.20593867,
40965,18.12260533,
40966,18.80593867,
40967,19.05593867,
40968,17.51843867,
40969,16.164272,
40970,17.33093867,
40971,17.34343867,
40972,17.18093867,
40973,17.54343867,
40974,17.676772,
