0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,824116296,668122.95,25.506,83.681,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,6,99625629.28,724490666.7,587355.017,24.256,79.58,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,7,99625629.28,699584259.4,567163.034,24.006,78.759,1,1
0.25,0,1163.677,908.815,1604.244,1287.922,2396.918,1921.95,1583.41,2131.124,2354.765,2021.9,2759.823,3358.897,3951.672,2266.444,3037.383,3606.348,2767.091,3083.828,2354.419,2520.263,3469.16,2429.934,2113.266,2773.251,2593.079,2832.985,2768.89,3325.119,1338.312,1347.795,1498.134,1801.443,2819.142,3024.44,3803.755,3307.676,2142.614,2276.48,1865.885,2376.983,3136.018,2898.534,3717.51,3140.24,673.828,1617.188,3899.967,3618.945,2876.108,3698.96,4537.387,3222.954,2713.24,2852.505,3457.739,3495.324,3474.905,3879.063,3249.603,704.768,1466.848,1332.844,2625.473,2571.829,3272.375,3643.517,3199.421,2721.892,3186.754,3212.779,1824.285,2169.401,1683.013,2080.942,2503.581,0,,8,99625629.28,674677852.1,546971.051,23.756,77.939,1,1.1
0.25,0,1057.889,826.196,1458.404,1170.838,2179.016,1747.228,1439.463,1937.386,2140.695,1838.091,2508.93,3053.542,3592.429,2060.403,2761.258,3278.498,2515.537,2803.48,2140.381,2291.148,3153.781,2209.031,1921.151,2521.137,2357.345,2575.441,2517.173,3022.835,1216.647,1225.268,1361.94,1637.676,2562.856,2749.491,3457.959,3006.978,1947.831,2069.527,1696.259,2160.894,2850.925,2635.031,3379.555,2854.764,612.571,1470.171,3545.424,3289.95,2614.643,3362.691,4124.897,2929.959,2466.582,2593.186,3143.399,3177.567,3159.004,3526.421,2954.185,640.698,1333.498,1211.676,2386.793,2338.027,2974.887,3312.288,2908.564,2474.447,2897.049,2920.709,1658.441,1972.183,1530.012,1891.765,2275.983,0,,9,90568753.89,649771444.7,526779.068,23.506,77.119,1,1.1
0.25,0,961.717,751.087,1325.821,1064.398,1980.924,1588.389,1308.603,1761.26,1946.087,1670.992,2280.845,2775.948,3265.844,1873.094,2510.234,2980.453,2286.852,2548.618,1945.8,2082.862,2867.074,2008.21,1746.501,2291.943,2143.041,2341.31,2288.339,2748.032,1106.043,1113.88,1238.127,1488.796,2329.869,2499.537,3143.599,2733.617,1770.756,1881.389,1542.053,1964.449,2591.75,2395.483,3072.323,2595.24,556.883,1336.519,3223.113,2990.864,2376.948,3056.992,3749.906,2663.599,2242.347,2357.442,2857.635,2888.697,2871.822,3205.837,2685.622,582.453,1212.271,1101.524,2169.812,2125.479,2704.442,3011.171,2644.149,2249.498,2633.681,2655.19,1507.674,1792.894,1390.92,1719.787,2069.076,0,,10,82335230.81,627129256.3,508422.72,23.256,76.299,1,1.1
0.25,0,874.288,682.806,1205.292,967.635,1800.84,1443.99,1189.639,1601.145,1769.17,1519.083,2073.496,2523.589,2968.949,1702.813,2282.031,2709.502,2078.956,2316.926,1768.91,1893.511,2606.431,1825.646,1587.728,2083.585,1948.219,2128.464,2080.308,2498.211,1005.494,1012.618,1125.57,1353.451,2118.063,2272.306,2857.817,2485.106,1609.778,1710.353,1401.867,1785.863,2356.137,2177.711,2793.021,2359.309,506.257,1215.017,2930.103,2718.967,2160.862,2779.084,3409.006,2421.453,2038.497,2143.129,2597.85,2626.088,2610.747,2914.397,2441.475,529.503,1102.065,1001.385,1972.556,1932.254,2458.584,2737.428,2403.772,2044.998,2394.255,2413.809,1370.612,1629.903,1264.473,1563.442,1880.978,0,,11,74850209.83,606545448.6,491735.13,23.006,75.478,1,1.1
0.25,0,794.807,620.733,1095.72,879.668,1637.127,1312.718,1081.49,1455.587,1608.336,1380.985,1884.996,2294.172,2699.045,1548.012,2074.574,2463.184,1889.96,2106.296,1608.1,1721.373,2369.483,1659.678,1443.389,1894.168,1771.108,1934.967,1891.189,2271.101,914.085,920.562,1023.246,1230.41,1925.512,2065.733,2598.016,2259.187,1463.434,1554.867,1274.424,1623.512,2141.942,1979.738,2539.11,2144.826,460.234,1104.561,2663.73,2471.788,1964.42,2526.44,3099.096,2201.321,1853.179,1948.299,2361.682,2387.353,2373.407,2649.452,2219.523,481.366,1001.877,910.35,1793.233,1756.594,2235.076,2488.571,2185.247,1859.089,2176.596,2194.372,1246.011,1481.73,1149.521,1421.311,1709.98,0,,12,68045645.3,587832896.1,476564.595,22.756,74.658,1,1.1
0.5,0,722.552,564.303,996.109,799.698,1488.297,1193.38,983.173,1323.261,1462.124,1255.441,1713.633,2085.611,2453.677,1407.283,1885.976,2239.258,1718.146,1914.815,1461.909,1564.885,2154.075,1508.798,1312.172,1721.971,1610.098,1759.061,1719.263,2064.637,830.986,836.875,930.223,1118.555,1750.465,1877.939,2361.832,2053.807,1330.395,1413.515,1158.567,1475.92,1947.22,1799.762,2308.281,1949.842,418.394,1004.146,2421.572,2247.08,1785.837,2296.763,2817.36,2001.201,1684.709,1771.181,2146.984,2170.321,2157.642,2408.593,2017.748,437.606,910.797,827.591,1630.212,1596.904,2031.888,2262.338,1986.588,1690.081,1978.723,1994.883,1132.738,1347.028,1045.019,1292.101,1554.527,0,,13,61859677.55,570821484.8,462773.198,22.506,73.838,1,1.15
0.5,0,628.306,490.698,866.182,695.39,1294.172,1037.722,854.933,1150.661,1271.412,1091.688,1490.116,1813.574,2133.632,1223.725,1639.979,1947.181,1494.04,1665.056,1271.225,1360.769,1873.109,1311.998,1141.019,1497.366,1400.085,1529.618,1495.011,1795.337,722.597,727.717,808.89,972.656,1522.144,1632.991,2053.767,1785.919,1156.865,1229.144,1007.45,1283.408,1693.235,1565.01,2007.201,1695.515,363.821,873.171,2105.715,1953.983,1552.901,1997.185,2449.878,1740.175,1464.964,1540.157,1866.942,1887.236,1876.211,2094.429,1754.563,380.527,791.998,719.645,1417.576,1388.612,1766.859,1967.25,1727.468,1469.635,1720.629,1734.681,984.989,1171.328,908.712,1123.566,1351.763,0,,14,53791023.95,539891646,437697.933,22.006,72.198,1,1.04
0.5,0,604.141,471.825,832.867,668.644,1244.396,997.809,822.051,1106.405,1222.511,1049.7,1432.803,1743.822,2051.57,1176.658,1576.903,1872.289,1436.577,1601.016,1222.332,1308.432,1801.066,1261.537,1097.134,1439.775,1346.236,1470.787,1437.511,1726.285,694.805,699.728,777.779,935.246,1463.6,1570.183,1974.776,1717.23,1112.37,1181.869,968.702,1234.047,1628.111,1504.817,1930.001,1630.303,349.828,839.587,2024.726,1878.83,1493.174,1920.371,2355.652,1673.245,1408.619,1480.921,1795.137,1814.65,1804.049,2013.874,1687.08,365.891,761.536,691.966,1363.053,1335.204,1698.903,1891.587,1661.027,1413.111,1654.451,1667.963,947.105,1126.277,873.761,1080.352,1299.772,0,,15,51722138.42,512996134,415893.354,21.506,70.557,1,1.04
