$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
42245,3883.972
42246,2915.571
42247,2827.836
42248,3421.502
42249,2671.286
42250,2712.859
42251,3336.404
42252,3305.833
42253,2465.372
42254,2075.654
42255,2253.8
42256,2722.302
42257,2849.531
42258,3062.944
42259,2937.491
42260,2843.535
42261,2396.614
42262,2494.698
42263,3227.744
42264,3229.565
42265,2695.126
42266,2883.271
42267,2645.036
42268,2272.042
42269,2423.149
42270,2751.792
42271,3057.42
42272,3660.471
42273,3178.696
42274,2904.679
42275,2435.35
42276,2784.087
42277,3541.743
42278,3311.21
42279,3095.604
42280,2405.602
42281,2502.414
42282,2575.527
42283,3095.035
42284,3726.669
42285,3672.733
42286,3251.802
42287,2978.676
42288,2707.844
42289,2564.99
42290,2142.139
42291,2143.63
42292,2654.841
42293,3207.155
42294,3340.422
42295,2902.084
42296,2276.668
42297,2703.682
42298,2651.908
42299,2875.412
42300,2882.562
42301,3151.845
42302,3302.243
42303,3150.787
42304,3018.006
42305,3270.365
42306,3233.057
42307,2636.658
42308,2462.254
42309,2748.012
42310,2840.263
42311,3004.086
42312,3277.823
42313,3057.437
42314,2818.997
42315,3320.142
42316,3537.644
42317,3314.263
42318,3497.107
42319,3520.388
42320,3185.638
42321,3645.649
42322,3314.108
42323,3254.466
42324,2859.432
42325,3886.777
42326,3626.448
42327,4049.028
42328,3930.807
42329,3783.93
42330,4253.487
42331,3703.191
42332,3744.902
42333,4142.854
42334,4036.392
42335,3339.376
42336,3634.974
42337,4164.295
42338,3797.97
42339,4692.889
42340,3703.817
42341,4000.627
42342,3617.907
42343,3301.122
42344,3312.005
42345,3224.03
42346,3618.23
42347,3856.674
42348,3499.869
42349,4315.706
42350,4773.155
42351,4595.316
42352,3378.83
42353,3722.493
42354,3600.014
42355,3939.443
42356,3841.874
42357,3971.977
42358,4142.058
42359,3393.412
42360,3998.757
42361,3653.717
42362,3467.509
42363,3114.625
42364,2729.323
42365,3482.502
42366,3632.431
42367,3692.105
42368,4208.716
42369,3748.341
42370,3862.594
