$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,178.66,360.44,380.28,108.89,105.58,114.36,166.86,351.99,257.68,75.14,116.32,351.48,301.78,153.43,151.12,147.03,105.7,95.78,83.39,68.54,64.67,63.52,81.3,110.02,97.99,61.06,208.25,137.5,73.45,,
,,116,307.67,372.1,105.75,77.99,79.31,68.31,79.74,104.45,63.23,88.83,149.07,137.69,103.73,91.84,70.73,92.02,84.07,74.14,62.25,60.09,59.98,76.21,102.4,91.51,48.04,57.3,53.5,50.07,,
,,76.84,190.37,356.53,102.64,73.65,76.12,63.24,71.74,99.05,52.19,69.79,67.35,71.39,83.48,75.77,62.08,71.6,67.11,61.52,54.81,56.07,51.48,59.67,72.9,67.65,43.98,51.9,46.16,40.96,,
,,73.01,108.73,268.06,91.4,70.01,73.08,58.88,64.71,94.34,48.42,58.36,64.14,64.89,67.15,64,58.42,57.48,55.11,52.15,48.6,52.95,43.09,44.42,46.59,46.37,40.54,46.66,41.46,36.75,,
,,70.05,81.07,137.85,75.65,66.73,67.27,54.42,57.95,92.06,47.02,50.94,60.99,60.77,60.11,57.64,53.26,52.59,50.36,47.56,44.22,50.48,40.98,42.18,44.11,43.96,37.31,41.19,36.62,32.48,,
,,58.57,58.25,84.05,61.03,58.78,53.52,48.22,52.34,65.39,45.71,47.78,50.71,51.85,55.26,53.16,49.44,50.56,47.83,44.42,40.33,48.46,38.39,38.77,39.37,39.31,32.8,36.95,32.22,27.94,,
,,45.32,47.26,78.3,47.15,46.54,41.75,42.65,48.92,39.39,43.23,45.28,41.21,43.52,50.39,48.99,46.51,46.88,44.27,41.01,37.1,46.43,34.21,33.84,33.24,31.97,26.45,33.45,28.82,24.63,,
,,40.88,43.24,72.75,37.7,38.83,37.75,39.52,42.02,37.63,40.4,42.35,39.62,40.86,44.55,44.21,43.61,39.52,38.23,36.61,34.68,44.32,18.59,17.71,16.29,14.77,21.07,30.73,26.52,22.71,,
,,38.79,40.22,69.85,32.47,35.78,34.24,36.04,34.95,33.8,35.42,38.11,37.72,38.19,39.6,39.84,40.26,30.81,27.82,24.08,19.6,41.29,5,5,5,5,14.18,22.52,21.67,20.9,,
,,37.01,35.48,20,30.29,33.14,28.75,27.63,16.57,16.3,28.93,32.3,34.79,33.06,27.89,28.47,29.5,18.01,14.02,9.05,5,19.68,0,0,0,0,5,12.35,15.95,19.2,,
,,29.9,16.11,5,14.61,15.84,12.56,10.57,0,5,13.05,14.53,17.28,15.7,10.97,10.88,10.72,5,5,5,0,0,0,0,0,0,0,7.41,13.01,18.07,,
,,11.88,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,8.14,12.07,,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
