$ THE DALLES_OUTFLOW.csv based on THE DALLES-POOL/FLOW-OUT from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  cms ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","THE.DALLES_OUTFLOW"
41323,4679.78
41324,4174.4
41325,4568.42
41326,4454.22
41327,4353.03
41328,4150.64
41329,4523.99
41330,4426.27
41331,4711.02
41332,4538.91
41333,4919.37
41334,3787.66
41335,4022.78
41336,3807.32
41337,3805.24
41338,3927.67
41339,4360.44
41340,3816.93
41341,3929.1
41342,4249.39
41343,3438.83
41344,4193.3
41345,4396.14
41346,3704.05
41347,3731.78
41348,3781.41
41349,3696.05
41350,3923.8
41351,4475.29
41352,4724.82
41353,3348.2
41354,4254.81
41355,4266.15
41356,4046.24
41357,3911.44
41358,4416.34
41359,4056.35
41360,4292.63
41361,4104.2
41362,3558.74
41363,4729.45
41364,4522.11
41365,4018.98
41366,3621.53
41367,4776.37
41368,4840.17
41369,5320.25
41370,5329.15
41371,5978.04
41372,6109.14
41373,7407.12
41374,6322.37
41375,6429.29
41376,6749.22
41377,4745.93
41378,5352.74
41379,6616.37
41380,6303.87
41381,5085.83
41382,5410.91
41383,4808.2
41384,5736.16
41385,5735.52
41386,6395.18
41387,5256.83
41388,4860.65
41389,5189.18
41390,5054.58
41391,5373.08
41392,5079.96
41393,4635.25
41394,4981.54
41395,5860.57
41396,5221.01
41397,5740.62
41398,5152.42
41399,4778.01
41400,5373.91
41401,5739.68
41402,6190.06
41403,6243.24
41404,7962.66
41405,8799.25
41406,8828.35
41407,8513.07
41408,9268.04
41409,10405.44
41410,10522.44
41411,9279.17
41412,9634.4
41413,9402.42
41414,8909.54
41415,8357.66
41416,8476.43
41417,9946.7
41418,8932.8
41419,8576.26
41420,8846.55
41421,8496.25
41422,7682.31
41423,6882
41424,6489.1
41425,7557.22
41426,7534.93
41427,6209.49
41428,8399.66
41429,7242.76
41430,7333.84
41431,7631.15
41432,6574.59
41433,7020.99
41434,7517.51
41435,8125.25
41436,6843.14
41437,8204.78
41438,7945.34
41439,6978.13
41440,6853.39
41441,6021.19
41442,6029.42
41443,6429.95
41444,6233.93
41445,6441.24
41446,6727.32
41447,8668.37
41448,7460.46
41449,6720.55
41450,7091.11
41451,7281.83
41452,6916.87
41453,6901.75
41454,7645.87
41455,6020.4
41456,6619.22
41457,7311.88
41458,7272.49
41459,7658.25
41460,7421.21
41461,7913.24
41462,7323.25
41463,7293.41
41464,6106.98
41465,5900.84
41466,6159.77
41467,6080.89
41468,6487.05
41469,6405.13
41470,5990.24
41471,5615.85
41472,5270.91
41473,5539.28
41474,5784.88
41475,5862.91
41476,5100.42
41477,5966.96
41478,5231.1
41479,4497.24
41480,5370.29
41481,5720.97
41482,4359.52
41483,4534.05
41484,5444.65
41485,5517.39
41486,5256.74
41487,4981.35
41488,4283.72
41489,4496.72
41490,4930.95
41491,4447.01
41492,4993.18
41493,4368.23
41494,4067.38
41495,4313.08
41496,4126.66
41497,3272.67
41498,4884.93
41499,5277.74
41500,4744.67
41501,3722.78
41502,4320.08
41503,4023.64
41504,3597.6
41505,4156.23
41506,4312.14
41507,3893.49
41508,3895.21
41509,3073.59
41510,2740.22
41511,3080.97
41512,4047.68
41513,3624.81
41514,3401.23
41515,3472.69
41516,3679.07
41517,3472.38
41518,2229.46
41519,2252.08
41520,2667.02
41521,2893.71
41522,2785.64
41523,2707.38
41524,2940.53
41525,2965.84
41526,2784.88
41527,3721.94
41528,4050.43
41529,2969.34
41530,2930.11
41531,2528.67
41532,2022.71
41533,2876.56
41534,3772.37
41535,2759.17
41536,2968.7
41537,3040.21
41538,2649.49
41539,2720.81
41540,3620.02
41541,2915.04
41542,3123.58
41543,3053.96
41544,3043.71
41545,2979.09
41546,3190.75
41547,3461.95
41548,3884.62
41549,4527.51
41550,3683.31
41551,3777.64
41552,3092.01
41553,3183.78
41554,3305.54
41555,3669.35
41556,3461.54
41557,3182.86
41558,3745.16
41559,3530.5
41560,3037.51
41561,3073.83
41562,2806.66
41563,3109.46
41564,3526.01
41565,3353.07
41566,2494.04
41567,2465.74
41568,3305.62
41569,2961.62
41570,3286.76
41571,2688.04
41572,2690.54
41573,2681.43
41574,2545.89
41575,3461.81
41576,3316.06
41577,2340.61
41578,2805.67
41579,2928.76
41580,3499.67
41581,3284.19
41582,4434.5
41583,3578.72
41584,3723.02
41585,3126.78
41586,3127.15
41587,3652.78
41588,3867.83
41589,3504.97
41590,3378.24
41591,3467.07
41592,3424.82
41593,3556.61
41594,3481.88
41595,3044.18
41596,3485.29
41597,3225.09
41598,3565.39
41599,3920.16
41600,4216.2
41601,3694.82
41602,3277.61
41603,3908.38
41604,3084.73
41605,3546.38
41606,3415.27
41607,3565.24
41608,3059.52
41609,2950.36
41610,2606.04
41611,3881.46
41612,4109.69
41613,3964.69
41614,4013.4
41615,3993.68
41616,3419.93
41617,3362.07
41618,3344.01
41619,3549.61
41620,2918.1
41621,3359.51
41622,3402.05
41623,3516.8
41624,3663.46
41625,3409.99
41626,3703.49
41627,3479.16
41628,3336.64
41629,3271.23
41630,3323
41631,3621.46
41632,3568.43
41633,3250.91
41634,3442.19
41635,3397.63
41636,3595.06
41637,3466.46
41638,3387.92
41639,3380.91
41640,3424.74
41641,3762.2
41642,3224.51
41643,3167.37
41644,3457.34
41645,4518.09
41646,4451.69
41647,3915.98
41648,3686.38
41649,4097.51
41650,2778.91
41651,4156.44
41652,3593.01
41653,4035.75
41654,4427.94
41655,4573.55
41656,4249.46
41657,3881.07
41658,3744.57
41659,4396.75
41660,4025.69
41661,4172.86
41662,3662.89
41663,3776.5
41664,3603.9
41665,4181.14
41666,3663.39
41667,3794
41668,3215.3
41669,3417.53
41670,3950.76
41671,3755.44
41672,3817.22
41673,3680.79
41674,3790.59
41675,4068.86
41676,4350.83
41677,3334.21
41678,3107.95
41679,3450.87
41680,3884.98
41681,3167.02
41682,3012.03
41683,2941.14
41684,4419.3
41685,5492.53
41686,4027.72
41687,4723.35
41688,5518.65
41689,4692.88
41690,4434.35
41691,4345.01
41692,4755.68
41693,4654.37
41694,4345.74
41695,4401.93
41696,4162.58
41697,4683.47
41698,4351.26
41699,5110.16
41700,5149.82
41701,5152.47
41702,4852.46
41703,5551.9
41704,6453.25
41705,6762.42
41706,8016.45
41707,7530.2
41708,7440.15
41709,7707.05
41710,9553.24
41711,9217.72
41712,8067.65
41713,7778.6
41714,7530.06
41715,7348.33
41716,6950.27
41717,7361.62
41718,7510.5
41719,6752.83
41720,6676.49
41721,6080.76
41722,5886.78
41723,6020.34
41724,6581.48
41725,5858.82
41726,5933.3
41727,6339.38
41728,6629.81
41729,7600.97
41730,6906.2
41731,6155.6
41732,6170.64
41733,6038.6
41734,6341.49
41735,5658.49
41736,5537.72
41737,5661.48
41738,5807.69
41739,6822.96
41740,6548.3
41741,6610.19
41742,7248.96
41743,7090.16
41744,6515.82
41745,7883.78
41746,7337.71
41747,6605.51
41748,7467.91
41749,7682.69
41750,7053.42
41751,6576.3
41752,7074.27
41753,6517.39
41754,7205.06
41755,7221.63
41756,7276.9
41757,7459.92
41758,7741.6
41759,6928.71
41760,7209.75
41761,6775.43
41762,7316.53
41763,7615.83
41764,8372.44
41765,9561.02
41766,9121
41767,8904.13
41768,7946.37
41769,7303.22
41770,8626.99
41771,8883.91
41772,8294.31
41773,7148.58
41774,7595.26
41775,7554.11
41776,8300.67
41777,8476.42
41778,8950.14
41779,9775.53
41780,9213.01
41781,8724.08
41782,9539.41
41783,10088.53
41784,10050.47
41785,10542.09
41786,11303.63
41787,11217.83
41788,10468.61
41789,10484.82
41790,10157.29
41791,9752.1
41792,10519.91
41793,10210.8
41794,9923.8
41795,10256.39
41796,10813.74
41797,9772.3
41798,9500.97
41799,9121.65
41800,9610.44
41801,8488.4
41802,7927.11
41803,7243.53
41804,8235.65
41805,6848.16
41806,6873.22
41807,7258.03
41808,8104.87
41809,6923.11
41810,6109.53
41811,6935.17
41812,7620.61
41813,6532.15
41814,5930.33
41815,6601.05
41816,6088.96
41817,6061.74
41818,6089.88
41819,6655.34
41820,7411.52
41821,6840.55
41822,6689.48
41823,7038.38
41824,7535.02
41825,7951.31
41826,6746.38
41827,7921.09
41828,7466.06
41829,6917.36
41830,6801.79
41831,6835.89
41832,7823.65
41833,5785.02
41834,6153.53
41835,6074.71
41836,6256.4
41837,5891.22
41838,6026.47
41839,5421.26
41840,5479.44
41841,5639.79
41842,5256.15
41843,5023.67
41844,5287.51
41845,6437.51
41846,5389.99
41847,5118.26
41848,5782.81
41849,4563.19
41850,4619
41851,4925.44
41852,4030.1
41853,3874.86
41854,3859.41
41855,4955.95
41856,4359.46
41857,4368.16
41858,4586.75
41859,4413.3
41860,4132.22
41861,3958.69
41862,4499.46
41863,4025.63
41864,4022.74
41865,4244.49
41866,3985.49
41867,3899.31
41868,4001.22
41869,4120
41870,4127.26
41871,3547.63
41872,3755.58
41873,3936.17
41874,3757.12
41875,3589.98
41876,3588.17
41877,3185.26
41878,3493.14
41879,3044.98
41880,3160.57
41881,2796.81
41882,3464.16
41883,2356.81
41884,2789.08
41885,2667.7
41886,3527.44
41887,2875.5
41888,3046.4
41889,2391.53
41890,2495.71
41891,2638.5
41892,2893.24
41893,2737.65
41894,2939.21
41895,3016.85
41896,2454.12
41897,2928.9
41898,2775.71
41899,2999.81
41900,2573.4
41901,2650.19
41902,2583.09
41903,2648.33
41904,2906.23
41905,3262.49
41906,3158.81
41907,2885.14
41908,2452.54
41909,2749.46
41910,2610.16
41911,2512.14
41912,2489.36
41913,2806.44
41914,3395.69
41915,3398.04
41916,2507.39
41917,2813.79
41918,3304.73
41919,3232.54
41920,3253.21
41921,3216.41
41922,2614.22
41923,2404.36
41924,2709.68
41925,3390.44
41926,3146.8
41927,2873.9
41928,3330.05
41929,3329.91
41930,2796.52
41931,2718.27
41932,2935.96
41933,3238.15
41934,3038.9
41935,3299.81
41936,3473.96
41937,3311.69
41938,3008.93
41939,3249.15
41940,4017.07
41941,3666.97
41942,3480.96
41943,3606.7
41944,3155.49
41945,3594.23
41946,4003.05
41947,3929.03
41948,4359.21
41949,4523.51
41950,5138.25
41951,5017.32
41952,4743.17
41953,5135.48
41954,5156.16
41955,5324.43
41956,4859.41
41957,3896.14
41958,3815.04
41959,4379.15
41960,4353.21
41961,3647.51
41962,3582.12
41963,3728.13
41964,3487.94
41965,3290.57
41966,3382.59
41967,3760.76
41968,4033.1
41969,4112.14
41970,4172.79
41971,4090.72
41972,5188.67
41973,5681.34
41974,5746.7
41975,5380.5
41976,4581.44
41977,4388.26
41978,4486.55
41979,3912.66
41980,4273.96
41981,4321.99
41982,4396.66
41983,4805.41
41984,4189.57
41985,4327.29
41986,4642.92
41987,5184.39
41988,4757.07
41989,4739.85
41990,4450.55
41991,5201.93
41992,4962.12
41993,4802.13
41994,4644.81
41995,4673.28
41996,4260.16
41997,4676.2
41998,5175.1
41999,5428.14
42000,5185.13
42001,4658.05
42002,4978.3
42003,5032.05
42004,5118.97
42005,4789.41
42006,4301
42007,4514.07
42008,5165.57
42009,4351.09
42010,3853.25
42011,5441.13
42012,5767.82
42013,5965.2
42014,5617.77
42015,5625.73
42016,5408.69
42017,5396.16
42018,5268.19
42019,5171.39
42020,4526.11
42021,5376.07
42022,4776.42
42023,5095.88
42024,5424.57
42025,6057.4
42026,5746.91
42027,5203.01
42028,4733.55
42029,5237.13
42030,5173.71
42031,5523.38
42032,5849.42
42033,5681.21
42034,5828.15
42035,5611.99
42036,5764.47
42037,6183.46
42038,5318.63
42039,6001.56
42040,6190.5
42041,6137.99
42042,6446.97
42043,6999.73
42044,6658.58
42045,8202.58
42046,8956.72
42047,9389.93
42048,8814.51
42049,8341.89
42050,8718.81
42051,8241.37
42052,7831.1
42053,8027.56
42054,7259.35
42055,7687.38
42056,7188.55
42057,7204.03
42058,6715.17
42059,6736.08
42060,5914.27
42061,6170.95
42062,6642.09
42063,6489.58
42064,6101.43
42065,5974.77
42066,5630.93
42067,5574.99
42068,6132.33
42069,6384.99
42070,5392.16
42071,4878.46
42072,4993.19
42073,4981.51
42074,5438.5
42075,5270.58
42076,5205.63
42077,4794.38
42078,5292.63
42079,6794.79
42080,6739.49
42081,6279.63
42082,7466.68
42083,6376.75
42084,6102.08
42085,6817.93
42086,6052.68
42087,5904.21
42088,6652.09
42089,6506.19
42090,7034.75
42091,6252.96
42092,7288.24
42093,7144.68
42094,6932.07
42095,6577.97
42096,5955.77
42097,6123.11
42098,6163.6
42099,5999.8
42100,5745.93
42101,5376.97
42102,4675.64
42103,4611.95
42104,4524.59
42105,4593.65
42106,5288.2
42107,5584.75
42108,4173.94
42109,3257.97
42110,4665.36
42111,4308.96
42112,4282.87
42113,4476.3
42114,4862.51
42115,4313
42116,3645.33
42117,4241.28
42118,3973.8
42119,4000.29
42120,4434.2
42121,5257.6
42122,4091.51
42123,4088.83
42124,3694.76
42125,4736.4
42126,5418.03
42127,5307.23
42128,4886.33
42129,4584.58
42130,5283.92
42131,5860.27
42132,5613.2
42133,5784.65
42134,5319.52
42135,5045.7
42136,5820.09
42137,6029.12
42138,5891.21
42139,5951.07
42140,4806.35
42141,4851.22
42142,5535.89
42143,5573.1
42144,5474.09
42145,5439.87
42146,5103.3
42147,5278.5
42148,5984.64
42149,5519.04
42150,5682.49
42151,5821.44
42152,5751.52
42153,5420.59
42154,4670
42155,5535.94
42156,5657.1
42157,5170.54
42158,5170.32
42159,5775.64
42160,5806.08
42161,5701.99
42162,4955.12
42163,5491.96
42164,5759.39
42165,4349.59
42166,4866.83
42167,4815.52
42168,5114.17
42169,5013.09
42170,5898.66
42171,5220.73
42172,4363.22
42173,3681.51
42174,3856.75
42175,3531.35
42176,4117.96
42177,3816.71
42178,3749.74
42179,3911.68
42180,4030.48
42181,4086.34
42182,3652.11
42183,3289.91
42184,3471.74
42185,3261.06
42186,2965.12
42187,3248.16
42188,2788.03
42189,3093.66
42190,2900.77
42191,3042.65
42192,3387.39
42193,2832.66
42194,3340.77
42195,2446.34
42196,2434.08
42197,3731.75
42198,4201.75
42199,3984.53
42200,3647.54
42201,3088.12
42202,3149.54
42203,3558.01
42204,3107.92
42205,3175.35
42206,3195.31
42207,3128.17
42208,2423.67
42209,3072.1
42210,3393.05
42211,2607.82
42212,2886.1
42213,3263.28
42214,3209.19
42215,3545.56
42216,3284.78
42217,2920.68
42218,2576.8
42219,2998.84
42220,3183.28
42221,3357.16
42222,3252.77
42223,3975.38
42224,3468.15
42225,2818.23
42226,3456.01
42227,3424.72
42228,3466.29
42229,3250.46
42230,3043.29
42231,3053.36
42232,3655.33
42233,3585.17
42234,3166.99
42235,3575
42236,2834.4
42237,2866.91
42238,3543.87
42239,3376.69
42240,3427.41
