$ 2008-2017_NAVD88/QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  ../SpillEdits_NB/QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE-LEAKAGE_QTOTMISC.csv, BONNEVILLE-POOLELEV.csv, BONNEVILLE-POWER PLANT_FLOW-TURBINE.csv, BONNEVILLE-SPILLWAY_QTOTSPILL.csv, BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; spillbay flow from published spill pattern
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40585,5684.39,33.996,33.996,33.996,33.996,33.996,0,0,33.996,0,33.996,0,33.996,0,33.996,0,33.996,56.27,33.996,106.19
40586,5684.39,34.711,34.711,0,34.711,34.711,0,0,0,0,5.739,0,5.739,0,5.739,0,34.711,34.711,34.711,106.19
40587,5684.39,33.975,65.12,65.12,33.975,33.975,33.975,33.975,33.975,33.975,33.975,33.975,33.975,33.975,33.975,33.975,33.975,65.12,51.725,106.19
40588,5405.55,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,106.19
40589,5684.39,34.664,34.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.129,34.664,106.19
40590,5684.39,65.098,65.098,65.098,65.098,33.964,33.964,37.398,33.964,65.098,33.964,33.964,33.964,33.964,33.964,65.098,65.098,65.098,65.098,106.19
40591,5684.39,34.388,34.388,0,34.388,34.388,0,0,0,0,29.222,0,29.222,0,29.222,0,34.388,34.388,34.388,106.19
40592,5684.39,34.347,34.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.238,34.347,106.19
40593,5684.39,62.325,65.099,65.099,33.965,33.965,33.965,33.965,33.965,33.965,33.965,33.965,33.965,33.965,33.965,33.965,33.965,65.099,65.099,106.19
40594,5684.39,33.961,65.092,33.961,33.961,33.961,33.961,0,33.961,0,33.961,0,33.961,0,33.961,0.262,33.961,65.092,33.961,106.19
40595,5684.39,33.984,33.984,0.628,33.984,33.984,0,0,0.628,0,33.984,0,33.984,0,33.984,0,33.984,33.984,33.984,106.19
40596,5684.39,33.991,33.991,33.991,33.991,33.991,0,0,33.991,0,33.991,0,33.991,0,33.991,0,33.991,40.337,33.991,106.19
40597,5335.61,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,106.19
40598,5684.39,33.963,65.096,33.963,33.963,33.963,33.963,0.82,33.963,0,33.963,0,33.963,0,33.963,33.963,33.963,65.096,33.963,106.19
40599,5034.01,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,106.19
40600,5326.14,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,106.19
40601,4997.3,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,106.19
40602,5684.39,35.007,35.007,0,35.007,35.007,0,0,0,0,17.981,0,17.981,0,17.981,0,35.007,35.007,35.007,106.19
40603,4694.98,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,300.16
40604,5077.62,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,300.16
40605,4738.16,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40606,4466.38,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40607,4717.07,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40608,4455.35,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40609,4353.14,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40610,4621.05,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40611,4852.07,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40612,5233.66,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40613,4396.84,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40614,5376.37,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40615,5447.54,65.104,65.104,65.104,65.104,33.967,65.104,65.104,33.967,65.104,52.335,33.967,65.104,65.104,33.967,65.104,65.104,65.104,65.104,300.16
40616,4955.39,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40617,5447.54,34.686,3.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.686,300.16
40618,5447.54,34.202,34.202,0,34.202,34.202,0,0,0,0,1.433,0,1.433,0,1.433,0,34.202,34.202,34.202,300.16
40619,5092.89,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40620,5447.54,65.109,65.109,65.109,65.109,33.97,33.97,47.361,33.97,65.109,33.97,33.97,33.97,33.97,33.97,65.109,65.109,65.109,65.109,300.16
40621,5447.54,65.097,90.213,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,65.097,300.16
40622,5447.54,65.098,96.231,73.4,65.098,65.098,65.098,65.098,65.098,65.098,65.098,65.098,65.098,65.098,65.098,65.098,96.231,96.231,65.098,300.16
40623,5251.31,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40624,5418.97,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40625,5380.13,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40626,5447.54,34.185,34.185,0,34.185,34.185,0,0,0,0,31.589,0,31.589,0,31.589,0,34.185,34.185,34.185,300.16
40627,4887.76,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40628,5047.67,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40629,5338.06,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40630,5447.54,34.472,34.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.363,34.472,300.16
40631,5173.14,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40632,5255.65,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40633,4512.71,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,300.16
40634,5289.64,33.969,65.107,33.969,33.969,33.969,33.969,33.969,33.969,29.948,33.969,33.969,33.969,33.969,33.969,33.969,33.969,65.107,33.969,325.64
40635,5289.64,127.354,155.654,127.354,127.354,127.354,127.354,127.354,127.354,0,127.354,127.354,127.354,127.354,127.354,127.354,149.01,155.654,127.354,325.64
40636,5289.64,127.359,131.341,127.359,109.44,127.359,0,127.359,127.359,0,127.359,127.359,0,127.359,127.359,0,131.341,131.341,127.359,325.64
40637,5289.64,226.771,243.383,243.383,215.083,186.783,186.783,186.783,186.783,186.783,186.783,186.783,186.783,186.783,186.783,215.083,243.383,243.383,243.383,325.64
40638,5289.64,215.083,215.083,215.083,215.083,186.783,186.783,186.783,186.783,155.652,155.652,186.783,186.783,186.783,186.783,186.783,215.083,243.384,233.191,325.64
40639,5289.64,186.784,215.084,215.084,186.784,186.784,186.784,186.784,186.784,155.653,155.653,186.784,171.153,186.784,186.784,186.784,215.084,243.385,215.084,325.64
