$ BONNEVILLE-POOLELEV.csv based on BONNEVILLE-POOL/ELEV-NAVD88 from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  meters ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","BONNEVILLE.POOLELEV"
41151,24.17
41152,24.17
41153,24.17
41154,24.17
41155,24.07
41156,24.17
41157,24.17
41158,24.17
41159,24.17
41160,24.17
41161,24.17
41162,24.17
41163,24.17
41164,24.17
41165,24.17
41166,24.17
41167,24.17
41168,24.17
41169,24.17
41170,24.17
41171,24.17
41172,24.17
41173,24.17
41174,24.17
41175,24.17
41176,24.17
41177,24.17
41178,24.17
41179,24.17
41180,24.17
41181,24.17
41182,24.17
41183,24.17
41184,24.17
41185,24.17
41186,24.17
41187,24.17
41188,24.17
41189,24.17
41190,24.17
41191,24.17
41192,24.17
41193,24.17
41194,24.17
41195,24.17
41196,24.17
41197,24.17
41198,24.17
41199,24.17
41200,24.17
41201,24.17
41202,24.17
41203,24.17
41204,24.17
41205,24.17
41206,24.17
41207,24.17
41208,24.17
41209,24.17
41210,24.17
41211,24.17
41212,24.17
41213,24.17
41214,24.17
41215,24.17
41216,24.17
41217,24.17
41218,24.17
41219,24.17
41220,24.17
41221,24.17
41222,24.17
41223,24.17
41224,24.17
41225,24.17
41226,24.17
41227,24.17
41228,24.17
41229,24.17
41230,24.17
41231,24.17
41232,24.17
41233,24.17
41234,24.17
41235,24.17
41236,24.17
41237,24.17
41238,24.17
41239,24.17
41240,24.17
41241,24.17
41242,24.17
41243,24.17
41244,24.17
41245,24.17
41246,24.17
41247,24.17
41248,24.17
41249,24.17
41250,24.17
41251,24.17
41252,24.17
41253,24.17
41254,24.17
41255,24.17
41256,24.17
41257,24.17
41258,24.17
41259,24.17
41260,24.17
41261,24.17
41262,24.17
41263,24.17
41264,24.17
41265,24.17
41266,24.17
41267,24.17
41268,24.17
41269,24.17
41270,24.17
41271,24.17
41272,24.17
41273,24.17
41274,24.17
41275,24.17
41276,24.17
41277,24.17
41278,24.17
41279,24.17
41280,24.17
41281,24.17
41282,24.17
41283,24.17
41284,24.17
41285,24.17
41286,24.17
41287,24.17
41288,24.17
41289,24.17
41290,24.17
41291,24.17
41292,24.17
41293,24.17
41294,24.17
41295,24.17
41296,24.17
41297,24.17
41298,24.17
41299,24.17
41300,24.17
41301,24.17
41302,24.17
41303,24.17
41304,24.17
41305,24.17
41306,24.17
41307,24.17
41308,24.17
41309,24.17
41310,24.17
41311,24.17
41312,24.17
41313,24.17
41314,24.17
41315,24.17
41316,24.17
41317,24.17
41318,24.17
41319,24.17
41320,24.17
41321,24.17
41322,24.17
41323,24.17
41324,24.17
41325,24.17
41326,24.17
41327,24.17
41328,24.17
41329,24.17
41330,24.17
41331,24.17
41332,24.17
41333,24.17
41334,24.17
41335,24.17
41336,24.17
41337,24.17
41338,24.17
41339,24.17
41340,24.17
41341,24.17
41342,24.17
41343,24.17
41344,24.17
41345,24.17
41346,24.17
41347,24.17
41348,24.17
41349,24.17
41350,24.17
41351,24.17
41352,24.17
41353,24.17
41354,24.17
41355,24.17
41356,24.17
41357,24.17
41358,24.17
41359,24.17
41360,24.17
41361,24.17
41362,24.17
41363,24.17
41364,24.17
41365,24.17
41366,24.17
41367,24.17
41368,24.17
41369,24.17
41370,24.17
41371,24.17
41372,24.17
41373,24.17
41374,24.17
41375,24.17
41376,24.17
41377,24.17
41378,24.17
41379,24.17
41380,24.17
41381,24.17
41382,24.17
41383,24.17
41384,24.17
41385,24.17
41386,24.17
41387,24.17
41388,24.17
41389,24.17
41390,24.17
41391,24.17
41392,24.17
41393,24.17
41394,24.17
41395,24.17
41396,24.17
41397,24.17
41398,24.17
41399,24.17
41400,24.17
41401,24.17
41402,24.17
41403,24.17
41404,24.17
41405,24.17
41406,24.17
41407,24.17
41408,24.17
41409,24.17
41410,24.17
41411,24.17
41412,24.17
41413,24.17
41414,24.17
41415,24.17
41416,24.17
41417,24.17
41418,24.17
41419,24.17
41420,24.17
41421,24.17
41422,24.17
41423,24.17
41424,24.17
41425,24.17
41426,24.17
41427,24.17
41428,24.17
41429,24.17
41430,24.17
41431,24.17
41432,24.17
41433,24.17
41434,24.17
41435,24.17
41436,24.17
41437,24.17
41438,24.17
41439,24.17
41440,24.17
41441,24.17
41442,24.17
41443,24.17
41444,24.17
41445,24.17
41446,24.17
41447,24.17
41448,24.17
41449,24.17
41450,24.17
41451,24.17
41452,24.17
41453,24.17
41454,24.17
41455,24.17
41456,24.17
41457,24.17
41458,24.17
41459,24.17
41460,24.17
41461,24.17
41462,24.17
41463,24.17
41464,24.17
41465,24.17
41466,24.17
41467,24.17
41468,24.17
41469,24.17
41470,24.17
41471,24.17
41472,24.17
41473,24.17
41474,24.17
41475,24.17
41476,24.17
41477,24.17
41478,24.17
41479,24.17
41480,24.17
41481,24.17
41482,24.17
41483,24.17
41484,24.17
41485,24.17
41486,24.17
41487,24.17
41488,24.17
41489,24.17
41490,24.17
41491,24.17
41492,24.17
41493,24.17
41494,24.17
41495,24.17
41496,24.17
41497,24.17
41498,24.17
41499,24.17
41500,24.17
41501,24.17
41502,24.17
41503,24.17
41504,24.17
41505,24.17
41506,24.17
41507,24.17
41508,24.17
41509,24.17
41510,23.51
41511,24.17
41512,24.17
41513,24.17
41514,23.86
41515,24.07
41516,24.17
41517,24.17
41518,24.17
41519,24.17
41520,24.17
41521,24.17
41522,24.17
41523,24.17
41524,24.17
41525,24.17
41526,24.17
41527,24.17
41528,24.17
41529,24.17
41530,24.17
41531,24.17
41532,24.17
41533,24.17
41534,24.17
41535,24.17
41536,24.17
41537,24.17
41538,24.17
41539,24.17
41540,24.17
41541,24.17
41542,24.17
41543,24.17
41544,24.17
41545,24.17
41546,24.17
41547,24.17
41548,24.17
41549,24.17
41550,24.17
41551,24.17
41552,24.17
41553,24.17
41554,24.17
41555,24.17
41556,24.17
41557,24.17
41558,24.17
41559,24.17
41560,24.17
41561,24.17
41562,24.17
41563,24.17
41564,24.17
41565,24.17
41566,24.17
41567,24.17
41568,24.17
41569,24.17
41570,24.17
41571,24.17
41572,24.17
41573,24.17
41574,24.17
41575,24.17
41576,24.17
41577,24.17
41578,24.17
41579,24.17
41580,24.17
41581,24.17
41582,24.17
41583,24.17
41584,24.17
41585,24.17
41586,24.17
41587,24.17
41588,24.17
41589,24.17
41590,24.17
41591,24.17
41592,24.17
41593,24.17
41594,24.17
41595,24.17
41596,24.17
41597,24.17
41598,24.17
41599,24.17
41600,24.17
41601,24.17
41602,24.17
41603,24.17
41604,24.17
41605,24.17
41606,24.17
41607,24.17
41608,24.17
41609,24.17
41610,24.17
41611,24.17
41612,24.17
41613,24.17
41614,24.17
41615,24.17
41616,24.17
41617,24.17
41618,24.17
41619,24.17
41620,24.17
41621,24.17
41622,24.17
41623,24.17
41624,24.17
41625,24.17
41626,24.17
41627,24.17
41628,24.17
41629,24.17
41630,24.17
41631,24.17
41632,24.17
41633,24.17
41634,24.17
41635,24.17
41636,24.17
41637,24.17
41638,24.17
41639,24.17
41640,24.17
41641,24.17
41642,24.17
41643,24.17
41644,24.17
41645,24.17
41646,24.17
41647,24.17
41648,24.17
41649,24.17
41650,24.17
41651,24.17
41652,24.17
41653,24.17
41654,24.17
41655,24.17
41656,24.17
41657,24.17
41658,24.17
41659,24.17
41660,24.17
41661,24.17
41662,24.17
41663,24.17
41664,24.17
41665,24.17
41666,24.17
41667,24.17
41668,24.17
41669,24.17
41670,24.17
41671,24.17
41672,24.17
41673,24.17
41674,24.17
41675,24.17
41676,24.17
41677,24.17
41678,24.17
41679,24.17
41680,24.17
41681,24.17
41682,24.17
41683,24.17
41684,24.17
41685,24.17
41686,24.17
41687,24.17
41688,24.17
41689,24.17
41690,24.17
41691,24.17
41692,24.17
41693,24.17
41694,24.17
41695,24.17
41696,24.17
41697,24.17
41698,24.17
41699,24.17
41700,24.17
41701,24.17
41702,24.17
41703,24.17
41704,24.17
41705,24.17
41706,24.17
41707,24.17
41708,24.17
41709,24.17
41710,24.17
41711,24.17
41712,24.17
41713,24.17
41714,24.17
41715,24.17
41716,24.17
41717,24.17
41718,24.17
41719,24.17
41720,24.17
41721,24.17
41722,24.17
41723,24.17
41724,24.17
41725,24.17
41726,24.17
41727,24.17
41728,24.17
41729,24.17
41730,24.17
41731,24.17
41732,24.17
41733,24.17
41734,24.17
41735,24.17
41736,24.17
41737,24.17
41738,24.17
41739,24.17
41740,24.17
41741,24.17
41742,24.17
41743,24.17
41744,24.17
41745,24.17
41746,24.17
41747,24.17
41748,24.17
41749,24.17
41750,24.17
41751,24.17
41752,24.17
41753,24.17
41754,24.17
41755,24.17
41756,24.17
41757,24.17
41758,24.17
41759,24.17
41760,24.17
41761,24.17
41762,24.17
41763,24.17
41764,24.17
41765,24.17
41766,24.17
41767,24.17
41768,24.17
41769,24.17
41770,24.17
41771,24.17
41772,24.17
41773,24.17
41774,24.17
41775,24.17
41776,24.17
41777,24.17
41778,24.17
41779,24.17
41780,24.17
41781,24.17
41782,24.17
41783,24.17
41784,24.17
41785,24.17
41786,24.17
41787,24.17
41788,24.17
41789,24.17
41790,24.17
41791,24.17
41792,24.17
41793,24.17
41794,24.17
41795,24.17
41796,24.17
41797,24.17
41798,24.17
41799,24.17
41800,24.17
41801,24.17
41802,24.17
41803,24.17
41804,24.17
41805,24.17
41806,24.17
41807,24.17
41808,24.17
41809,24.17
41810,24.17
41811,24.17
41812,24.17
41813,24.17
41814,24.17
41815,24.17
41816,24.17
41817,24.17
41818,24.17
41819,24.17
41820,24.17
41821,24.17
41822,24.17
41823,24.17
41824,24.17
41825,24.17
41826,24.17
41827,24.17
41828,24.17
41829,24.17
41830,24.17
41831,24.17
41832,24.17
41833,24.17
41834,24.17
41835,24.17
41836,24.17
41837,24.17
41838,24.17
41839,24.17
41840,24.17
41841,24.17
41842,24.17
41843,24.17
41844,24.17
41845,24.17
41846,24.17
41847,24.17
41848,24.17
41849,24.17
41850,24.17
41851,24.17
41852,24.17
41853,24.17
41854,24.17
41855,24.17
41856,24.17
41857,24.17
41858,24.17
41859,24.17
41860,24.17
41861,24.17
41862,24.17
41863,24.17
41864,24.17
41865,24.17
41866,24.17
41867,24.17
41868,24.17
41869,24.17
41870,24.17
41871,24.17
41872,24.17
41873,24.17
41874,24.17
41875,24.17
41876,24.17
41877,24.17
41878,24.17
41879,24.17
41880,24.17
41881,24.14
41882,24.17
41883,24.17
41884,24.17
41885,24.17
41886,24.17
41887,24.17
41888,24.17
41889,24.17
41890,24.17
41891,24.17
41892,24.17
41893,24.17
41894,24.17
41895,24.17
41896,24.17
41897,24.17
41898,24.17
41899,24.17
41900,24.17
41901,24.17
41902,24.17
41903,24.17
41904,24.17
41905,24.17
41906,24.17
41907,24.17
41908,24.17
41909,24.17
41910,24.17
41911,24.17
41912,24.17
41913,24.17
41914,24.17
41915,24.17
41916,24.17
41917,24.17
41918,24.17
41919,24.17
41920,24.17
41921,24.17
41922,24.17
41923,24.17
41924,24.17
41925,24.17
41926,24.17
41927,24.17
41928,24.17
41929,24.17
41930,24.17
41931,24.17
41932,24.17
41933,24.17
41934,24.17
41935,24.17
41936,24.17
41937,24.17
41938,24.17
41939,24.17
41940,24.17
41941,24.17
41942,24.17
41943,24.17
41944,24.17
41945,24.17
41946,24.17
41947,24.17
41948,24.17
41949,24.17
41950,24.17
41951,24.17
41952,24.17
41953,24.17
41954,24.17
41955,24.17
41956,24.17
41957,24.17
41958,24.17
41959,24.17
41960,24.17
41961,24.17
41962,24.17
41963,24.17
41964,24.17
41965,24.17
41966,24.17
41967,24.17
41968,24.17
41969,24.17
41970,24.17
41971,24.17
41972,24.17
41973,24.17
41974,24.17
41975,24.17
41976,24.17
41977,24.17
41978,24.17
41979,24.17
41980,24.17
41981,24.17
41982,24.17
41983,24.17
41984,24.17
41985,24.17
41986,24.17
41987,24.17
41988,24.17
41989,24.17
41990,24.17
41991,24.17
41992,24.17
41993,24.17
41994,24.17
41995,24.17
41996,24.17
41997,24.17
41998,24.17
41999,24.17
42000,24.17
42001,24.17
42002,24.17
42003,24.17
42004,24.17
42005,24.17
42006,24.17
42007,24.17
42008,24.17
42009,24.17
42010,24.17
42011,24.17
42012,24.17
42013,24.17
42014,24.17
42015,24.17
42016,24.17
42017,24.17
42018,24.17
42019,24.17
42020,24.17
42021,24.17
42022,24.17
42023,24.17
42024,24.17
42025,24.17
42026,24.17
42027,24.17
42028,24.17
42029,24.17
42030,24.17
42031,24.17
42032,24.17
42033,24.17
42034,24.17
42035,24.17
42036,24.17
42037,24.17
42038,24.17
42039,24.17
42040,24.17
42041,24.17
42042,24.17
42043,24.17
42044,24.17
42045,24.17
42046,24.17
42047,24.17
42048,24.17
42049,24.17
42050,24.17
42051,24.17
42052,24.17
42053,24.17
42054,24.17
42055,24.17
42056,24.17
42057,24.17
42058,24.17
42059,24.17
42060,24.17
42061,24.17
42062,24.17
42063,24.17
42064,24.17
42065,24.17
42066,24.17
42067,24.17
42068,24.17
42069,24.17
42070,24.17
42071,24.17
42072,24.17
42073,24.17
42074,24.17
42075,24.17
42076,24.17
42077,24.17
42078,24.17
42079,24.17
42080,24.17
42081,24.17
42082,24.17
42083,24.17
42084,24.17
42085,24.17
42086,24.17
42087,24.17
42088,24.17
42089,24.17
42090,24.17
42091,24.17
42092,24.17
42093,24.17
42094,24.17
42095,24.17
42096,24.17
42097,24.17
42098,24.17
42099,24.17
42100,24.17
42101,24.17
42102,24.17
42103,24.17
42104,24.17
42105,24.17
42106,24.17
42107,24.17
42108,24.17
42109,24.17
42110,24.17
42111,24.17
42112,24.17
42113,24.17
42114,24.17
42115,24.17
42116,24.17
42117,24.17
42118,24.17
42119,24.17
42120,24.17
42121,24.17
42122,24.17
42123,24.17
42124,24.17
42125,24.17
42126,24.17
42127,24.17
42128,24.17
42129,24.17
42130,24.17
42131,24.17
42132,24.17
42133,24.17
42134,24.17
42135,24.17
42136,24.17
42137,24.17
42138,24.17
42139,24.17
42140,24.17
42141,24.17
42142,24.17
42143,24.17
42144,24.17
42145,24.17
42146,24.17
42147,24.17
42148,24.17
42149,24.17
42150,24.17
42151,24.17
42152,24.17
42153,24.17
42154,24.17
42155,24.17
42156,24.17
42157,24.17
42158,24.17
42159,24.17
42160,24.17
42161,24.17
42162,24.17
42163,24.17
42164,24.17
42165,24.17
42166,24.17
42167,24.17
42168,24.17
42169,24.17
42170,24.17
42171,24.17
42172,24.17
42173,24.17
42174,24.17
42175,24.17
42176,24.17
42177,24.17
42178,24.17
42179,24.17
42180,24.17
42181,24.17
42182,24.17
42183,24.17
42184,24.17
42185,24.17
42186,24.17
42187,23.5
42188,23.59
42189,24.17
42190,24.17
42191,23.46
42192,23.5
42193,24.17
42194,23.88
42195,24.17
42196,23.95
42197,24.17
42198,24.17
42199,24.17
42200,24.17
42201,24.17
42202,23.9
42203,24.17
42204,24.17
42205,24.17
42206,24.1
42207,24.17
42208,24.03
42209,23.46
42210,23.93
42211,23.52
42212,23.41
42213,23.44
42214,23.37
42215,23.28
42216,23.52
42217,23.53
42218,24.17
42219,23.55
42220,23.47
42221,24.17
42222,24.17
42223,24.17
42224,24.17
42225,24.17
42226,23.53
42227,24.17
42228,24.17
42229,24.17
42230,24.17
42231,23.69
42232,24.17
42233,24.17
42234,24.17
42235,23.71
42236,24.17
42237,23.91
42238,24.17
42239,24.17
42240,24.17
42241,24.15
42242,24.17
42243,23.46
42244,23.19
42245,23.12
42246,22.91
42247,22.87
42248,23.34
42249,23.54
42250,24.17
42251,24.17
42252,24.17
42253,24.17
42254,24.17
42255,24.17
42256,24.17
42257,24.17
42258,24.17
42259,24.17
42260,24.17
42261,24.17
42262,24.17
42263,24.17
42264,24.17
42265,24.17
42266,24.17
42267,24.17
42268,24.17
42269,24.17
42270,24.17
42271,24.17
42272,24.17
42273,24.17
42274,24.17
42275,24.17
42276,24.17
42277,24.17
42278,24.17
42279,24.17
42280,24.17
42281,24.17
42282,24.17
42283,24.17
42284,24.17
42285,24.17
42286,24.17
42287,24.17
42288,24.17
42289,24.17
42290,24.17
42291,24.17
42292,24.17
42293,24.17
42294,24.17
42295,24.17
42296,24.17
42297,24.17
42298,24.17
42299,24.17
42300,24.17
42301,24.17
42302,24.17
42303,24.17
42304,24.17
42305,24.17
42306,24.17
42307,24.17
42308,24.17
42309,24.17
42310,24.17
42311,24.17
42312,24.17
42313,24.17
42314,24.17
42315,24.17
42316,24.17
42317,24.17
42318,24.17
42319,24.17
42320,24.17
42321,24.17
42322,24.17
42323,24.17
42324,24.17
42325,24.17
42326,24.17
42327,24.17
42328,24.17
42329,24.17
42330,24.17
42331,24.17
42332,24.17
42333,24.17
42334,24.17
42335,24.17
42336,24.17
42337,24.17
42338,24.17
42339,24.17
42340,24.17
42341,24.17
42342,24.17
42343,24.17
42344,24.17
42345,24.17
42346,24.17
42347,24.17
42348,24.17
42349,24.17
42350,24.17
42351,24.17
42352,24.17
42353,24.17
42354,24.17
42355,24.17
42356,24.17
42357,24.17
42358,24.17
42359,24.17
42360,24.17
42361,24.17
42362,24.17
42363,24.17
42364,24.17
42365,24.17
42366,24.17
42367,24.17
42368,24.17
42369,24.17
