$Spokane,International,Airport,met,data,,1/1/2001,to,
Solar,is,from,Odessa,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar,
57.122,-9.4,-12.2,0,0,0,0,
57.164,-8.3,-11.1,0,0,0,0,
57.206,-10,-12.8,0,0,1.9,0,
57.247,-10,-12.2,0,0,1.9,0,
57.289,-10.6,-12.8,0,0,4.4,5.11,
57.331,-7.8,-9.4,0,0,7.5,121.39,
57.372,-5,-7.8,2.06,0.52,7.5,258.11,
57.414,-2.8,-7.8,0,0,4.4,343.25,
57.456,-2.2,-6.1,2.06,4.36,4.4,505.88,
57.497,0,-8.9,2.06,4.54,4.4,567.91,
57.539,0.6,-8.3,0,0,4.4,570.46,
57.581,1.7,-7.8,2.06,4.36,1.9,550.71,
57.622,1.7,-7.8,3.09,4.36,1.9,434.55,
57.664,1.1,-5.6,3.6,4.54,1.9,304.57,
57.706,0.6,-8.3,2.57,4.19,1.9,149.73,
57.747,-1.7,-9.4,2.57,4.19,1.9,16.84,
57.789,-1.7,-10,2.57,0,1.9,0,
57.831,-3.3,-11.1,0,0,1.9,0,
57.872,-5.6,-10,0,0,0,0,
57.914,-7.2,-11.7,1.54,4.36,0,0,
57.956,-7.2,-11.7,1.54,4.01,0,0,
57.997,-8.9,-12.2,0,0,0,0,
58.039,-9.4,-12.8,0,0,0,0,
58.081,-5.6,-11.1,2.57,1.05,0,0,
58.122,-10,-12.8,0,0,0,0,
58.164,-11.1,-14.4,0,0,0,0,
58.206,-8.3,-11.7,2.57,0.7,0,0,
58.247,-6.7,-9.4,2.06,1.4,1.9,0,
58.289,-6.1,-10,3.6,1.22,1.9,6.16,
58.331,-5,-8.9,4.63,1.05,1.9,106.87,
58.372,-3.9,-7.8,3.6,1.05,1.9,263.22,
58.414,-2.2,-7.8,3.6,1.05,1.9,404.82,
58.456,0,-7.8,2.57,0.7,0,510.99,
58.497,1.1,-6.7,2.06,0.7,1.9,570.46,
58.539,1.7,-7.2,2.06,5.76,1.9,580.8,
58.581,2.8,-7.8,0,0,1.9,536.89,
58.622,1.7,-8.3,2.06,4.54,1.9,441.41,
58.664,1.1,-9.4,2.57,4.54,1.9,309.68,
58.706,0.6,-8.9,2.57,4.71,1.9,152.29,
58.747,-1.7,-8.3,2.57,4.36,1.9,18.12,
58.789,-3.3,-10,3.09,4.36,1.9,0,
58.831,-5,-10,2.06,4.01,1.9,0,
58.872,-5,-11.1,1.54,4.01,0,0,
58.914,-6.1,-11.7,1.54,3.49,0,0,
58.956,-7.8,-12.2,0,0,0,0,
58.997,-7.2,-11.1,1.54,3.14,0,0,
59.039,-7.8,-12.2,0,0,0,0,
59.081,-7.2,-11.7,0,0,0,0,
59.122,-7.2,-11.1,0,0,0,0,
59.164,-7.8,-11.1,0,0,0,0,
59.206,-7.8,-10,0,0,0,0,
59.247,-10,-12.2,0,0,0,0,
59.289,-9.4,-11.7,0,0,1.9,7.78,
59.331,-5.6,-10,2.06,1.92,1.9,113.49,
59.372,-3.9,-8.9,0,0,1.9,271,
59.414,-2.2,-7.8,0,0,1.9,410.51,
59.456,0,-7.8,0,0,1.9,516.22,
59.497,2.2,-7.8,0,0,0,575.57,
59.539,2.2,-7.8,0,0,1.9,578.24,
59.581,2.2,-6.1,3.09,3.67,1.9,534.22,
59.622,2.8,-4.4,2.57,3.84,1.9,443.96,
59.664,2.8,-5,2.57,0,4.4,263.33,
59.706,1.7,-5.6,3.09,5.06,4.4,131.61,
59.747,0,-5.6,1.54,6.11,4.4,15.45,
59.789,-2.2,-7.2,0,0,4.4,0,
59.831,-3.3,-7.2,0,0,1.9,0,
59.872,-3.3,-7.2,1.54,2.09,1.9,0,
59.914,-3.3,-7.2,0,0,1.9,0,
59.956,-5,-7.8,2.06,2.44,1.9,0,
59.997,-3.3,-6.1,0,0,1.9,0,
60.039,-3.9,-6.7,2.06,1.4,0,0,
60.081,-5.6,-7.2,1.54,0.7,0,0,
60.122,-5,-7.2,2.06,1.4,0,0,
60.164,-6.1,-7.8,2.57,1.05,0,0,
60.206,-5.6,-7.8,2.06,1.22,7.5,0,
60.247,-5.6,-7.8,3.09,0.7,4.4,0,
60.289,-5.6,-7.8,4.12,1.05,7.5,5.23,
60.331,-4.4,-6.7,3.09,0.7,10,69.7,
60.372,-2.8,-6.1,4.12,0.7,10,152.29,
60.414,-2.2,-6.1,4.12,1.05,10,278.78,
60.456,-0.6,-5.6,3.09,1.22,10,286.45,
60.497,1.1,-4.4,4.12,1.4,10,472.42,
60.539,2.2,-3.9,3.09,1.05,10,247.77,
60.581,3.3,-3.9,2.57,0.35,7.5,237.43,
60.622,3.9,-4.4,1.54,1.22,10,188.41,
60.664,3.9,-3.9,2.57,1.57,10,105.94,
60.706,3.3,-3.9,2.06,1.4,7.5,28.34,
60.747,2.8,-2.8,1.54,2.27,10,0,
60.789,3.9,-3.9,3.09,2.97,10,0,
60.831,3.3,-2.8,7.72,4.19,10,0,
60.872,2.2,0,5.66,3.32,10,0,
60.914,1.1,0.6,7.2,3.14,10,0,
60.956,1.1,0.6,7.2,3.14,10,0,
60.997,0.6,0,3.6,2.97,10,0,
61.039,1.7,1.1,5.15,3.49,10,0,
61.081,2.2,1.7,5.15,3.67,10,0,
61.122,1.7,1.1,5.15,3.84,10,0,
61.164,1.1,0.6,6.17,4.01,7.5,0,
61.206,0.6,-0.6,4.12,3.49,7.5,0,
61.247,0,-1.7,5.66,3.84,7.5,0,
61.289,-1.1,-2.8,5.66,3.67,4.4,5.11,
61.331,-1.1,-3.3,6.17,3.67,4.4,121.39,
61.372,-0.6,-2.8,6.17,3.32,4.4,283.9,
61.414,1.1,-2.2,6.69,3.67,4.4,423.29,
61.456,1.7,-2.8,5.66,3.84,4.4,526.55,
61.497,2.8,-3.3,5.66,4.19,4.4,583.36,
61.539,2.8,-2.8,3.6,4.54,4.4,573.02,
61.581,2.8,-2.2,5.66,4.54,4.4,508.55,
61.622,2.8,-2.8,3.6,4.54,4.4,451.75,
61.664,3.3,-2.8,3.6,4.36,4.4,317.47,
61.706,2.2,-2.8,3.09,4.36,4.4,167.74,
61.747,1.1,-5,1.54,4.19,4.4,23.23,
61.789,-1.7,-5.6,3.09,3.32,4.4,0,
61.831,-1.7,-5.6,3.09,2.97,4.4,0,
61.872,-1.7,-3.9,4.63,2.79,4.4,0,
61.914,-2.8,-4.4,3.6,2.97,4.4,0,
61.956,-3.3,-5,4.63,2.62,4.4,0,
61.997,-2.8,-4.4,4.12,2.79,4.4,0,
62.039,-3.3,-5,4.63,2.79,4.4,0,
62.081,-3.9,-5,4.63,2.97,1.9,0,
62.122,-4.4,-5.6,3.6,2.44,0,0,
62.164,-3.9,-5,3.09,1.92,1.9,0,
62.206,-5,-6.1,3.09,2.44,4.4,0,
62.247,-6.1,-7.2,2.57,2.44,4.4,0,
62.289,-4.4,-5.6,2.57,2.44,7.5,10.34,
62.331,-3.9,-5,3.09,2.79,7.5,129.05,
62.372,-1.1,-3.3,3.6,2.44,7.5,286.57,
62.414,0,-3.3,4.63,2.27,7.5,425.38,
62.456,1.1,-3.3,4.12,2.27,7.5,417.36,
62.497,1.7,-3.3,3.09,2.97,10,448.61,
62.539,2.2,-3.9,0,0,10,484.85,
62.581,2.8,-3.9,3.09,0.17,10,345.11,
62.622,2.2,-3.9,3.6,5.93,10,250.32,
62.664,2.8,-3.9,3.6,0.7,7.5,180.63,
62.706,1.7,-3.9,3.09,0.87,10,95.6,
62.747,1.1,-3.9,3.09,0.7,10,15.45,
62.789,1.1,-3.9,3.09,0.87,10,0,
62.831,0,-3.9,2.57,0.35,10,0,
62.872,-0.6,-3.3,2.57,0.7,10,0,
62.914,0,-4.4,3.6,0.87,10,0,
62.956,-0.6,-4.4,4.63,1.05,7.5,0,
62.997,-2.8,-6.1,2.57,0.35,4.4,0,
63.039,-2.2,-5.6,2.06,0.7,0,0,
63.081,-3.3,-6.1,2.06,0.87,1.9,0,
63.122,-3.3,-6.7,3.09,0.87,0,0,
63.164,-3.9,-6.7,3.09,0.87,0,0,
63.206,-3.3,-6.1,4.63,0.7,1.9,0,
63.247,-2.8,-6.1,5.15,0.87,7.5,0,
63.289,-3.9,-6.7,3.6,0.7,4.4,12.89,
63.331,-2.8,-5.6,4.12,0.87,7.5,149.73,
63.372,-1.1,-5,5.15,0.87,4.4,307.13,
63.414,0.6,-3.9,5.15,0.87,4.4,335.59,
63.456,2.2,-3.9,4.63,0.7,7.5,255.55,
63.497,3.3,-3.9,4.12,0.7,7.5,425.84,
63.539,5,-3.9,5.15,0.7,7.5,508.55,
63.581,6.1,-3.3,4.12,0.87,7.5,340.7,
63.622,6.7,-2.8,5.66,0.7,7.5,211.64,
63.664,6.7,-2.8,4.63,1.05,10,77.48,
63.706,6.7,-2.8,4.12,1.05,10,67.02,
63.747,6.1,-3.3,4.12,1.22,10,5.23,
63.789,5.6,-3.9,4.63,1.05,10,0,
63.831,5,-3.3,3.6,1.05,10,0,
63.872,5.6,-2.8,3.6,0.35,10,0,
63.914,4.4,-2.8,3.6,0.87,10,0,
63.956,3.9,-2.2,2.06,0.7,10,0,
63.997,4.4,-2.8,2.06,1.22,10,0,
64.039,3.9,-2.2,0,0,10,0,
64.081,2.8,-0.6,2.06,0.52,10,0,
64.122,2.8,-1.1,3.6,0.87,10,0,
64.164,3.3,-2.2,4.63,0.87,7.5,0,
64.206,3.3,-2.2,4.63,1.05,10,0,
64.247,2.8,-1.1,3.6,0.7,7.5,0,
64.289,2.8,-0.6,3.09,0.87,10,5.11,
64.331,3.3,-0.6,3.6,0.87,10,69.7,
64.372,3.3,0,2.57,0.7,10,141.95,
64.414,3.9,0,2.06,1.05,10,193.64,
64.456,5,0.6,3.09,0.7,10,374.27,
64.497,7.2,1.1,2.06,0.87,7.5,580.8,
64.539,7.8,1.7,1.54,0.87,4.4,591.02,
64.581,10.6,3.3,1.54,1.92,4.4,560.12,
64.622,11.7,3.3,0,0,4.4,456.86,
64.664,11.1,3.3,1.54,1.57,4.4,322.69,
64.706,8.9,2.2,3.09,6.11,4.4,167.74,
64.747,7.8,2.2,2.06,0.52,4.4,25.9,
64.789,7.2,1.1,2.57,1.22,1.9,0,
64.831,5.6,1.1,0,0,1.9,0,
64.872,1.1,-1.1,0,0,0,0,
64.914,1.1,-0.6,1.54,5.93,0,0,
64.956,2.8,0.6,0,0,0,0,
64.997,1.7,0,3.09,0.7,0,0,
65.039,1.1,0,2.06,0.87,0,0,
65.081,2.8,0,3.6,1.05,0,0,
65.122,1.7,-0.6,3.6,0.7,1.9,0,
65.164,1.1,-0.6,2.57,1.05,1.9,0,
65.206,0.6,-0.6,4.12,1.05,1.9,0,
65.247,0.6,-0.6,3.09,1.05,4.4,0,
65.289,0.6,-1.1,3.6,0.87,7.5,18,
65.331,1.7,0,5.66,1.05,7.5,129.05,
65.372,2.8,0,4.63,1.05,7.5,281.34,
65.414,5,1.1,4.12,0.07,7.5,428.51,
65.456,6.7,1.7,4.12,0.52,7.5,508.55,
65.497,7.2,1.7,3.6,0.87,4.4,585.91,
65.539,8.9,2.8,4.12,0.7,4.4,596.25,
65.581,11.1,3.3,2.06,0.17,4.4,560.12,
65.622,11.1,3.3,3.6,5.93,4.4,461.97,
65.664,11.7,2.8,2.57,6.11,1.9,333.03,
65.706,11.1,2.8,2.57,5.76,1.9,178.07,
65.747,9.4,1.7,2.57,5.93,1.9,33.57,
65.789,6.7,1.7,0,0,0,0,
65.831,3.9,0.6,0,0,0,0,
65.872,1.1,-1.1,0,0,0,0,
65.914,2.8,0,1.54,0.7,0,0,
65.956,3.3,0.6,3.6,1.05,0,0,
65.997,4.4,0.6,3.6,1.22,0,0,
66.039,3.9,0,3.6,0.87,0,0,
66.081,2.2,0,4.12,1.05,0,0,
66.122,2.2,0,3.6,1.05,0,0,
66.164,1.1,-0.6,3.09,0.7,0,0,
66.206,1.7,-0.6,4.63,0.87,0,0,
66.247,1.1,-0.6,3.09,1.05,0,0,
66.289,1.1,-0.6,3.6,0.7,0,15.45,
66.331,2.8,0,5.15,1.05,0,144.62,
66.372,3.9,0.6,4.63,0.87,0,302.02,
66.414,5.6,1.1,3.09,0.52,0,438.74,
66.456,7.2,1.7,2.57,0.87,0,542.12,
66.497,9.4,2.2,1.54,0.87,0,601.36,
66.539,10,2.8,3.6,5.76,0,606.59,
66.581,11.7,3.3,3.09,5.76,0,579.29,
66.622,12.2,2.8,2.06,5.76,0,464.64,
66.664,12.2,2.8,2.57,5.41,0,332.91,
66.706,11.7,1.7,1.54,5.41,0,178.65,
66.747,8.3,2.2,0,0,0,34.03,
66.789,5.6,1.1,0,0,0,0,
66.831,3.3,0.6,0,0,0,0,
66.872,1.7,-0.6,0,0,0,0,
66.914,2.2,0,0,0,0,0,
66.956,3.3,-0.6,0,0,0,0,
66.997,1.7,-0.6,0,0,0,0,
67.039,0.6,-1.1,0,0,0,0,
67.081,1.7,0,0,0,1.9,0,
67.122,1.7,-0.6,3.09,1.4,1.9,0,
67.164,0,-1.1,2.06,0.87,4.4,0,
67.206,0.6,-1.1,2.06,1.75,4.4,0,
67.247,-0.6,-1.7,0,0,7.5,0,
67.289,0.6,-0.6,0,0,7.5,1.86,
67.331,2.2,-0.6,2.57,1.75,7.5,10.57,
67.372,3.9,0,0,0,10,34.03,
67.414,5.6,1.1,1.54,1.92,7.5,32.76,
67.456,6.1,1.7,0,0,10,111.28,
67.497,5.6,3.3,1.54,3.14,10,107.1,
67.539,6.1,5,2.06,3.14,10,35.43,
67.581,6.1,5,4.63,3.49,10,77.36,
67.622,5.6,5,3.6,3.49,10,157.51,
67.664,5.6,4.4,4.63,3.32,10,247.77,
67.706,5,4.4,2.57,3.14,10,87.82,
67.747,5,4.4,4.12,3.32,10,23.23,
67.789,5,4.4,3.09,2.79,10,0,
67.831,5,4.4,3.6,3.14,10,0,
67.872,5,4.4,4.12,2.97,10,0,
67.914,4.4,3.3,3.09,2.97,10,0,
67.956,3.9,1.7,3.6,3.14,10,0,
67.997,3.3,2.2,2.57,2.79,10,0,
68.039,2.2,1.1,2.06,2.09,7.5,0,
68.081,1.7,1.1,2.57,2.97,7.5,0,
68.122,1.1,0,3.09,2.79,10,0,
68.164,0.6,0,3.09,2.79,10,0,
68.206,0.6,0,3.09,2.79,10,0,
68.247,0.6,0,3.6,3.49,10,0,
68.289,0.6,0,3.09,3.14,7.5,7.67,
68.331,0.6,0,2.06,3.49,10,67.14,
68.372,0.6,0,2.06,4.54,10,126.5,
68.414,1.7,0,2.06,3.14,10,224.54,
68.456,2.8,0.6,0,0,10,307.13,
68.497,4.4,1.7,3.09,3.84,7.5,314.91,
68.539,5,1.7,3.09,5.06,7.5,322.69,
68.581,5,2.2,3.09,5.41,7.5,361.37,
68.622,4.4,1.7,2.06,5.24,7.5,358.82,
68.664,5.6,1.7,2.57,4.71,7.5,242.54,
68.706,5.6,1.1,2.57,4.54,7.5,191.08,
68.747,4.4,1.1,1.54,5.24,7.5,38.68,
68.789,3.3,1.1,0,0,7.5,0,
68.831,2.2,0.6,0,0,4.4,0,
68.872,-0.6,-1.1,2.06,4.89,4.4,0,
68.914,-0.6,-1.1,2.57,4.36,4.4,0,
68.956,-0.6,-1.7,2.06,2.79,4.4,0,
68.997,-1.1,-1.1,3.09,3.49,4.4,0,
69.039,0,-1.1,2.57,5.06,7.5,0,
69.081,0.6,0,1.54,4.54,10,0,
69.122,1.1,0.6,2.06,4.89,10,0,
69.164,1.1,0.6,0,0,10,0,
69.206,0.6,0.6,2.06,5.59,7.5,0,
69.247,1.1,0.6,0,0,10,0,
69.289,0,-0.6,2.06,5.24,10,25.79,
69.331,1.1,0.6,3.09,5.41,10,82.59,
69.372,2.2,1.1,3.6,5.76,10,172.96,
69.414,3.3,1.1,5.15,3.49,10,198.75,
69.456,4.4,0,4.63,3.84,7.5,423.29,
69.497,5,0,4.12,4.19,10,624.71,
69.539,4.4,0,4.12,4.19,7.5,622.04,
69.581,5,0.6,4.12,4.71,7.5,573.02,
69.622,4.4,1.1,5.66,5.06,4.4,472.42,
69.664,3.9,0,3.6,4.71,4.4,335.47,
69.706,2.8,-0.6,3.6,5.06,7.5,56.8,
69.747,1.1,-1.1,3.09,4.89,4.4,12.89,
69.789,0,-1.1,3.6,4.19,7.5,0,
69.831,0.6,-1.7,3.09,4.54,4.4,0,
69.872,0,-2.8,2.06,4.19,4.4,0,
69.914,-1.7,-3.3,2.57,3.84,4.4,0,
69.956,-1.7,-2.8,2.57,2.62,4.4,0,
69.997,-1.7,-3.3,4.63,3.67,1.9,0,
70.039,-1.1,-3.3,4.63,3.67,1.9,0,
70.081,-1.1,-4.4,2.57,4.36,1.9,0,
70.122,-2.2,-4.4,4.12,4.36,1.9,0,
70.164,-1.1,-3.9,6.17,4.54,7.5,0,
70.206,-1.7,-3.9,2.57,2.97,7.5,0,
70.247,-1.1,-3.3,2.06,3.67,7.5,0,
70.289,0,-3.3,2.57,4.19,10,7.78,
70.331,0.6,-2.8,3.6,4.01,10,74.81,
70.372,0,-2.2,3.09,3.14,10,149.73,
70.414,1.1,-2.2,3.09,3.67,7.5,286.57,
70.456,2.8,-2.8,6.17,3.67,7.5,472.31,
70.497,5.6,-1.1,5.66,3.84,4.4,573.02,
70.539,5.6,-1.1,5.66,4.01,7.5,585.91,
70.581,7.2,-2.2,7.72,4.19,7.5,567.91,
70.622,7.8,-1.1,8.23,4.01,7.5,482.64,
70.664,8.3,-0.6,8.23,4.01,4.4,325.25,
70.706,7.8,0,7.72,4.19,7.5,131.73,
70.747,6.1,0,4.12,4.19,7.5,23.23,
70.789,6.1,0,5.15,3.49,7.5,0,
70.831,5,-0.6,5.15,3.84,7.5,0,
70.872,4.4,0.6,4.12,4.01,7.5,0,
70.914,4.4,-0.6,5.66,3.49,10,0,
70.956,3.3,-0.6,4.12,3.32,7.5,0,
70.997,3.9,-0.6,4.12,3.49,10,0,
71.039,3.3,-0.6,4.12,3.49,10,0,
71.081,2.8,-0.6,4.63,3.32,10,0,
71.122,2.8,0,4.12,3.67,10,0,
71.164,1.1,-0.6,4.12,3.49,4.4,0,
71.206,0.6,-0.6,4.63,3.49,4.4,0,
71.247,0,-0.6,3.09,3.49,7.5,0,
71.289,0,-0.6,4.12,3.32,7.5,28.34,
71.331,1.1,0,5.15,3.49,7.5,139.39,
71.372,3.3,1.1,5.15,3.67,4.4,211.64,
71.414,5,1.7,4.63,3.14,7.5,240.1,
71.456,6.1,2.2,6.17,3.49,4.4,343.25,
71.497,7.8,2.8,5.66,3.84,10,505.88,
71.539,10,2.8,7.2,3.84,10,562.68,
71.581,10,2.2,6.69,3.67,7.5,557.57,
71.622,11.1,2.2,7.72,3.67,7.5,477.53,
71.664,10,2.2,8.23,4.01,7.5,296.32,
71.706,10.6,0.6,7.72,4.19,7.5,69,
71.747,7.8,0.6,4.63,3.84,7.5,17.31,
71.789,6.7,0,4.63,3.84,7.5,0.23,
71.831,6.1,0.6,6.17,4.01,7.5,0,
71.872,6.1,0.6,5.15,4.01,10,0,
71.914,6.1,0.6,5.66,3.84,10,0,
71.956,6.1,0.6,5.66,3.67,10,0,
71.997,5.6,1.1,6.69,3.84,10,0,
72.039,5.6,1.7,5.66,3.49,10,0,
72.081,5.6,1.7,7.2,3.67,10,0,
72.122,5.6,2.2,6.69,3.49,10,0,
72.164,5,1.7,5.66,3.49,10,0,
72.206,5,1.7,9.26,3.49,10,0,
72.247,4.4,1.7,7.72,3.67,10,0,
72.289,4.4,1.7,7.72,3.49,10,4.65,
72.331,4.4,1.7,7.2,3.49,7.5,44.72,
72.372,5.6,2.2,7.72,3.32,7.5,136.26,
72.414,7.8,3.9,7.72,3.49,4.4,483.46,
72.456,10,2.8,9.78,3.67,7.5,583.59,
72.497,11.7,2.8,12.86,4.01,7.5,640.62,
72.539,12.2,1.1,13.89,3.84,4.4,402.73,
72.581,11.1,1.1,9.78,3.84,10,247.77,
72.622,10,0.6,11.32,4.01,4.4,320.02,
72.664,6.1,1.1,14.92,4.71,4.4,338.14,
72.706,6.1,0,11.32,4.71,1.9,152.29,
72.747,3.9,-2.8,11.32,4.54,4.4,41.35,
72.789,2.8,-2.2,12.86,4.54,7.5,0,
72.831,2.8,-2.2,10.8,4.54,7.5,0,
72.872,1.7,-1.7,9.26,4.54,7.5,0,
72.914,0.6,-2.8,9.78,4.54,4.4,0,
72.956,1.1,-2.8,8.75,4.54,10,0,
72.997,1.1,-2.8,8.23,4.71,10,0,
73.039,0.6,-2.8,6.17,4.54,10,0,
73.081,0,-3.3,4.12,4.01,7.5,0,
73.122,-0.6,-3.9,6.69,4.36,7.5,0,
73.164,-0.6,-4.4,5.66,4.54,4.4,0,
73.206,-0.6,-5,6.17,4.54,4.4,0,
73.247,-1.7,-5,5.15,4.36,4.4,0,
73.289,0,-4.4,5.66,4.36,1.9,38.68,
73.331,2.8,-4.4,6.69,4.54,1.9,193.64,
73.372,4.4,-3.9,7.2,4.71,4.4,353.59,
73.414,7.2,-3.9,7.72,4.89,4.4,498.21,
73.456,7.8,-5.6,6.69,4.54,4.4,601.36,
73.497,8.3,-5,7.72,4.89,4.4,655.61,
73.539,9.4,-5,5.66,4.36,4.4,668.62,
73.581,9.4,-5,7.72,4.89,4.4,616.81,
73.622,8.9,-5.6,6.17,4.54,4.4,498.21,
73.664,9.4,-4.4,5.66,4.54,4.4,382.05,
73.706,8.3,-5,6.69,4.01,7.5,221.98,
73.747,5.6,-5,4.12,3.84,4.4,43.79,
73.789,2.8,-4.4,3.6,3.32,4.4,0,
73.831,2.8,-4.4,4.12,3.67,1.9,0,
73.872,1.1,-5,4.12,2.97,1.9,0,
73.914,1.7,-4.4,4.12,3.49,0,0,
73.956,0,-4.4,1.54,4.36,0,0,
73.997,0,-4.4,0,0,0,0,
74.039,-0.6,-4.4,3.09,2.27,1.9,0,
74.081,-1.1,-4.4,4.63,2.62,1.9,0,
74.122,-1.7,-4.4,5.15,2.62,0,0,
74.164,-0.6,-4.4,3.6,2.44,0,0,
74.206,-2.2,-5,0,0,4.4,0,
74.247,-2.2,-4.4,1.54,1.22,7.5,0,
74.289,-1.1,-4.4,2.06,1.05,7.5,13.01,
74.331,0,-3.3,2.57,1.05,10,72.25,
74.372,2.2,-2.2,4.63,1.4,10,159.95,
74.414,3.9,-2.8,2.06,1.92,10,278.78,
74.456,5,-2.8,3.6,2.27,10,327.8,
74.497,6.7,-2.2,4.63,2.62,10,325.25,
74.539,6.7,-2.2,3.6,2.44,10,250.44,
74.581,6.7,-2.2,3.09,2.62,10,154.84,
74.622,5.6,-1.1,5.15,3.49,10,131.61,
74.664,3.9,0,6.17,3.67,10,82.59,
74.706,2.8,1.1,3.09,3.49,10,43.91,
74.747,2.2,1.1,2.57,2.97,10,12.89,
74.789,1.1,0.6,2.06,2.62,10,0,
74.831,0.6,-0.6,0,0,10,0,
74.872,0.6,-0.6,0,0,10,0,
74.914,0.6,-0.6,0,0,10,0,
74.956,0.6,-0.6,0,0,10,0,
74.997,0,-0.6,0,0,10,0,
75.039,0,-0.6,0,0,10,0,
75.081,0,-0.6,0,0,10,0,
75.122,0,-0.6,0,0,10,0,
75.164,0,-0.6,0,0,10,0,
75.206,0,-0.6,2.57,4.89,10,0,
75.247,0,-0.6,2.06,4.71,10,0,
75.289,0,-0.6,1.54,3.84,10,12.89,
75.331,0,-0.6,2.06,4.01,10,64.58,
75.372,1.1,-0.6,3.09,4.19,10,116.16,
75.414,1.1,-0.6,4.12,3.84,10,185.86,
75.456,1.1,0,4.63,3.84,10,379.38,
75.497,1.1,0,6.17,4.36,10,467.2,
75.539,1.7,0,4.12,4.01,10,477.53,
75.581,2.2,0,4.12,4.36,10,418.18,
75.622,3.3,0,2.57,3.49,10,276.11,
75.664,3.3,0,0,0,10,167.85,
75.706,3.3,0,2.57,2.62,7.5,134.16,
75.747,3.3,0,1.54,2.97,10,23.23,
75.789,2.8,-0.6,3.09,2.62,10,0,
75.831,2.2,-0.6,3.6,2.62,7.5,0,
75.872,2.2,-0.6,3.6,2.97,10,0,
75.914,1.1,-0.6,3.6,2.79,10,0,
75.956,1.1,-0.6,4.12,2.62,10,0,
75.997,1.1,-0.6,2.57,2.79,10,0,
76.039,0.6,-0.6,4.12,2.44,7.5,0,
76.081,0.6,-0.6,2.57,2.62,10,0,
76.122,0.6,-1.1,2.57,2.44,10,0,
76.164,0.6,-1.1,3.09,2.79,10,0,
76.206,0,-1.7,0,0,7.5,0,
76.247,-0.6,-1.7,3.6,2.79,7.5,0,
76.289,-0.6,-1.1,3.09,2.79,7.5,49.14,
76.331,1.1,-1.1,4.63,3.14,7.5,185.74,
76.372,2.2,-0.6,3.6,3.32,10,268.45,
76.414,3.9,-0.6,2.06,0,10,467.2,
76.456,4.4,-1.1,3.09,2.97,10,518.89,
76.497,5,-0.6,4.63,3.67,10,683.95,
76.539,5.6,-1.1,4.12,2.97,10,587.89,
76.581,6.1,-1.1,4.63,3.49,10,358.24,
76.622,6.1,-0.6,3.6,2.79,10,263.57,
76.664,6.7,-0.6,4.12,2.27,10,168.55,
76.706,6.1,0,3.6,2.79,10,119.18,
76.747,5.6,0,2.57,2.09,10,22.54,
76.789,5,0.6,4.12,2.09,10,0.23,
76.831,4.4,0.6,3.6,2.44,10,0,
76.872,4.4,0.6,2.57,2.62,10,0,
76.914,3.3,0.6,3.09,2.27,7.5,0,
76.956,3.9,1.1,3.6,2.44,10,0,
76.997,2.8,1.1,3.6,2.62,7.5,0,
77.039,2.8,1.7,4.12,2.27,7.5,0,
77.081,2.8,1.1,4.12,2.27,7.5,0,
77.122,2.8,1.1,4.12,2.27,10,0,
77.164,2.8,1.1,3.09,2.09,4.4,0,
77.206,3.3,1.1,2.57,2.09,10,0,
77.247,3.3,1.1,3.6,2.09,10,0,
77.289,3.9,1.7,4.12,2.27,10,9.06,
77.331,5,1.7,4.63,2.44,10,34.62,
77.372,6.1,2.2,5.66,2.27,10,81.31,
77.414,6.1,3.9,5.15,2.27,10,129.29,
77.456,6.7,5,4.12,2.27,10,102.92,
77.497,7.2,6.1,5.15,2.79,10,89.91,
77.539,7.2,6.1,5.66,2.97,10,125.1,
77.581,7.2,6.1,6.17,2.79,10,111.51,
77.622,7.8,6.1,6.17,2.62,10,103.27,
77.664,7.8,6.7,7.2,2.62,10,92.93,
77.706,7.8,6.7,6.69,2.62,10,111.05,
77.747,7.8,6.7,6.69,2.44,10,20.56,
77.789,8.3,6.1,8.75,2.79,10,0,
77.831,8.3,6.1,9.78,2.97,7.5,0,
77.872,8.3,6.1,8.23,3.14,10,0,
77.914,8.3,7.2,8.23,2.97,10,0,
77.956,8.3,6.7,8.23,2.97,10,0,
77.997,8.3,7.2,6.69,3.14,10,0,
78.039,9.4,6.7,8.75,3.32,7.5,0,
78.081,8.9,6.1,8.75,3.67,10,0,
78.122,8.9,6.1,10.29,3.84,10,0,
78.164,8.3,5.6,10.8,3.84,10,0,
78.206,7.8,5,9.78,3.67,7.5,0,
78.247,7.2,5.6,10.29,4.01,7.5,0,
78.289,6.1,3.3,7.72,4.01,4.4,31.01,
78.331,7.2,-0.6,9.78,4.36,4.4,196.19,
78.372,7.8,-2.2,10.8,4.54,4.4,389.72,
78.414,8.3,-5.6,13.38,4.54,4.4,536.89,
78.456,9.4,-5,10.8,4.54,4.4,637.6,
78.497,9.4,-8.3,12.35,4.36,4.4,696.84,
78.539,10,-7.8,10.8,4.71,4.4,702.19,
78.581,10,-7.2,10.8,4.19,4.4,647.82,
78.622,9.4,-6.7,6.69,4.54,4.4,539.45,
78.664,9.4,-6.7,9.26,4.54,4.4,402.73,
78.706,8.3,-6.7,7.2,4.54,4.4,234.88,
78.747,5.6,-5.6,5.15,4.36,4.4,69.7,
