$VPR file for Spokane River,,,KMX=47,Start at K=2 to 46,,,,,,
Layer#,KT,,,,,,,,,
Variable,37,38,39,40,41,42,43,44,45,46
TEMP,17.10,17.10,17.10,17.10,17.10,17.10,17.10,17.10,17.10,17.00
ALG1,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11
DO,12.10,12.10,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00
