$$ Shade file interpolated to 400m segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                            
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                       
w2seg,DynSh,TTEleLB,TTEleRB,ClDisLB,ClDiRB,SRFLB1,SRFLB2,SRFRB1,SRFRB2,TOPO1,TOPO2,TOPO3,TOPO4,TOPO5,TOPO6,TOPO7,TOPO8,TOPO9,TOPO10,TOPO11,TOPO12,TOPO13,TOPO14,TOPO15,TOPO16,TOPO17,TOPO18,SRFJD1,SRFJD2                                                           
   1,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,
   2,    -1.000,   149.470,   157.270,    11.900,    48.775,     1.000,     1.000,     0.900,     0.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
   3,    -1.000,   149.846,   140.955,    26.478,     8.967,     0.890,     0.890,     0.800,     0.800,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
   4,    -1.000,   139.227,   137.320,    31.611,    21.256,     0.950,     0.950,     1.000,     1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
   5,    -1.000,   119.511,   144.001,    34.245,    12.393,     0.780,     0.780,     0.900,     0.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
   6,    -1.000,   138.527,   171.188,    23.588,    13.843,     0.900,     0.900,     1.000,     1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    80.000,   288.000,
   7,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,
