$Chehalis WWTP WQ file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chehalis WWTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS   ,Gen1(tracer),Gen2(Age),Gen3(FC),ISS,PO4   ,NH4   ,NO3   ,LDOM  ,RDOM  ,LPOM  ,RPOM  ,BOD1,BOD2,BOD3,BOD4,BOD5,BOD6,BOD7,BOD8,BOD9,BOD10,BODP1,BODP2,BODP3,BODP4,BODP5,BODP6,BODP7,BODP8,BODP9,BODP10,BODN1,BODN2,BODN3,BODN4,BODN5,BODN6,BODN7,BODN8,BODN9,BODN10,ALG1  ,DO    ,TIC   ,ALK   ,ZOO1  ,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
19,0,0,0,2.7,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.47,68.3166,76.4,0,0,0,0,0,0,0,0,0
20,0,0,0,2.7,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,5.08,51.8931,76.4,0,0,0,0,0,0,0,0,0
21,0,0,0,5.0,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,5,46.0549,76.4,0,0,0,0,0,0,0,0,0
22,0,0,0,6.0,3.229714286,1.1,0.25,2.3,0,0,0,0,0,0,0,0,1.8796,7.5184,0,0,0,0,0,0,0,0,0.018796,0.075184,0,0,0,0,0,0,0,0,0.150368,0.601472,0,0,0,0,0,5,38.1636,57.1,0,0,0,0,0,0,0,0,0
23,0,0,0,2,1.281142857,1.1,0.41,2.3,0,0,0,0,0,0,0,0,1.3716,5.4864,0,0,0,0,0,0,0,0,0.013716,0.054864,0,0,0,0,0,0,0,0,0.109728,0.438912,0,0,0,0,0,2.62,46.2032,60.1,0,0,0,0,0,0,0,0,0
24,0,0,0,2,0,1.1,0.54,2.3,0,0,0,0,0,0,0,0,2.1844,8.7376,0,0,0,0,0,0,0,0,0.021844,0.087376,0,0,0,0,0,0,0,0,0.174752,0.699008,0,0,0,0,0,2.64,41.7134,59.3,0,0,0,0,0,0,0,0,0
25,0,0,0,4.0,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.56,41.5944,59,0,0,0,0,0,0,0,0,0
26,0,0,0,2.7,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,2.46,51.8309,76.4,0,0,0,0,0,0,0,0,0
27,0,0,0,2.7,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,1.52,51.5853,76.4,0,0,0,0,0,0,0,0,0
28,0,0,0,3.0,2.310285714,1.1,0.39,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,1.34,41.3619,59.3,0,0,0,0,0,0,0,0,0
29,0,0,0,5.0,1.236571429,1.1,0.5,2.3,0,0,0,0,0,0,0,0,2.9972,11.9888,0,0,0,0,0,0,0,0,0.029972,0.119888,0,0,0,0,0,0,0,0,0.239776,0.959104,0,0,0,0,0,5.3,35.0466,57.7,0,0,0,0,0,0,0,0,0
30,0,0,0,5.0,2.755428571,1.1,0.27,2.3,0,0,0,0,0,0,0,0,1.6256,6.5024,0,0,0,0,0,0,0,0,0.016256,0.065024,0,0,0,0,0,0,0,0,0.130048,0.520192,0,0,0,0,0,3.19,41.1738,53.1,0,0,0,0,0,0,0,0,0
31,0,0,0,3.0,2.010285714,1.1,0.72,2.3,0,0,0,0,0,0,0,0,1.6764,6.7056,0,0,0,0,0,0,0,0,0.016764,0.067056,0,0,0,0,0,0,0,0,0.134112,0.536448,0,0,0,0,0,4.29,45.718,47.2,0,0,0,0,0,0,0,0,0
32,0,0,0,16.0,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.22,45.6709,54,0,0,0,0,0,0,0,0,0
33,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.5,51.2267,76.4,0,0,0,0,0,0,0,0,0
34,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,1.93,58.2803,76.4,0,0,0,0,0,0,0,0,0
35,0,0,0,3.0,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.27,51.1096,53,0,0,0,0,0,0,0,0,0
