$Main outflows,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,
JDAY,QWD1,QWD2,QWD3,QWD4,QWD5
143,23.68,23.68,23.68,23.68,23.68
144,19.83,19.83,19.83,19.83,19.83
145,24.38,24.38,24.38,24.38,24.38
146,38.53,38.53,38.53,38.53,38.53
147,29.68,29.68,29.68,29.68,29.68
148,32.82,32.82,32.82,32.82,32.82
149,25.77,25.77,25.77,25.77,25.77
150,39.32,39.32,39.32,39.32,39.32
151,52,52,52,52,52
152,52,52,52,52,52
153,52,52,52,52,52
154,43.72,43.72,43.72,43.72,43.72
155,45.07,45.07,45.07,45.07,45.07
156,40.01,40.01,40.01,40.01,40.01
157,35.96,35.96,35.96,35.96,35.96
158,49.11,49.11,49.11,49.11,49.11
159,41.86,41.86,41.86,41.86,41.86
160,38.01,38.01,38.01,38.01,38.01
161,40.36,40.36,40.36,40.36,40.36
162,33.91,33.91,33.91,33.91,33.91
163,25.85,25.85,25.85,25.85,25.85
164,25.6,25.6,25.6,25.6,25.6
165,25.15,25.15,25.15,25.15,25.15
166,24.7,24.7,24.7,24.7,24.7
167,20.85,20.85,20.85,20.85,20.85
168,20.09,20.09,20.09,20.09,20.09
169,29.13,29.13,29.13,29.13,29.13
170,51.17,51.17,51.17,51.17,51.17
171,45.22,45.22,45.22,45.22,45.22
172,31.66,31.66,31.66,31.66,31.66
173,35.9,35.9,35.9,35.9,35.9
174,52,52,52,52,52
175,52,52,52,52,52
176,45.83,45.83,45.83,45.83,45.83
177,39.87,39.87,39.87,39.87,39.87
178,36.71,36.71,36.71,36.71,36.71
179,32.15,32.15,32.15,32.15,32.15
180,25.99,25.99,25.99,25.99,25.99
181,22.44,22.44,22.44,22.44,22.44
182,20.88,20.88,20.88,20.88,20.88
183,22.92,22.92,22.92,22.92,22.92
184,18.16,18.16,18.16,18.16,18.16
185,18,18,18,18,18
186,18.85,18.85,18.85,18.85,18.85
187,17.49,17.49,17.49,17.49,17.49
188,20.73,20.73,20.73,20.73,20.73
189,36.97,36.97,36.97,36.97,36.97
190,35.01,35.01,35.01,35.01,35.01
191,22.66,22.66,22.66,22.66,22.66
192,19.9,19.9,19.9,19.9,19.9
193,17.14,17.14,17.14,17.14,17.14
194,18.38,18.38,18.38,18.38,18.38
195,17.62,17.62,17.62,17.62,17.62
196,16.67,16.67,16.67,16.67,16.67
