$Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4405,78.08,0,0,4.974,0,92.29,1620,265.8,22.3,0.1623,8.81E-02,0.4074,0.1437,0.1437,0.1437,0.1437,0.1,7.9,7.978,29.28,7.19E-04,7.19E-04,7.19E-04,7.19E-04,1.15E-02,1.15E-02,1.15E-02,1.15E-02
4406,78.33,0,0,4.975,0,92.65,1620,265.8,21.62,0.1607,8.69E-02,0.398,0.1443,0.1443,0.1443,0.1443,0.1,7.9,7.967,29.33,7.21E-04,7.21E-04,7.21E-04,7.21E-04,1.15E-02,1.15E-02,1.15E-02,1.15E-02
4407,78.59,0,0,4.977,0,93,1620,265.8,20.94,0.159,8.57E-02,0.3886,0.1448,0.1448,0.1448,0.1448,0.1,7.9,7.956,29.39,7.24E-04,7.24E-04,7.24E-04,7.24E-04,1.16E-02,1.16E-02,1.16E-02,1.16E-02
4408,78.84,0,0,4.978,0,93.35,1620,265.8,20.27,0.1574,8.45E-02,0.3792,0.1453,0.1453,0.1453,0.1453,0.1,7.9,7.947,29.44,7.27E-04,7.27E-04,7.27E-04,7.27E-04,1.16E-02,1.16E-02,1.16E-02,1.16E-02
4409,79.1,0,0,4.98,0,93.71,1620,265.8,19.59,0.1557,8.33E-02,0.3699,0.1459,0.1459,0.1459,0.1459,0.1,7.9,7.937,29.5,7.29E-04,7.29E-04,7.29E-04,7.29E-04,1.17E-02,1.17E-02,1.17E-02,1.17E-02
4410,79.35,0,0,4.982,0,94.06,1620,265.8,18.91,0.1541,8.21E-02,0.3605,0.1464,0.1464,0.1464,0.1464,0.1,7.9,7.928,29.55,7.32E-04,7.32E-04,7.32E-04,7.32E-04,1.17E-02,1.17E-02,1.17E-02,1.17E-02
4411,79.61,0,0,4.983,0,94.41,1620,265.8,18.23,0.1524,8.09E-02,0.3511,0.1469,0.1469,0.1469,0.1469,0.1,7.9,7.92,29.61,7.35E-04,7.35E-04,7.35E-04,7.35E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4412,79.86,0,0,4.985,0,94.76,1620,265.8,17.55,0.1508,7.97E-02,0.3417,0.1475,0.1475,0.1475,0.1475,0.1,7.9,7.912,29.66,7.37E-04,7.37E-04,7.37E-04,7.37E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4413,80.12,0,0,4.986,0,95.12,1620,265.8,16.87,0.1491,7.85E-02,0.3324,0.148,0.148,0.148,0.148,0.1,7.9,7.905,29.71,7.40E-04,7.40E-04,7.40E-04,7.40E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4414,80.38,0,0,4.988,0,95.47,1620,265.8,16.19,0.1475,7.73E-02,0.323,0.1485,0.1485,0.1485,0.1485,0.1,7.9,7.898,29.77,7.43E-04,7.43E-04,7.43E-04,7.43E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4415,80.63,0,0,4.99,0,95.82,1620,265.8,15.51,0.1458,7.61E-02,0.3136,0.1491,0.1491,0.1491,0.1491,0.1,7.9,7.892,29.82,7.45E-04,7.45E-04,7.45E-04,7.45E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4416,80.89,0,0,4.991,0,96.18,1620,265.8,14.84,0.1442,7.49E-02,0.3042,0.1496,0.1496,0.1496,0.1496,0.1,7.9,7.886,29.88,7.48E-04,7.48E-04,7.48E-04,7.48E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4417,81.14,0,0,4.993,0,96.53,1620,265.8,14.16,0.1425,7.37E-02,0.2948,0.1502,0.1502,0.1502,0.1502,0.1,7.9,7.881,29.93,7.51E-04,7.51E-04,7.51E-04,7.51E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4418,81.4,0,0,4.994,0,96.88,1620,265.8,13.48,0.1409,7.25E-02,0.2855,0.1507,0.1507,0.1507,0.1507,0.1,7.9,7.876,29.99,7.53E-04,7.53E-04,7.53E-04,7.53E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
