$inflows,
JDAY 1.0= 1/1/2000 12am,
JDAY,QIN
529,95.32
530,88.61
531,87.89
532,86.07
533,78.05
534,79.53
535,75.81
536,70.89
537,67.27
538,63.45
539,60.23
540,58.91
541,56.39
542,54.37
543,51.15
544,50.53
545,49.91
546,53.99
547,61.47
548,61.05
549,52.73
550,50.61
551,45.99
552,46.57
553,44.35
554,40.23
555,48.41
556,61.69
557,62.17
558,61.15
559,60.33
560,51.41
561,49.19
562,48.77
563,48.75
564,47.24
565,46.22
566,48.11
567,54.49
568,57.68
569,54.06
570,50.95
571,48.53
572,47.62
573,46.2
574,46.68
575,44.47
576,43.35
577,42.14
578,42.32
579,41.21
580,40.29
581,47.18
582,44.56
583,42.14
584,41.03
585,40.81
586,40.9
587,41.68
588,40.57
589,39.25
590,38.64
591,38.52
592,38.11
593,39.19
594,45.6
595,42.41
596,48.42
597,41.22
598,40.13
599,37.64
600,44.65
601,55.76
602,55.07
603,50.28
604,63.69
605,69.29
606,66
607,63.91
608,69.02
609,76.63
610,85.54
611,88.35
612,106.26
613,122.36
614,121.47
615,113.58
616,112.69
617,130.8
618,126.91
619,115.02
620,107.13
621,132.23
622,131.34
623,128.45
624,160.56
625,140.51
626,159.47
627,144.42
628,146.37
629,133.32
630,123.28
631,116.23
632,119.18
633,113.13
634,106.09
635,104.94
636,126.99
637,126.94
638,107.9
639,98.45
640,95.7
641,89.86
642,83.91
643,80.56
644,77.81
645,81.97
646,88.62
647,91.97
648,90.32
649,83.78
650,101.73
651,96.48
652,97.33
653,95.29
654,94.24
655,100.14
656,178.54
657,127.74
658,127.94
659,120.14
660,125.33
661,136.53
662,131.73
663,121.93
664,111.13
665,105.33
666,104.13
667,110.73
668,132.93
669,125.13
670,187.32
671,233.52
672,190.72
673,171.92
674,165.12
675,154.32
676,143.52
677,135.72
678,125.92
679,125.12
680,117.31
681,121.51
682,124.71
683,130.91
684,128.11
685,144.31
686,128.11
687,120.9
688,136.7
689,150.49
690,151.29
691,185.08
692,201.88
693,174.67
694,160.47
695,171.26
696,160.06
697,146.85
698,135.65
699,125.44
700,118.24
701,113.04
702,107.83
703,102.73
704,93.62
705,85.92
706,82.81
707,79.31
708,84.5
709,83.1
710,76.79
711,73.49
712,75.38
713,71.78
714,70.37
715,72.17
716,69.19
717,66.1
718,67.02
719,64.94
720,63.75
721,61.97
722,60.79
723,59.1
724,58.62
725,60.53
726,61.05
727,61.87
728,57.88
729,59.7
730,62.32
731,59.93
732,57.35
733,59.87
734,55.38
735,55.1
736,53.92
737,52.73
738,50.95
739,47.76
740,47.68
741,43.6
742,46.01
743,46.83
744,39.95
745,37.36
746,36.78
747,37.46
748,38.84
749,36.21
750,33.49
751,31.37
752,31.05
753,30.22
754,30.8
755,29.98
756,29.46
757,28.44
758,27.61
759,26.89
760,26.37
761,27.45
762,25.92
763,25.8
764,25.38
765,24.76
766,24.13
767,23.81
768,23.99
769,23.77
770,24.95
771,23.02
772,23.7
773,22.78
774,21.76
775,21.33
776,20.91
777,20.39
778,20.28
779,19.87
780,19.57
781,19.26
782,18.95
783,18.74
784,18.93
785,25.12
786,39.12
787,21.81
788,20
789,19.09
790,18.78
791,18.17
792,17.87
793,17.66
794,17.35
795,16.94
796,16.73
797,16.63
798,16.92
799,17.91
800,18.3
801,16.29
802,17.08
803,15.78
804,15.87
805,17.16
806,15.26
807,15.36
808,16.07
809,22.57
810,28.37
811,30.67
812,27.18
813,21.48
814,20.08
815,18.98
816,17.08
817,18.09
818,20.19
819,20.39
820,17.89
821,16.5
822,16.3
823,15.6
824,15.3
825,14.91
826,14.41
827,14.21
828,17.41
829,21.91
830,17.02
831,15.42
832,26.32
833,26.92
834,31.93
835,39.83
836,33.53
837,25.76
838,22.49
839,20.82
840,23.55
841,25.27
842,25
843,23.13
844,20.76
845,22.29
846,27.12
847,25.65
848,24.48
849,22.21
850,21.34
851,20.56
852,19.59
853,18.52
854,19.95
855,18.18
856,18.61
857,20.84
858,24.97
859,23.2
860,22.93
861,26.85
862,26.98
863,23.71
864,23.84
865,22.47
866,20.7
867,38.48
868,47.75
869,31.73
870,35.4
871,44.18
872,42.76
873,50.13
874,42.51
875,43.69
876,114.36
877,132.44
878,124.51
879,97.49
880,74.17
881,58.54
882,44.62
883,75.69
884,66.67
885,59.35
886,59.62
887,93.9
888,87.87
889,74.45
890,93.83
891,98.3
892,110.58
893,103.26
894,99.53
895,90.81
896,76.28
897,76.66
898,69.03
899,71.21
900,71.68
901,80.26
902,92.03
903,78.21
904,81.18
905,74.06
906,79.73
907,72.51
908,68.98
909,68.26
910,78.73
911,70.11
912,69.58
913,68.45
914,71.33
915,52.4
916,58.38
917,100.35
918,78.23
919,152.4
920,113.38
921,102.25
922,96.13
923,118.3
924,108.28
925,93.15
926,84.23
927,80.1
928,78.48
929,86.65
930,90.83
931,102.81
932,105.08
933,107.06
934,99.64
935,88.61
936,81.09
937,75.57
938,71.94
939,73.12
940,66.8
941,94.47
942,80.95
943,67.93
944,63.61
945,62.58
946,62.46
947,78.44
948,70.41
949,59.69
950,75.17
951,86.24
952,75.22
953,69.7
954,86.57
955,83.05
956,68.23
957,63.3
958,60.18
959,57.2
960,59.62
961,57.84
962,78.26
963,81.38
964,111.2
965,106.32
966,91.04
967,82.96
968,97.38
969,110.8
970,95.92
971,115.04
972,163.16
973,200.28
974,154.39
975,134.51
976,201.63
977,142.75
978,137.87
979,148.99
980,146.11
981,136.23
982,115.35
983,121.47
984,165.59
985,158.71
986,142.83
987,126.95
988,116.07
989,108.19
990,109.17
991,118.15
992,109.13
993,164.11
994,149.09
995,124.07
996,116.05
997,141.03
998,153.01
999,151.99
1000,135.97
1001,151.95
1002,142.93
1003,179.91
1004,183.88
1005,172.86
1006,146.84
1007,143.82
1008,123.8
1009,113.78
1010,116.76
1011,114.74
1012,135.72
1013,121.7
1014,131.68
1015,143.66
1016,159.64
1017,129.62
1018,118.6
1019,116.58
1020,146.61
1021,139.64
1022,204.67
1023,194.71
1024,187.74
1025,176.77
1026,150.8
1027,163.83
1028,144.86
1029,136.89
1030,127.92
1031,121.96
1032,121.99
1033,145.02
1034,143.05
1035,193.08
1036,177.11
1037,143.14
1038,127.17
1039,119.21
1040,118.24
1041,117.27
1042,113.3
1043,160.33
1044,150.36
1045,119.39
1046,110.42
1047,103.66
1048,98.09
1049,96.52
1050,96.65
1051,89.11
1052,87.08
1053,91.54
1054,86.7
1055,78.97
1056,75.43
1057,78.49
1058,62.86
1059,87.32
1060,69.08
1061,61.75
1062,58.11
1063,55.67
1064,56.44
1065,62.4
1066,87.06
1067,61.43
1068,56.29
1069,57.55
1070,57.22
1071,53.58
1072,49.74
1073,47.01
1074,45.27
1075,43.53
1076,42.7
1077,42.36
1078,50.42
1079,46.99
1080,43.45
1081,64.02
1082,52.99
1083,57.85
1084,57.62
1085,46.89
1086,43.26
1087,41.22
1088,39.29
1089,37.76
1090,36.43
1091,35.2
1092,34.06
1093,33.33
1094,32.4
1095,31.47
1096,30.73
1097,29.9
1098,29.27
1099,30.14
1100,31.2
1101,30.27
1102,27.54
1103,25.71
1104,24.18
1105,23.74
1106,23.41
1107,22.78
1108,22.25
1109,21.81
1110,21.68
1111,21.95
1112,21.63
1113,20.82
1114,21.2
1115,21.59
1116,20.27
1117,19.46
1118,19.04
1119,18.73
1120,19.21
1121,18.4
1122,18.38
1123,18.47
1124,18.35
1125,17.94
1126,17.62
1127,17.41
1128,17.39
1129,17.28
1130,16.86
1131,24.65
1132,19.33
1133,19.12
1134,19.4
1135,19.99
1136,21.57
1137,21.86
1138,20.34
1139,19.93
1140,19.81
1141,19.5
1142,19.08
1143,18.57
1144,19.06
1145,20.36
1146,24.25
1147,20.04
1148,18.83
1149,18.32
1150,17.91
1151,17.71
1152,17.2
1153,16.89
1154,19.48
1155,20.07
1156,17.07
1157,16.46
1158,16.55
1159,16.54
1160,17.13
1161,17.42
1162,17.52
1163,17.41
1164,17.3
1165,17.59
1166,18.78
1167,19.27
1168,20.57
1169,23.56
1170,30.45
1171,27.78
1172,23.81
1173,22.74
1174,21.17
1175,21.2
1176,22.62
1177,27.25
1178,16.78
1179,16.31
1180,17.04
1181,24.07
1182,32.5
1183,24.23
1184,17.26
1185,16.09
1186,15.71
1187,14.84
1188,19.37
1189,15.6
1190,13.73
1191,13.06
1192,12.49
1193,12.62
1194,16.75
1195,21.98
1196,20.5
1197,14.63
1198,13.36
1199,13.49
1200,15.32
1201,15.55
1202,16.44
1203,14.63
1204,15.12
1205,16.01
1206,14
1207,16.69
1208,23.28
1209,30.18
1210,38.17
1211,39.36
1212,38.65
1213,34.84
1214,31.43
1215,52.72
1216,68.31
1217,42.3
1218,45.59
1219,43.38
1220,33.97
1221,41.26
1222,42.55
1223,39.64
1224,73.34
1225,80.83
1226,69.92
1227,86.41
1228,101.7
1229,95.19
1230,73.38
1231,83.67
1232,66.89
1233,74.5
1234,104.02
1235,76.93
1236,64.55
1237,65.36
1238,76.68
1239,72.59
1240,77.41
1241,101.42
1242,116.64
1243,122.76
1244,124.87
1245,111.99
1246,139.1
1247,138.22
1248,115.33
1249,114.45
1250,103.66
1251,158.68
1252,158.8
1253,142.91
1254,118.03
1255,104.84
1256,108.26
1257,105.37
1258,197.49
1259,183.6
1260,169.72
1261,248.83
1262,189.95
1263,301.86
1264,210.78
1265,271.69
1266,283.61
1267,190.52
1268,168.43
1269,140.35
1270,143.26
1271,147.18
1272,125.09
1273,111
1274,113.92
1275,104.73
1276,94.75
1277,87.86
1278,81.67
1279,80.69
1280,86.8
1281,139.32
1282,111.23
1283,136.14
1284,135.06
1285,118.97
1286,117.89
1287,112.8
1288,100.61
1289,97.43
1290,90.54
1291,90.96
1292,108.37
1293,117.31
1294,99.25
1295,87.49
1296,80.44
1297,74.68
1298,74.52
1299,70.86
1300,67.5
1301,76.24
1302,74.89
1303,78.63
1304,66.57
1305,63.81
1306,63.15
1307,62.49
1308,81.24
1309,88.88
1310,82.82
1311,89.06
1312,96.8
1313,106.14
1314,92.79
1315,93.03
1316,82.97
1317,75.01
1318,75.85
1319,92.99
1320,97.44
