$Spokane River groundwater near Long Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,TRACER,COLFRM,COND,CHLORID,ISS,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,CBOD1,CBOD2,CBOD3,CBOD4,CBOD5,CBOD6,CBOD7,CBOD8,CBOD9,CBOD10,CBOD1,CBOD2,CBOD3,CBOD4,CBOD5,CBOD6,CBOD7,CBOD8,CBOD9,CBOD10,CBOD1,CBOD2,CBOD3,CBOD4,CBOD5,CBOD6,CBOD7,CBOD8,CBOD9,CBOD10,Algae1,Algae2,Algae3,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
1,142,0,0,250.2,5.51,0,0.025,0.05,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,29.6,118,0,0,0,0,0,0,0,0
400,142,0,0,250.2,5.51,0,0.025,0.05,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,29.6,118,0,0,0,0,0,0,0,0
