$spokane temperature and wind data data -2000,,,,,,
cloud cover based on odessa short wave solar data,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
6.206,-4.4,-6.1,4.12,2.62,9.4,
6.247,-4.4,-6.1,4.12,2.79,9.4,
6.289,-4.4,-6.7,5.15,2.62,9.4,
6.331,-4.4,-6.1,2.57,2.44,9.4,
6.372,-3.3,-5.6,3.6,2.44,9.4,
6.414,-2.2,-4.4,4.12,2.27,9.4,
6.456,-1.1,-4.4,4.12,2.44,9.4,
6.497,0,-3.9,5.15,2.09,9.4,
6.539,0.6,-3.9,2.06,1.4,9.4,
6.581,0,-2.8,2.57,0.7,9.4,
6.622,-0.6,-2.8,2.57,0.52,9.4,
6.664,-1.1,-3.3,2.06,1.22,9.4,
6.706,-1.1,-2.8,0,0,9.4,
6.747,-1.1,-2.8,0,0,9.4,
6.789,-0.6,-3.9,0,0,9.4,
6.831,0,-3.9,2.57,3.14,9.4,
6.872,0,-3.3,4.12,3.67,9.4,
6.914,-0.6,-2.8,4.12,3.49,9.4,
6.956,-1.1,-2.8,6.69,3.67,9.4,
6.997,-1.1,-2.2,4.12,3.49,9.4,
7.039,-1.1,-2.2,3.6,2.97,6.09,
7.081,-2.2,-3.3,0,0,6.09,
7.122,-3.3,-4.4,3.09,2.79,6.09,
7.164,-2.8,-3.9,4.12,2.44,6.09,
7.206,-2.8,-4.4,2.57,2.79,6.09,
7.247,-2.2,-3.9,5.15,2.97,6.09,
7.289,-1.1,-3.3,5.66,3.49,6.09,
7.331,-1.1,-2.8,5.15,2.97,6.09,
7.372,0,-1.7,4.12,3.14,6.09,
7.414,0.6,-1.1,3.09,2.79,6.09,
7.456,1.1,-0.6,6.17,3.49,6.09,
7.497,1.1,-0.6,5.66,3.49,6.09,
7.539,1.7,0,6.17,3.67,6.09,
7.581,2.8,0.6,5.15,3.49,6.09,
7.622,1.7,0.6,3.6,3.49,6.09,
7.664,2.2,0.6,4.63,2.97,6.09,
7.706,1.7,0.6,3.6,3.32,6.09,
7.747,2.2,1.1,4.12,3.49,6.09,
7.789,2.2,1.1,4.12,2.97,6.09,
7.831,1.7,0.6,4.12,2.79,6.09,
7.872,1.7,1.1,5.66,2.97,6.09,
7.914,2.2,1.1,6.69,3.14,6.09,
7.956,2.2,1.1,5.15,3.14,6.09,
7.997,2.2,0.6,6.17,2.79,6.09,
8.039,2.2,0,7.72,2.79,0,
8.081,1.7,-0.6,6.69,2.62,0,
8.122,1.7,0,6.69,3.32,0,
8.164,0.6,0,6.69,2.79,0,
8.206,0.6,0,7.2,3.14,0,
8.247,1.7,0.6,9.78,3.32,0,
8.289,2.2,1.1,10.8,3.67,0,
8.331,2.2,1.1,9.26,3.67,0,
8.372,2.2,1.1,9.78,3.84,0,
8.414,2.2,1.1,7.72,3.67,0,
8.456,2.8,1.1,9.26,3.84,0,
8.497,2.8,1.1,10.8,3.84,0,
8.539,2.8,0.6,9.78,3.84,0,
8.581,2.8,0.6,9.26,3.84,0,
8.622,2.8,0,10.8,3.84,0,
8.664,2.8,0,9.78,3.84,0,
