$spokane temperature and wind data data -2000,,,,,,
cloud cover based on odessa short wave solar data,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
81.956,2.2,-1.7,1.54,0.87,8.8,
81.997,2.2,-1.7,2.57,1.22,8.8,
82.039,1.7,-2.2,1.54,1.4,0,
82.081,1.1,-2.2,3.09,1.05,0,
82.122,0,-2.8,2.57,1.05,0,
82.164,0.6,-2.8,3.6,0.87,0,
82.206,0.6,-2.2,4.12,1.22,0,
82.247,0.6,-2.2,3.6,1.22,0,
82.289,2.2,-1.7,3.09,1.05,0,
82.331,4.4,-1.1,3.6,1.22,0,
82.372,7.2,0,3.09,0.7,0,
82.414,9.4,0,3.09,1.22,0,
82.456,13.9,0,4.63,2.62,0,
82.497,16.1,0,7.2,2.97,0,
82.539,15.6,0,7.2,3.32,0,
82.581,16.1,0,8.75,3.67,0,
82.622,13.3,0,7.72,4.01,0,
82.664,11.1,0,5.66,3.32,0,
82.706,9.4,0,7.2,4.01,0,
82.747,8.9,0,6.69,3.49,0,
82.789,8.3,-0.6,6.69,3.84,0,
82.831,7.2,6.7,4.63,3.67,0,
82.872,6.7,5.6,4.12,3.32,0,
82.914,6.7,5,5.15,3.67,0,
82.956,6.1,4.4,5.66,3.84,0,
82.997,6.1,4.4,8.23,3.84,0,
83.039,5.6,4.4,8.23,3.84,0,
83.081,5,3.3,8.23,3.84,0,
83.122,3.3,1.1,6.69,3.84,0,
83.164,1.1,-2.2,7.72,3.67,0,
83.206,0,-2.8,5.66,3.49,0,
83.247,0,-3.3,9.26,3.67,0,
83.289,0.6,-3.9,9.26,3.67,0,
83.331,1.1,-3.3,12.35,3.84,0,
83.372,2.8,-2.2,11.32,4.01,0,
83.414,5,-1.7,9.26,4.19,0,
83.456,6.1,-2.2,9.26,4.19,0,
83.497,7.2,-2.8,9.26,4.36,0,
83.539,7.8,-1.7,8.23,4.01,0,
83.581,7.8,-3.9,10.29,4.19,0,
83.622,7.8,-3.9,8.23,4.19,0,
83.664,6.1,-1.1,3.6,4.36,0,
83.706,6.7,-2.8,7.2,4.01,0,
83.747,6.7,-3.3,6.69,4.01,0,
83.789,4.4,-2.8,5.15,3.84,0,
83.831,3.3,-3.9,6.17,3.67,0,
83.872,2.2,-2.2,4.63,3.49,0,
83.914,1.1,-2.2,4.63,3.14,0,
83.956,0,-2.2,4.63,2.79,0,
83.997,-0.6,-2.8,3.6,2.97,0,
84.039,-1.1,-3.3,3.6,2.79,5.83,
84.081,-1.1,-3.3,4.63,2.97,5.83,
84.122,-2.2,-3.9,3.6,2.97,5.83,
84.164,-1.7,-3.3,3.6,2.62,5.83,
84.206,-2.2,-3.9,1.54,2.44,5.83,
84.247,-2.8,-3.9,2.06,2.62,5.83,
84.289,-0.6,-2.2,2.57,2.62,5.83,
84.331,1.7,-1.7,3.09,2.62,5.83,
84.372,3.9,-1.7,3.6,2.79,5.83,
84.414,5.6,-1.1,2.57,0,5.83,
84.456,7.2,-1.7,2.57,2.79,5.83,
84.497,8.3,-1.1,3.09,3.84,5.83,
84.539,8.3,-3.9,2.06,0,5.83,
84.581,9.4,-5,3.09,0,5.83,
84.622,10,-3.9,4.12,3.49,5.83,
84.664,9.4,-3.9,2.57,3.14,5.83,
84.706,8.9,-3.9,2.06,2.79,5.83,
84.747,8.3,-2.8,2.57,1.92,5.83,
84.789,7.8,-4.4,0,0,5.83,
84.831,6.7,-4.4,2.57,1.57,5.83,
84.872,5,-3.9,3.09,1.22,5.83,
84.914,4.4,-2.8,3.6,1.4,5.83,
84.956,3.9,-2.2,3.6,1.22,5.83,
84.997,2.8,-2.2,3.6,1.22,5.83,
85.039,2.2,-2.2,3.09,1.05,0,
85.081,0,-2.8,2.57,0.7,0,
85.122,1.1,-2.8,2.06,0.87,0,
85.164,0.6,-2.8,2.57,1.05,0,
85.206,1.1,-2.2,3.6,0.87,0,
85.247,0.6,-2.2,3.09,1.57,0,
85.289,1.1,-1.7,3.6,1.05,0,
85.331,2.2,-0.6,2.06,1.05,0,
85.372,3.3,-0.6,3.09,0.7,0,
85.414,3.9,-0.6,1.54,0.87,0,
85.456,5.6,0,0,0,0,
85.497,7.2,0.6,3.6,3.67,0,
85.539,8.3,1.1,4.63,3.84,0,
85.581,8.9,1.1,3.09,0,0,
85.622,9.4,1.1,5.66,3.84,0,
85.664,10,1.1,5.66,4.36,0,
85.706,8.9,0.6,5.15,4.01,0,
85.747,8.3,0,3.6,4.01,0,
85.789,6.1,0,4.63,3.67,0,
85.831,5,0,3.6,3.67,0,
85.872,4.4,-0.6,3.6,2.79,0,
85.914,3.9,0,4.12,3.49,0,
85.956,2.2,0,2.57,3.67,0,
85.997,1.7,-0.6,0,0,0,
86.039,1.1,-0.6,4.12,2.62,5.22,
86.081,0.6,-0.6,3.6,2.62,5.22,
86.122,0.6,-0.6,3.6,2.62,5.22,
86.164,0.6,-0.6,2.57,2.79,5.22,
86.206,0,-1.1,3.6,2.62,5.22,
86.247,0.6,-0.6,1.54,2.97,5.22,
86.289,1.7,0,2.57,2.62,5.22,
86.331,4.4,1.1,3.09,2.62,5.22,
86.372,6.7,1.1,3.09,0,5.22,
86.414,8.9,1.1,3.6,3.49,5.22,
86.456,9.4,0.6,2.06,0,5.22,
86.497,10.6,1.1,2.57,3.84,5.22,
86.539,11.7,1.1,4.12,2.97,5.22,
86.581,12.8,1.1,5.15,3.32,5.22,
86.622,12.2,0,4.12,4.19,5.22,
86.664,12.2,-1.1,3.09,4.01,5.22,
86.706,11.7,0,3.09,3.32,5.22,
86.747,11.1,0,1.54,3.14,5.22,
86.789,8.3,0,1.54,4.19,5.22,
86.831,6.7,0,0,0,5.22,
86.872,3.9,-0.6,0,0,5.22,
86.914,2.8,-1.1,1.54,3.49,5.22,
86.956,2.8,-0.6,0,0,5.22,
86.997,3.9,-1.1,2.06,2.27,5.22,
87.039,2.2,-1.1,2.57,2.27,0,
87.081,2.8,0,3.09,2.79,0,
87.122,1.7,-0.6,3.09,2.44,0,
87.164,1.7,-1.1,1.54,1.92,0,
87.206,0,-1.7,1.54,1.05,0,
87.247,0.6,-0.6,2.06,1.4,0,
87.289,2.2,0,1.54,1.4,0,
87.331,6.1,0.6,2.57,1.75,0,
87.372,8.9,1.7,4.12,2.44,0,
87.414,10.6,2.2,5.15,3.49,0,
87.456,12.8,3.3,5.15,3.67,0,
87.497,12.8,3.3,6.69,3.67,0,
87.539,13.3,3.3,8.23,4.19,0,
87.581,13.9,3.3,8.23,3.84,0,
87.622,12.2,3.9,7.72,3.67,0,
87.664,11.1,2.8,7.72,4.01,0,
87.706,10,1.7,6.17,4.01,0,
87.747,9.4,1.7,5.15,4.01,0,
87.789,8.3,2.8,5.66,3.49,0,
87.831,7.8,2.8,6.17,3.32,0,
87.872,7.8,2.8,5.15,3.32,0,
87.914,7.2,2.8,6.17,3.49,0,
87.956,6.1,1.7,7.72,3.67,0,
87.997,5.6,2.8,6.17,4.36,0,
88.039,4.4,2.2,6.69,3.49,0,
88.081,2.8,-1.1,9.26,3.67,0,
88.122,1.7,-1.1,9.26,3.67,0,
88.164,0.6,-1.1,9.26,3.49,0,
88.206,0,-1.7,8.23,3.49,0,
88.247,0,-1.1,7.2,3.67,0,
88.289,0.6,-0.6,7.72,3.67,0,
88.331,0,-0.6,6.17,3.67,0,
88.372,1.7,1.1,8.75,3.67,0,
88.414,2.8,0.6,9.78,3.67,0,
88.456,5,0.6,7.72,3.84,0,
88.497,3.3,1.1,5.15,6.28,0,
88.539,4.4,1.7,2.06,1.75,0,
88.581,5.6,1.7,3.09,2.09,0,
88.622,7.8,-2.8,6.17,4.54,0,
88.664,6.1,0.6,1.54,0,0,
88.706,7.8,-2.8,6.17,4.01,0,
88.747,7.2,-3.3,4.63,4.01,0,
88.789,5.6,-2.2,4.12,3.67,0,
88.831,3.9,-3.3,4.12,4.01,0,
88.872,3.3,-3.3,4.63,3.67,0,
88.914,2.8,-2.8,5.15,3.49,0,
88.956,2.2,-3.3,5.15,3.67,0,
88.997,1.7,-3.9,5.66,2.97,0,
89.039,1.1,-3.9,6.69,3.32,0,
89.081,0.6,-3.3,7.2,3.67,0,
89.122,0,-3.3,6.69,3.49,0,
89.164,0,-3.9,4.63,3.32,0,
89.206,-1.1,-3.9,5.15,3.49,0,
89.247,-1.1,-3.9,2.57,3.49,0,
89.289,-1.1,-3.3,4.63,3.14,0,
89.331,1.1,-2.8,3.09,3.14,0,
89.372,2.2,-1.7,3.6,4.01,0,
89.414,3.3,-1.7,2.06,4.01,0,
89.456,5,-1.7,2.06,0,0,
89.497,6.1,-1.7,2.57,5.06,0,
89.539,6.7,-2.8,3.09,3.49,0,
89.581,7.2,-3.9,0,0,0,
89.622,7.2,-3.9,2.57,3.14,0,
89.664,7.8,-2.8,3.09,5.06,0,
89.706,8.3,-2.8,2.57,3.49,0,
89.747,6.7,-2.8,3.09,4.01,0,
89.789,3.3,-2.2,3.09,3.49,0,
89.831,2.2,-2.8,3.6,3.49,0,
89.872,2.8,-3.9,3.6,3.49,0,
89.914,0.6,-4.4,3.09,2.97,0,
89.956,0,-3.9,4.12,3.32,0,
89.997,-0.6,-3.9,2.57,2.27,0,
90.039,-0.6,-3.9,2.57,2.97,0,
90.081,-1.1,-3.9,4.12,2.79,0,
90.122,-1.7,-3.9,2.57,2.44,0,
90.164,-2.2,-4.4,3.6,2.62,0,
90.206,-2.2,-4.4,3.6,2.79,0,
90.247,-2.2,-3.9,3.09,2.62,0,
90.289,0,-2.8,2.57,2.62,0,
90.331,2.2,-2.2,3.6,2.44,0,
90.372,5,-1.7,2.57,3.32,0,
90.414,7.2,-2.2,0,0,0,
90.456,8.3,-3.3,1.54,4.01,0,
90.497,8.3,-4.4,2.06,4.54,0,
90.539,9.4,-3.9,2.57,4.36,0,
90.581,10.6,-3.3,2.06,0,0,
90.622,10.6,-2.8,3.09,4.89,0,
90.664,10.6,-3.9,5.15,4.71,0,
90.706,10,-4.4,5.66,4.71,0,
90.747,7.2,-2.2,3.6,4.36,0,
90.789,6.1,-2.8,2.57,3.67,0,
90.831,5,-3.3,2.57,3.49,0,
90.872,2.2,-3.3,3.09,3.49,0,
90.914,3.3,-2.8,3.6,3.67,0,
90.956,1.7,-3.3,2.57,2.97,0,
90.997,2.2,-3.9,3.09,3.84,0,
91.039,0,-3.9,2.57,2.97,0,
91.081,1.1,-3.9,1.54,2.44,0,
91.122,-0.6,-4.4,1.54,2.97,0,
91.164,-0.6,-4.4,3.09,2.62,0,
91.206,-0.6,-3.9,4.63,2.79,0,
91.247,-0.6,-3.9,3.09,2.44,0,
91.289,1.1,-2.8,1.54,2.09,0,
91.331,3.9,-1.7,3.09,2.09,0,
91.372,7.2,-1.7,0,0,0,
91.414,9.4,0.6,2.57,5.76,0,
91.456,11.1,-2.2,3.09,3.67,0,
91.497,11.7,-2.8,0,0,0,
91.539,12.8,-1.7,4.63,3.84,0,
91.581,13.3,-1.7,4.12,5.06,0,
91.622,13.9,-1.1,4.63,4.36,0,
91.664,13.9,-1.7,4.12,4.71,0,
91.706,13.3,-1.1,4.12,4.19,0,
91.747,10.6,0.6,4.12,4.36,0,
91.789,9.4,-0.6,4.12,4.01,0,
91.831,8.3,-0.6,4.12,3.84,0,
91.872,7.8,-0.6,4.63,4.01,0,
91.914,7.2,-0.6,4.63,4.01,0,
91.956,6.7,-1.1,4.63,3.84,0,
91.997,6.1,-1.1,5.66,4.01,0,
92.039,6.1,-0.6,4.12,3.49,0,
92.081,5,-1.1,2.57,2.27,0,
92.122,3.9,-0.6,5.15,2.62,0,
92.164,4.4,-0.6,3.6,2.97,0,
92.206,3.9,-1.1,4.12,2.97,0,
92.247,3.3,-1.1,3.09,2.62,0,
92.289,4.4,-0.6,3.6,2.97,0,
92.331,6.7,0,4.63,2.97,0,
92.372,9.4,1.1,5.15,3.49,0,
92.414,10.6,2.2,4.63,3.49,0,
92.456,12.2,3.3,4.12,3.84,0,
92.497,13.9,4.4,4.63,3.14,0,
92.539,15.6,5,4.63,3.67,0,
92.581,16.7,4.4,5.15,4.19,0,
92.622,17.8,4.4,4.63,4.36,0,
92.664,18.9,3.9,8.75,4.54,0,
92.706,17.8,5,6.17,4.01,0,
92.747,18.3,2.2,4.63,4.89,0,
92.789,12.2,4.4,4.63,4.71,0,
92.831,10,3.9,4.12,4.54,0,
92.872,12.2,2.8,4.12,5.06,0,
92.914,10,2.8,3.09,4.19,0,
92.956,8.9,2.2,3.09,4.01,0,
92.997,8.3,2.2,3.09,4.36,0,
93.039,7.8,1.7,4.12,4.01,0,
93.081,6.1,1.1,2.57,4.71,0,
93.122,5.6,1.1,3.09,5.06,0,
93.164,6.1,0.6,3.09,5.24,0,
93.206,7.8,1.1,4.63,5.24,0,
93.247,7.2,1.1,5.15,4.89,0,
93.289,10,2.8,2.57,5.06,0,
93.331,12.8,2.8,6.17,5.76,0,
93.372,13.9,1.1,6.69,6.11,0,
93.414,14.4,1.7,5.15,0.52,0,
93.456,15,1.1,6.69,0.7,0,
93.497,15.6,1.7,3.6,0.7,0,
93.539,15.6,1.7,5.66,1.75,0,
93.581,15,0.6,5.15,1.57,0,
93.622,15,0.6,4.63,1.57,0,
93.664,15,0.6,3.09,0,0,
93.706,14.4,0,3.09,1.92,0,
93.747,13.3,0,3.09,1.4,0,
93.789,11.1,0,3.09,2.09,0,
93.831,10,-0.6,2.57,2.09,0,
93.872,9.4,-1.7,4.12,2.09,0,
93.914,8.9,-1.7,2.06,1.92,0,
93.956,7.8,-2.2,2.06,1.92,0,
93.997,7.2,-2.2,1.54,1.57,0,
94.039,5,-2.2,2.06,2.27,5.68,
94.081,5,-2.2,1.54,1.92,5.68,
94.122,5,-2.2,2.06,1.92,5.68,
94.164,3.9,-1.7,2.57,0.87,5.68,
94.206,3.9,-1.7,3.6,1.05,5.68,
94.247,3.9,-2.2,3.09,1.05,5.68,
94.289,5.6,-1.1,4.12,1.05,5.68,
94.331,7.8,-0.6,3.09,1.4,5.68,
94.372,10,1.1,3.09,0.87,5.68,
94.414,12.8,2.2,4.63,0.52,5.68,
94.456,16.1,3.3,3.6,1.92,5.68,
94.497,17.2,3.9,3.09,1.75,5.68,
94.539,19.4,3.9,5.66,2.44,5.68,
94.581,20,2.8,4.63,3.49,5.68,
94.622,20,1.1,3.09,3.32,5.68,
94.664,18.9,2.2,6.17,3.49,5.68,
94.706,18.3,2.8,4.63,3.67,5.68,
94.747,16.7,4.4,3.09,3.67,5.68,
94.789,13.9,3.9,2.57,3.49,5.68,
94.831,11.1,3.9,1.54,3.32,5.68,
94.872,8.9,3.9,3.09,3.67,5.68,
94.914,9.4,4.4,3.09,3.84,5.68,
94.956,6.7,3.3,5.15,2.79,5.68,
94.997,7.8,3.9,4.12,2.62,5.68,
95.039,7.2,3.9,4.63,2.62,7.86,
95.081,7.2,3.9,5.15,2.79,7.86,
95.122,7.2,3.9,3.6,2.62,7.86,
95.164,7.8,4.4,5.15,2.79,7.86,
95.206,7.2,4.4,3.6,3.14,7.86,
95.247,7.2,4.4,6.17,2.79,7.86,
95.289,7.8,5,5.15,2.97,7.86,
95.331,9.4,5.6,4.63,2.97,7.86,
95.372,11.1,5,7.2,3.49,7.86,
95.414,12.8,5.6,8.75,3.84,7.86,
95.456,15.6,3.9,11.32,4.01,7.86,
95.497,16.1,3.3,10.8,3.84,7.86,
95.539,17.2,3.9,14.92,3.84,7.86,
95.581,16.1,3.9,13.89,3.84,7.86,
95.622,12.8,5,13.89,4.36,7.86,
95.664,8.9,4.4,10.29,4.36,7.86,
95.706,10,0,11.83,4.36,7.86,
95.747,7.8,-5.6,13.38,4.71,7.86,
95.789,5.6,-5,11.32,4.36,7.86,
95.831,4.4,-4.4,8.23,4.36,7.86,
95.872,3.3,-3.9,8.23,4.54,7.86,
95.914,1.1,-2.8,7.72,4.54,7.86,
95.956,0.6,-3.3,6.69,4.36,7.86,
95.997,0,-3.9,5.66,4.54,7.86,
96.039,-0.6,-4.4,4.12,4.36,1.39,
96.081,0,-4.4,2.06,2.79,1.39,
96.122,-2.2,-4.4,3.6,3.14,1.39,
96.164,-1.1,-4.4,5.15,3.84,1.39,
96.206,-1.1,-4.4,4.63,2.97,1.39,
96.247,-0.6,-3.9,5.66,3.49,1.39,
96.289,1.1,-2.8,6.17,3.49,1.39,
96.331,3.3,-2.2,6.69,3.67,1.39,
96.372,3.9,-2.2,7.2,3.67,1.39,
96.414,5.6,-1.7,7.72,3.49,1.39,
96.456,5.6,-2.8,6.17,4.01,1.39,
96.497,6.1,-2.2,6.69,3.84,1.39,
96.539,6.1,-3.3,7.2,3.67,1.39,
96.581,6.7,-2.8,7.72,4.01,1.39,
96.622,6.7,-4.4,6.69,4.36,1.39,
96.664,6.7,-2.8,7.72,4.01,1.39,
96.706,6.1,-3.9,6.17,4.01,1.39,
96.747,5.6,-3.3,5.15,3.49,1.39,
96.789,5,-2.8,5.15,3.49,1.39,
96.831,3.9,-2.8,5.15,3.32,1.39,
96.872,4.4,-2.8,6.17,3.32,1.39,
96.914,3.9,-2.8,5.66,3.49,1.39,
96.956,3.3,-2.8,5.66,3.67,1.39,
96.997,3.3,-2.8,5.66,3.84,1.39,
97.039,2.8,-2.8,5.15,3.67,0,
97.081,2.8,-2.8,5.66,3.67,0,
97.122,3.3,-1.7,9.26,3.67,0,
97.164,1.7,0,7.2,3.67,0,
97.206,2.2,-1.1,8.75,3.84,0,
97.247,1.7,-0.6,6.69,3.67,0,
97.289,2.8,0,6.69,3.84,0,
97.331,5,0,9.78,3.84,0,
97.372,5,-0.6,11.83,4.19,0,
97.414,7.8,-1.7,9.78,4.01,0,
97.456,7.2,-3.3,10.29,4.54,0,
97.497,10,-5,11.83,4.54,0,
97.539,10.6,-7.8,11.83,4.89,0,
97.581,9.4,-6.1,13.89,4.36,0,
97.622,8.3,-5.6,6.69,4.89,0,
97.664,7.8,-5.6,5.15,4.71,0,
97.706,8.9,-7.2,5.15,5.41,0,
97.747,6.7,-5.6,3.09,5.76,0,
97.789,2.8,-6.1,3.09,4.89,0,
97.831,3.3,-5.6,5.15,4.19,0,
97.872,2.8,-5,5.15,4.71,0,
97.914,1.7,-5.6,4.12,4.89,0,
97.956,-0.6,-6.1,2.57,4.19,0,
97.997,-2.8,-6.7,3.09,4.19,0,
98.039,-3.3,-6.7,3.6,4.54,0,
98.081,-2.8,-6.7,2.57,2.44,0,
98.122,-3.3,-6.1,3.09,2.97,0,
98.164,-3.3,-6.1,3.09,2.97,0,
98.206,-3.9,-6.7,2.57,2.97,0,
98.247,-2.8,-6.1,3.09,2.79,0,
98.289,0.6,-5,5.15,2.44,0,
98.331,3.9,-4.4,3.6,2.97,0,
98.372,5.6,-4.4,2.57,2.79,0,
98.414,6.7,-3.9,2.06,0,0,
98.456,8.9,-4.4,3.6,4.01,0,
98.497,10,-5,5.15,3.84,0,
98.539,10.6,-6.1,4.12,2.97,0,
98.581,11.1,-5.6,2.57,0,0,
98.622,11.7,-5.6,4.12,3.14,0,
98.664,11.1,-7.2,2.57,2.97,0,
98.706,11.1,-6.7,2.57,3.32,0,
98.747,10,-6.1,2.06,4.36,0,
98.789,8.9,-6.1,0,0,0,
98.831,6.7,-5,0,0,0,
98.872,4.4,-4.4,0,0,0,
98.914,3.9,-4.4,0,0,0,
98.956,0.6,-5,0,0,0,
98.997,0,-5.6,1.54,0,0,
99.039,1.7,-5,0,0,0,
99.081,0.6,-3.9,0,0,0,
99.122,0.6,-3.3,2.06,1.05,0,
99.164,0.6,-2.8,2.06,1.05,0,
99.206,0,-2.8,3.09,0.87,0,
99.247,0.6,-2.8,3.6,0.87,0,
99.289,2.2,-2.8,3.6,0.87,0,
99.331,4.4,-2.2,4.12,0.87,0,
99.372,6.7,-1.7,3.6,0.87,0,
99.414,9.4,-0.6,4.63,0.87,0,
99.456,11.7,-0.6,3.6,0.87,0,
99.497,14.4,-1.1,1.54,0,0,
99.539,15.6,-1.1,0,0,0,
99.581,16.7,-1.7,2.57,1.05,0,
99.622,17.2,-1.7,2.57,0.87,0,
99.664,16.7,-2.8,2.57,6.11,0,
99.706,16.1,-1.1,3.09,6.28,0,
99.747,13.9,-1.1,3.09,6.28,0,
99.789,12.2,-1.7,1.54,6.11,0,
99.831,8.9,-1.1,2.06,4.36,0,
99.872,6.1,-0.6,2.57,4.54,0,
99.914,7.2,-0.6,2.06,4.36,0,
99.956,4.4,-0.6,3.09,4.71,0,
99.997,6.1,-1.1,0,0,0,
100.039,1.7,-1.7,2.06,4.89,0,
100.081,2.2,-1.7,0,0,0,
100.122,1.7,-2.2,0,0,0,
100.164,2.8,-1.7,1.54,0.7,0,
100.206,2.8,-1.1,0,0,0,
100.247,0,-2.8,0,0,0,
100.289,6.1,0.6,3.09,2.27,0,
100.331,8.9,1.7,2.06,1.92,0,
100.372,10.6,1.7,0,0,0,
100.414,13.9,2.8,0,0,0,
100.456,15.6,2.8,3.09,3.67,0,
100.497,17.8,3.3,3.6,4.36,0,
100.539,18.3,2.2,4.63,4.54,0,
100.581,18.9,1.1,5.15,3.67,0,
100.622,20,0,5.66,4.54,0,
100.664,19.4,1.7,5.66,4.36,0,
100.706,18.9,0.6,6.17,4.54,0,
100.747,16.7,1.1,5.15,4.19,0,
100.789,13.9,1.7,5.66,4.19,0,
100.831,12.2,2.2,5.15,4.01,0,
100.872,11.1,2.8,6.17,3.84,0,
100.914,10,2.8,6.17,3.84,0,
100.956,8.9,2.8,0,0,0,
100.997,8.3,2.8,3.09,2.09,0,
101.039,6.7,2.2,4.12,2.44,2.03,
101.081,5.6,2.2,4.12,2.62,2.03,
101.122,4.4,2.2,3.6,2.62,2.03,
101.164,3.9,2.2,4.12,2.79,2.03,
101.206,3.3,1.7,4.12,2.44,2.03,
101.247,3.9,2.2,3.09,2.44,2.03,
101.289,6.1,2.8,4.63,2.79,2.03,
101.331,7.8,3.3,3.09,2.97,2.03,
101.372,10.6,3.9,3.09,0,2.03,
101.414,12.2,3.9,2.57,0,2.03,
101.456,13.9,3.3,3.6,4.01,2.03,
101.497,14.4,3.9,1.54,4.54,2.03,
101.539,15.6,4.4,3.6,3.49,2.03,
101.581,16.1,4.4,3.09,3.84,2.03,
101.622,16.7,4.4,3.09,4.36,2.03,
101.664,17.2,3.3,0,0,2.03,
101.706,17.2,3.3,1.54,0,2.03,
101.747,16.7,2.8,1.54,3.14,2.03,
101.789,13.3,3.3,2.57,2.97,2.03,
101.831,10.6,2.8,3.09,3.49,2.03,
101.872,10.6,2.2,3.6,3.84,2.03,
101.914,8.3,1.7,2.06,3.84,2.03,
101.956,7.8,1.7,2.06,3.67,2.03,
101.997,6.1,1.7,2.06,2.79,2.03,
102.039,6.7,2.2,3.09,2.44,5.37,
102.081,6.1,2.2,4.63,2.79,5.37,
102.122,5.6,1.7,4.12,2.79,5.37,
102.164,5.6,2.2,4.63,2.62,5.37,
102.206,5,2.2,1.54,2.97,5.37,
102.247,5.6,2.2,2.06,1.92,5.37,
102.289,6.1,2.8,2.06,2.09,5.37,
102.331,9.4,3.9,2.57,1.4,5.37,
102.372,12.2,4.4,2.57,1.92,5.37,
102.414,15,5,1.54,0,5.37,
102.456,16.7,3.9,3.09,2.09,5.37,
102.497,17.2,3.3,1.54,3.14,5.37,
102.539,18.9,2.8,2.06,2.62,5.37,
102.581,19.4,0.6,4.12,4.19,5.37,
102.622,19.4,0,2.06,3.67,5.37,
102.664,20,-1.1,5.66,4.19,5.37,
102.706,18.9,0.6,3.6,4.01,5.37,
102.747,18.3,0,4.63,3.84,5.37,
102.789,15,1.1,3.09,3.49,5.37,
102.831,14.4,1.1,4.12,3.84,5.37,
102.872,11.7,1.7,2.57,4.01,5.37,
102.914,10.6,1.7,0,0,5.37,
102.956,11.1,1.7,0,0,5.37,
102.997,11.7,1.1,1.54,1.4,5.37,
103.039,10.6,2.2,3.09,2.79,10,
103.081,11.1,1.7,4.12,2.97,10,
103.122,10.6,2.2,1.54,3.32,10,
103.164,11.1,2.2,0,0,10,
103.206,9.4,2.2,2.57,3.14,10,
103.247,8.9,2.8,0,0,10,
103.289,11.1,3.3,2.57,2.44,10,
103.331,12.8,3.9,2.06,2.97,10,
103.372,13.9,3.3,1.54,0,10,
103.414,15,2.8,0,0,10,
103.456,16.1,3.3,2.06,0,10,
103.497,18.9,0.6,4.12,4.01,10,
103.539,19.4,1.7,2.57,3.32,10,
103.581,19.4,0.6,4.63,4.71,10,
103.622,20,0,4.63,4.54,10,
103.664,20,0,5.66,4.36,10,
103.706,18.3,2.8,3.09,4.36,10,
103.747,16.7,-1.1,5.15,4.19,10,
103.789,16.1,0,3.09,3.84,10,
103.831,16.1,2.2,6.17,3.67,10,
103.872,15,2.8,4.63,3.67,10,
103.914,14.4,2.8,4.12,4.01,10,
103.956,13.9,5,5.15,3.67,10,
103.997,12.2,5.6,2.57,4.36,10,
104.039,12.8,3.9,4.12,3.49,9.41,
104.081,12.2,5.6,2.57,3.84,9.41,
104.122,11.7,6.7,4.63,3.67,9.41,
104.164,10.6,7.2,3.09,2.62,9.41,
104.206,10.6,7.2,4.63,2.62,9.41,
104.247,10,8.3,4.12,2.62,9.41,
104.289,10,8.9,0,0,9.41,
104.331,10,9.4,2.06,1.57,9.41,
104.372,10.6,10,3.09,1.92,9.41,
104.414,10.6,10,2.57,1.57,9.41,
104.456,10.6,10,3.09,0.7,9.41,
104.497,10.6,10,3.6,0.7,9.41,
104.539,10,9.4,4.63,1.05,9.41,
104.581,10,8.9,3.09,0.7,9.41,
104.622,10,8.9,3.6,1.57,9.41,
104.664,9.4,8.3,3.09,1.92,9.41,
104.706,8.3,7.8,3.6,1.57,9.41,
104.747,8.3,7.8,3.09,2.62,9.41,
104.789,8.9,7.8,10.29,3.67,9.41,
104.831,7.8,6.7,6.69,3.49,9.41,
104.872,7.2,6.1,6.69,3.32,9.41,
104.914,6.7,5.6,7.2,3.14,9.41,
104.956,6.7,6.1,5.66,3.14,9.41,
104.997,6.7,5.6,7.72,3.49,9.41,
105.039,6.7,5.6,8.23,3.49,8,
105.081,6.1,5,9.26,3.49,8,
105.122,6.1,5,8.75,3.67,8,
105.164,6.1,5,8.23,3.67,8,
105.206,6.1,5,7.2,3.67,8,
105.247,6.1,5,6.17,3.67,8,
105.289,6.7,5.6,4.63,3.67,8,
105.331,6.7,5.6,4.63,3.67,8,
105.372,7.2,5.6,6.69,3.84,8,
105.414,7.8,6.1,6.69,3.49,8,
105.456,3.9,3.9,4.12,0.87,8,
105.497,5,4.4,0,0,8,
105.539,8.9,6.7,6.69,3.49,8,
105.581,9.4,6.1,6.69,3.49,8,
105.622,10,6.1,5.66,3.32,8,
105.664,10,6.1,4.63,2.97,8,
105.706,6.1,4.4,3.09,0.7,8,
105.747,4.4,3.3,3.09,0.87,8,
105.789,3.9,2.8,2.06,1.22,8,
105.831,3.3,2.2,3.09,0.87,8,
105.872,3.3,2.2,1.54,1.05,8,
105.914,3.3,2.2,1.54,1.22,8,
105.956,2.8,1.7,1.54,1.22,8,
105.997,2.8,1.7,1.54,0.52,8,
106.039,3.3,2.2,1.54,1.4,9.26,
106.081,4.4,3.3,3.09,2.79,9.26,
106.122,6.7,4.4,3.09,3.14,9.26,
106.164,6.7,4.4,3.6,3.14,9.26,
106.206,6.7,4.4,5.66,3.32,9.26,
106.247,6.7,4.4,5.15,3.14,9.26,
106.289,7.2,4.4,6.69,3.32,9.26,
106.331,7.8,5,6.69,3.67,9.26,
106.372,8.9,4.4,6.69,3.67,9.26,
106.414,8.9,4.4,6.69,3.84,9.26,
106.456,8.9,5.6,6.69,3.67,9.26,
106.497,8.9,5.6,8.23,3.49,9.26,
106.539,9.4,5.6,5.66,3.32,9.26,
106.581,10,6.1,7.2,3.49,9.26,
