$Spokane wwtp,constituent,file,-,year,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,TRACER,COLFRM,COND,CHLORID,ISS,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,1CBOD,2CBOD,3CBOD,4CBOD,5CBOD,6CBOD,7CBOD,8CBOD,9CBOD,10CBOD,1CBODP,2CBODP,3CBODP,4CBODP,5CBODP,6CBODP,7CBODP,8CBODP,9CBODP,10CBODP,1CBODN,2CBODN,3CBODN,4CBODN,5CBODN,6CBODN,7CBODN,8CBODN,9CBODN,10CBODN,Algae1,Algae2,Algae3,DO,TIC,ALK,LDOMP,RDOMP,LPOMP,RPOMP,LDOMN,RDOMN,LPOMN,RPOMN
83,310,0,25.3,640,0.71,0.1,1.2558,0.124,14.429,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,9.4,38.82,104,0,0,0,0,0,0,0,0
84,310,0,27.7,640,0.71,0.1,0.961,0.124,14.514,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,1.679,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,9.1,46.11,123,0,0,0,0,0,0,0,0
85,310,0,30,640,0.62,0.5,1.0847,0.198,14.6,0,0,0,0,0,0,0,30.86,0,0,0,0,0,0,0,0,0,1.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,42.19,117,0,0,0,0,0,0,0,0
86,310,0,7,640,0.59,0.5,1.1066,0.192,14.814,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,9.8,44.54,119,0,0,0,0,0,0,0,0
87,310,0,4,640,0.6,1,0.9464,0.124,15.029,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,1.654,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,9.7,39.54,99,0,0,0,0,0,0,0,0
88,310,0,2,640,0.57,1.5,0.1747,0.144,15.243,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,10.6,33.8,73,0,0,0,0,0,0,0,0
89,310,0,4,640,0.59,1,0.1056,1.06,15.457,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,9.7,31.31,69,0,0,0,0,0,0,0,0
90,310,0,5.3,640,0.6,1,0.0983,0.124,15.671,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,12.3,35.23,82,0,0,0,0,0,0,0,0
91,310,0,6.7,640,0.64,1,0.1238,0.227,15.886,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,9.8,35.46,89,0,0,0,0,0,0,0,0
92,310,0,8,640,0.62,1,0.0692,0.33,16.1,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,8.9,38.31,96,0,0,0,0,0,0,0,0
93,310,0,13,640,0.6,0.1,0.1383,0.499,16.586,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0,0,0,0.242,0,0,0,0,0,0,0,0,0,1.444,0,0,0,0,0,0,0,0,0,9,38.74,102,0,0,0,0,0,0,0,0
94,310,0,8,640,0.56,0.1,0.1456,0.124,17.071,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0,1.419,0,0,0,0,0,0,0,0,0,9.1,36.96,92,0,0,0,0,0,0,0,0
95,310,0,2,640,0.58,0.1,0.1456,0.146,17.557,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0,1.393,0,0,0,0,0,0,0,0,0,10,38.35,93,0,0,0,0,0,0,0,0
96,310,0,2,640,0.61,1,0.1565,0.124,18.043,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,1.367,0,0,0,0,0,0,0,0,0,9.9,35.97,88,0,0,0,0,0,0,0,0
97,310,0,11.3,640,0.6,0.1,0.1529,0.124,18.529,0,0,0,0,0,0,0,18.51,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,1.341,0,0,0,0,0,0,0,0,0,9,37.76,93,0,0,0,0,0,0,0,0
98,310,0,20.7,640,0.61,1,0.1565,0.124,19.014,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,1.316,0,0,0,0,0,0,0,0,0,8.8,38.71,95,0,0,0,0,0,0,0,0
99,310,0,30,640,0.57,0.1,0.1674,0.11,19.5,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,9.2,41.17,100,0,0,0,0,0,0,0,0
100,310,0,4,640,0.59,0.1,0.1893,0.081,19.5,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0,1.223,0,0,0,0,0,0,0,0,0,9,38.68,92,0,0,0,0,0,0,0,0
101,310,0,2,640,0.57,0.1,0.1856,0.081,19.5,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.324,0,0,0,0,0,0,0,0,0,1.156,0,0,0,0,0,0,0,0,0,8.4,37.17,90,0,0,0,0,0,0,0,0
102,310,0,2,640,0.58,0.1,0.2002,0.081,19.5,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,1.089,0,0,0,0,0,0,0,0,0,9.8,37.37,94,0,0,0,0,0,0,0,0
103,310,0,2,640,0.6,1,0.1856,0.081,19.5,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.324,0,0,0,0,0,0,0,0,0,1.021,0,0,0,0,0,0,0,0,0,9.6,36.38,92,0,0,0,0,0,0,0,0
104,310,0,5,640,0.61,1.5,0.2002,0.081,19.5,0,0,0,0,0,0,0,20.79,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,0,0,0,0,8.5,32.57,79,0,0,0,0,0,0,0,0
105,310,0,8,640,0.62,1,0.1966,0.081,19.5,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0.887,0,0,0,0,0,0,0,0,0,9.8,33.92,90,0,0,0,0,0,0,0,0
106,310,0,11,640,0.76,1,0.1966,0.081,19.5,0,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,8.5,35.65,94,0,0,0,0,0,0,0,0
107,310,0,2,640,0.72,1,0.222,0.081,19.6,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.388,0,0,0,0,0,0,0,0,0,0.806,0,0,0,0,0,0,0,0,0,9.3,32.84,83,0,0,0,0,0,0,0,0
108,310,0,13,640,0.57,0.1,0.2293,0.081,19.7,0,0,0,0,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0.791,0,0,0,0,0,0,0,0,0,9.3,33.15,82,0,0,0,0,0,0,0,0
109,310,0,2,640,0.54,2,0.222,0.081,19.8,0,0,0,0,0,0,0,21.11,0,0,0,0,0,0,0,0,0,0.388,0,0,0,0,0,0,0,0,0,0.777,0,0,0,0,0,0,0,0,0,9.7,31.99,74,0,0,0,0,0,0,0,0
110,310,0,4,640,0.61,0.1,0.2111,0.081,19.9,0,0,0,0,0,0,0,17.54,0,0,0,0,0,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0.763,0,0,0,0,0,0,0,0,0,9.9,47.52,81,0,0,0,0,0,0,0,0
111,310,0,4,640,0.65,1.5,0.1929,0.081,20,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0.749,0,0,0,0,0,0,0,0,0,9.1,34.71,79,0,0,0,0,0,0,0,0
112,310,0,4,640,0.58,2,0.182,0.081,20.1,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0.734,0,0,0,0,0,0,0,0,0,9.4,40.12,94,0,0,0,0,0,0,0,0
113,310,0,4,640,0.55,0.1,0.182,0.081,20.2,0,0,0,0,0,0,0,16.89,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,8.9,40.06,97,0,0,0,0,0,0,0,0
114,310,0,14,640,0.6,1,0.2075,0.081,19.957,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.363,0,0,0,0,0,0,0,0,0,0.717,0,0,0,0,0,0,0,0,0,9.1,37.81,90,0,0,0,0,0,0,0,0
115,310,0,9,640,0.55,0.1,0.222,0.081,19.714,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.388,0,0,0,0,0,0,0,0,0,0.714,0,0,0,0,0,0,0,0,0,8.6,36.16,84,0,0,0,0,0,0,0,0
116,310,0,2,640,0.62,3.5,0.2148,0.081,19.471,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0.711,0,0,0,0,0,0,0,0,0,10.3,36.63,83,0,0,0,0,0,0,0,0
117,310,0,13,640,0.63,2,0.2621,0.458,19.229,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0.458,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0,0,0,8.8,39.34,97,0,0,0,0,0,0,0,0
118,310,0,9.3,640,0.56,2,0.1784,0.534,18.986,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0,0.706,0,0,0,0,0,0,0,0,0,9.5,38.81,85,0,0,0,0,0,0,0,0
119,310,0,5.7,640,0.64,2,0.1383,0.081,18.743,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.242,0,0,0,0,0,0,0,0,0,0.703,0,0,0,0,0,0,0,0,0,9.6,35.23,78,0,0,0,0,0,0,0,0
120,310,0,2,640,0.59,3,0.1674,0.596,18.5,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,9.9,38.91,87,0,0,0,0,0,0,0,0
121,310,0,13,640,0.55,1,0.1274,0.081,18.757,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0.803,0,0,0,0,0,0,0,0,0,9.6,31.13,66,0,0,0,0,0,0,0,0
122,310,0,8,640,0.64,2,0.1238,0.081,19.014,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,0.906,0,0,0,0,0,0,0,0,0,9.3,34.73,80,0,0,0,0,0,0,0,0
123,310,0,4,640,0.69,1,0.1529,0.081,19.271,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,1.009,0,0,0,0,0,0,0,0,0,9.4,34.91,75,0,0,0,0,0,0,0,0
124,310,0,4,640,0.63,1,0.142,0.081,19.529,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,1.111,0,0,0,0,0,0,0,0,0,9,37.01,82,0,0,0,0,0,0,0,0
125,310,0,3.3,640,0.58,1.5,0.1602,0.081,19.786,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.214,0,0,0,0,0,0,0,0,0,8.7,27.86,63,0,0,0,0,0,0,0,0
126,310,0,2.7,640,0.56,2,0.1347,0.081,20.043,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,0,1.317,0,0,0,0,0,0,0,0,0,9.1,41.2,89,0,0,0,0,0,0,0,0
127,310,0,2,640,0.59,1.5,0.1492,0.081,20.3,0,0,0,0,0,0,0,18.84,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,9.4,42.61,94,0,0,0,0,0,0,0,0
128,310,0,17,640,0.57,2,0.1492,0.156,20.329,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,1.434,0,0,0,0,0,0,0,0,0,8.9,38.82,84,0,0,0,0,0,0,0,0
129,310,0,2,640,0.53,2,0.1674,0.238,20.357,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,1.449,0,0,0,0,0,0,0,0,0,9,37.22,82,0,0,0,0,0,0,0,0
130,310,0,4,640,0.54,0.1,0.1602,0.081,20.386,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.463,0,0,0,0,0,0,0,0,0,9.3,33.21,71,0,0,0,0,0,0,0,0
131,310,0,8,640,0.57,1,0.1565,0.229,20.414,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,1.477,0,0,0,0,0,0,0,0,0,10.2,32.46,71,0,0,0,0,0,0,0,0
132,310,0,6,640,0.54,1,0.1383,0.081,20.443,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.242,0,0,0,0,0,0,0,0,0,1.491,0,0,0,0,0,0,0,0,0,9.3,34.27,81,0,0,0,0,0,0,0,0
133,310,0,4,640,0.58,1,0.1274,0.24,20.471,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,1.506,0,0,0,0,0,0,0,0,0,9,35.81,89,0,0,0,0,0,0,0,0
134,310,0,2,640,0.56,3.5,0.1492,0.081,20.5,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,9.2,37.95,90,0,0,0,0,0,0,0,0
135,310,0,2,640,0.57,0.1,0.1492,0.081,20.514,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,1.529,0,0,0,0,0,0,0,0,0,9.1,36.48,82,0,0,0,0,0,0,0,0
136,310,0,2,640,0.58,0.1,0.1165,0.081,20.529,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,1.537,0,0,0,0,0,0,0,0,0,9.1,34.14,77,0,0,0,0,0,0,0,0
137,310,0,2,640,0.53,1,0.142,0.081,20.543,0,0,0,0,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,1.546,0,0,0,0,0,0,0,0,0,9.5,32.43,72,0,0,0,0,0,0,0,0
138,310,0,2,640,0.54,0.1,0.1165,0.081,20.557,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,1.554,0,0,0,0,0,0,0,0,0,10.3,33.86,69,0,0,0,0,0,0,0,0
139,310,0,4,640,0.58,1,0.1274,0.081,20.571,0,0,0,0,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,1.563,0,0,0,0,0,0,0,0,0,9,36.86,77,0,0,0,0,0,0,0,0
140,310,0,6,640,0.58,2,0.1201,0.081,20.586,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,9,42.9,91,0,0,0,0,0,0,0,0
141,310,0,8,640,0.57,0.1,0.1238,0.123,20.6,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,8.9,42.34,99,0,0,0,0,0,0,0,0
142,310,0,8,640,0.57,1,0.1238,0.081,20.986,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,1.543,0,0,0,0,0,0,0,0,0,9,41.28,90,0,0,0,0,0,0,0,0
143,310,0,2,640,0.55,2,0.1238,0.081,21.371,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,1.506,0,0,0,0,0,0,0,0,0,8,41.32,87,0,0,0,0,0,0,0,0
144,310,0,2,640,0.56,1,0.1165,0.081,21.757,0,0,0,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,1.469,0,0,0,0,0,0,0,0,0,9.1,39.1,78,0,0,0,0,0,0,0,0
145,310,0,2,640,0.54,1,0.1165,0.081,22.143,0,0,0,0,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,1.431,0,0,0,0,0,0,0,0,0,9.1,36.04,75,0,0,0,0,0,0,0,0
146,310,0,2,640,0.56,1.5,0.1274,0.081,22.529,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,1.394,0,0,0,0,0,0,0,0,0,8.6,36.42,81,0,0,0,0,0,0,0,0
147,310,0,2,640,0.54,1,0.1019,0.081,22.914,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,1.357,0,0,0,0,0,0,0,0,0,8.2,36.05,80,0,0,0,0,0,0,0,0
148,310,0,2,640,0.54,1,0.1019,0.083,23.3,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,9.2,35.18,79,0,0,0,0,0,0,0,0
149,310,0,13,640,0.57,3,0.1347,0.081,22.917,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,0,1.449,0,0,0,0,0,0,0,0,0,9.3,37.61,87,0,0,0,0,0,0,0,0
150,310,0,11,640,0.52,2,0.1529,0.081,22.534,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,1.577,0,0,0,0,0,0,0,0,0,8.9,38.76,82,0,0,0,0,0,0,0,0
151,310,0,2,640,0.54,2,0.131,0.081,22.151,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.229,0,0,0,0,0,0,0,0,0,1.706,0,0,0,0,0,0,0,0,0,9.1,33.96,72,0,0,0,0,0,0,0,0
152,310,0,2,640,0.52,1,0.1638,0.1,21.769,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,1.834,0,0,0,0,0,0,0,0,0,9.2,35.68,77,0,0,0,0,0,0,0,0
153,310,0,7,640,0.51,0.5,0.1674,0.09,21.386,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,1.963,0,0,0,0,0,0,0,0,0,7.9,34.22,72,0,0,0,0,0,0,0,0
154,310,0,12,640,0.55,2.5,0.1674,0.081,21.003,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.091,0,0,0,0,0,0,0,0,0,8.8,37.62,86,0,0,0,0,0,0,0,0
155,310,0,17,640,0.56,1,0.1893,0.081,20.62,0,0,0,0,0,0,0,21.11,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,8.8,42.03,97,0,0,0,0,0,0,0,0
156,310,0,2,640,0.53,1,0.182,0.081,20.531,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,2.206,0,0,0,0,0,0,0,0,0,8.8,39.01,89,0,0,0,0,0,0,0,0
157,310,0,4,640,0.51,1.5,0.1856,0.081,20.443,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0.324,0,0,0,0,0,0,0,0,0,2.191,0,0,0,0,0,0,0,0,0,8.1,37.89,81,0,0,0,0,0,0,0,0
158,310,0,11,640,0.55,3,0.1747,0.081,20.354,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,2.177,0,0,0,0,0,0,0,0,0,8.9,34.4,73,0,0,0,0,0,0,0,0
159,310,0,7,640,0.53,2.5,0.1674,0.68,20.266,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.163,0,0,0,0,0,0,0,0,0,9.2,32.27,74,0,0,0,0,0,0,0,0
160,310,0,9,640,0.54,2.5,0.1674,1.02,20.177,0,0,0,0,0,0,0,18.19,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.149,0,0,0,0,0,0,0,0,0,5.3,36.43,90,0,0,0,0,0,0,0,0
161,310,0,11,640,0.59,2,0.1383,0.081,20.089,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.242,0,0,0,0,0,0,0,0,0,2.134,0,0,0,0,0,0,0,0,0,9.1,35.92,89,0,0,0,0,0,0,0,0
162,310,0,13,640,0.5,3,0.1674,0.081,20,0,0,0,0,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,9,38.24,92,0,0,0,0,0,0,0,0
163,310,0,2,640,0.5,3,0.1966,0.081,20.244,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,8.8,38.11,84,0,0,0,0,0,0,0,0
164,310,0,4,640,0.58,0.1,0.1674,0.081,20.489,0,0,0,0,0,0,0,21.44,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,9.1,32.62,71,0,0,0,0,0,0,0,0
165,310,0,13,640,0.53,1,0.1784,0.081,20.733,0,0,0,0,0,0,0,22.41,0,0,0,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,9,31.98,71,0,0,0,0,0,0,0,0
166,310,0,11,640,0.57,0.1,0.1674,0.081,20.977,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,9,31.55,68,0,0,0,0,0,0,0,0
167,310,0,8.7,640,0.6,3,0.182,0.081,21.221,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,8.8,32.21,74,0,0,0,0,0,0,0,0
168,310,0,6.3,640,0.61,1.5,0.142,0.081,21.466,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,8.3,36.1,87,0,0,0,0,0,0,0,0
169,310,0,4,640,0.59,1,0.1602,0.081,21.71,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,8.3,33.19,77.6,0,0,0,0,0,0,0,0
170,310,0,2,640,0.55,2,0.1638,0.081,21.81,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,1.816,0,0,0,0,0,0,0,0,0,8.8,36.04,82,0,0,0,0,0,0,0,0
171,310,0,2,640,0.55,2,0.1529,0.081,21.91,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,1.511,0,0,0,0,0,0,0,0,0,7.8,36.33,81,0,0,0,0,0,0,0,0
172,310,0,13,640,0.66,1,0.1565,0.081,22.01,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,1.207,0,0,0,0,0,0,0,0,0,8.8,34.43,82,0,0,0,0,0,0,0,0
173,310,0,2,640,0.55,1.5,0.1492,0.132,22.11,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,0.903,0,0,0,0,0,0,0,0,0,8.8,36.56,90,0,0,0,0,0,0,0,0
174,310,0,2.7,640,0.57,0.1,0.1529,0.12,22.21,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0.599,0,0,0,0,0,0,0,0,0,8.5,33.03,80,0,0,0,0,0,0,0,0
175,310,0,3.3,640,0.52,2.5,0.1638,0.081,22.31,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,0,0,0,0,0,8.3,35.09,92,0,0,0,0,0,0,0,0
176,310,0,4,640,0.53,4,0.1711,0.109,22.41,0,0,0,0,0,0,0,28.26,0,0,0,0,0,0,0,0,0,0.299,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,9,38.27,91,0,0,0,0,0,0,0,0
177,310,0,8,640,0.55,1,0.1711,0.081,22.081,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.299,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,9.1,35.68,91,0,0,0,0,0,0,0,0
178,310,0,4,640,0.57,3,0.2038,0.081,21.751,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,8.3,39.11,95,0,0,0,0,0,0,0,0
179,310,0,8,640,0.59,3,0.1674,0.112,21.422,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,19.2,32.19,75,0,0,0,0,0,0,0,0
180,317.14,0,4,643.1,0.66,2.5,0.1602,0.081,21.093,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0,8.6,35.33,79,0,0,0,0,0,0,0,0
181,324.29,0,5.3,646.1,0.67,1.5,0.1456,0.081,20.764,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,8.8,38.3,88,0,0,0,0,0,0,0,0
