$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
   0.500,     0.000,    49.200,    49.200,    64.700,    80.200,    95.600,   111.100,     0.000,     0.000,   121.200,   122.100,   123.000,   123.900,   124.800,   125.700,   126.600,   127.500,   128.300,   129.200,    91.800,   100.000,   108.200,   116.400,   124.600,   132.700,   142.200,   187.700,   167.500,   105.800,   130.700,   145.700,   122.000,   110.600,   105.100,    99.600,    94.100,    88.700,    83.200,    77.700,    72.200,    66.700,     0.000, 10
   0.500,     0.000,    47.200,    47.200,    62.700,    78.200,    93.600,   109.100,     0.000,     0.000,   119.200,   120.100,   121.000,   121.900,   122.800,   123.700,   124.600,   125.500,   126.300,   127.200,    91.700,    99.700,   107.800,   115.800,   123.800,   131.800,   141.100,   187.000,   166.800,   105.100,   129.700,   143.200,   121.400,   108.600,   103.100,    97.600,    92.100,    86.700,    81.200,    75.700,    70.200,    64.700,     0.000, 11
   0.500,     0.000,    45.200,    45.200,    60.700,    76.200,    91.600,   107.100,     0.000,     0.000,   117.200,   118.100,   119.000,   119.900,   120.800,   121.700,   122.600,   123.500,   124.300,   125.200,    91.700,    99.500,   107.300,   115.200,   123.000,   130.800,   140.000,   185.900,   165.600,   104.300,   128.800,   140.800,   120.900,   108.400,   102.900,    97.500,    92.000,    86.600,    81.100,    75.600,    70.200,    64.700,     0.000, 12
   0.500,     0.000,    43.200,    43.200,    58.700,    74.200,    89.600,   105.100,     0.000,     0.000,   115.200,   116.100,   117.000,   117.900,   118.800,   119.700,   120.600,   121.500,   122.300,   123.200,    91.700,    99.300,   106.900,   114.600,   122.200,   129.800,   138.900,   184.600,   163.900,   103.600,   127.900,   139.400,   120.500,   107.100,   101.800,    96.500,    91.200,    85.900,    80.500,    75.200,    69.900,    64.600,     0.000, 13
   0.500,     0.000,    41.200,    41.200,    56.700,    72.200,    87.600,   103.100,     0.000,     0.000,   113.200,   114.100,   115.000,   115.900,   116.800,   117.700,   118.600,   119.500,   120.300,   121.200,    91.600,    99.100,   106.500,   114.000,   121.400,   128.900,   137.800,   183.200,   162.300,   102.900,   127.100,   138.100,   120.200,   105.600,   100.400,    95.300,    90.100,    85.000,    79.800,    74.700,    69.600,    64.400,     0.000, 14
   0.500,     0.000,    39.200,    39.200,    54.700,    70.200,    85.600,   101.100,     0.000,     0.000,   111.200,   112.100,   113.000,   113.900,   114.800,   115.700,   116.600,   117.500,   118.300,   119.200,    91.600,    98.800,   106.100,   113.400,   120.600,   127.900,   136.700,   181.900,   160.600,   102.100,   126.200,   136.700,   119.900,   104.000,    99.000,    94.000,    89.100,    84.100,    79.100,    74.200,    69.200,    64.200,     0.000, 15
   0.500,     0.000,    37.200,    37.200,    52.700,    68.200,    83.600,    99.100,     0.000,     0.000,   109.200,   110.100,   111.000,   111.900,   112.800,   113.700,   114.600,   115.500,   116.300,   117.200,    91.500,    98.600,   105.700,   112.800,   119.800,   126.900,   135.500,   180.600,   159.000,   101.400,   125.400,   135.400,   119.400,   102.400,    97.600,    92.800,    88.000,    83.200,    78.400,    73.700,    68.900,    64.100,     0.000, 16
   0.500,     0.000,    35.200,    35.200,    50.700,    66.200,    81.600,    97.100,     0.000,     0.000,   107.200,   108.100,   109.000,   109.900,   110.800,   111.700,   112.600,   113.500,   114.300,   115.200,    91.400,    98.200,   104.900,   111.600,   118.400,   125.100,   133.600,   179.200,   157.400,   100.600,   124.600,   134.100,   117.700,   100.800,    96.200,    91.600,    87.000,    82.400,    77.700,    73.100,    68.500,    63.900,     0.000, 17
   0.500,     0.000,    33.200,    33.200,    48.700,    64.200,    79.600,    95.100,     0.000,     0.000,   105.200,   106.100,   107.000,   107.900,   108.800,   109.700,   110.600,   111.500,   112.300,   113.200,    91.300,    97.500,   103.600,   109.800,   116.000,   122.100,   130.300,   177.900,   155.700,    99.900,   123.700,   132.700,   115.900,    99.300,    94.800,    90.400,    85.900,    81.500,    77.000,    72.600,    68.200,    63.700,     0.000, 18
   0.500,     0.000,    31.200,    31.200,    46.700,    62.200,    77.600,    93.100,     0.000,     0.000,   103.200,   104.100,   105.000,   105.900,   106.800,   107.700,   108.600,   109.500,   110.300,   111.200,    91.200,    96.800,   102.400,   107.900,   113.500,   119.100,   127.000,   176.500,   154.000,    99.100,   122.900,   131.400,   114.100,    97.700,    93.400,    89.100,    84.900,    80.600,    76.300,    72.100,    67.800,    63.500,     0.000, 19
