 JDAY =    582.486722229035     
QIN:,94.712865,27355.211327,
QTR:,.076500,.243600,1.219700,.178400,.342700,13.290000,.010000,1.132500,.056500,.010400,.001200,.000000,
QDT:,.000000,.000000,
QWD:,10.395500,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
33,1,A,104,209.361614,-4.248896,-4.243629,10333.641259,10333.705660,-.000623,4.848896,4.843629,185.683696,186.195674,27.352429,27.352429,56.327946,55.652197
34,1,A,104,209.998756,-4.929220,-4.921828,13909.032619,13909.235179,-.001456,5.529220,5.521828,234.924438,235.007458,27.351806,27.351806,59.884853,59.207272
35,1,A,104,211.216926,-6.187936,-6.193487,4841.211910,4841.013636,.004096,6.787936,6.793487,196.322382,196.267135,27.248265,27.248265,24.974280,24.658491
36,1,A,104,208.487387,-3.537237,-3.525831,9958.414392,9958.591823,-.001782,4.137237,4.125831,223.875709,223.900179,26.629514,26.629514,45.013901,44.482681
37,1,A,104,211.042079,-6.121378,-6.125973,8037.957781,8037.743379,.002667,6.721378,6.725973,289.218214,288.995686,26.799462,26.799462,28.169891,27.791277
38,1,A,104,210.094359,-5.212718,-5.213091,7675.812822,7675.582897,.002995,5.812718,5.813091,231.836385,231.720229,27.005650,27.005650,33.487413,33.107758
39,1,A,104,208.877688,-4.026556,-4.028411,7022.141474,7022.156603,-.000215,4.626556,4.628411,174.010643,173.974240,27.001903,27.001903,40.798914,40.354754
40,1,A,104,208.988099,-4.167478,-4.166487,7248.576043,7248.555563,.000283,4.767478,4.766487,163.969058,164.175726,26.992015,26.992015,44.707621,44.206850
41,1,A,104,207.878887,-3.109610,-3.100968,12196.297527,12196.299087,-.000013,3.709610,3.700968,154.510697,155.641149,26.555956,26.555956,79.752349,78.934982
42,1,A,104,207.860028,-3.168240,-3.141979,25917.797771,25917.895182,-.000376,3.768240,3.741979,353.992627,354.245559,26.861671,26.861671,73.974092,73.215918
43,1,A,104,211.487901,-6.818670,-6.823438,19185.110559,19184.886410,.001168,7.418670,7.423438,430.768854,429.666424,26.409876,26.409876,44.837957,44.536382
44,1,A,104,210.083245,-5.461828,-5.465953,11242.295672,11242.124740,.001520,6.061828,6.065953,262.404760,261.840488,26.783544,26.783544,43.357486,42.842686
45,1,A,104,209.164045,-4.579587,-4.582120,10587.958339,10587.925278,.000312,5.179587,5.182120,209.000193,208.766434,26.573913,26.573913,51.147692,50.659883
46,1,A,104,208.365486,-3.805027,-3.808510,9602.649504,9602.629818,.000205,4.405027,4.408510,205.883500,205.766263,26.774303,26.774303,47.122687,46.641085
47,1,A,104,208.090396,-3.563663,-3.562237,10169.365714,10169.346170,.000192,4.163663,4.162237,179.748890,179.951920,26.920455,26.920455,57.231000,56.575293
48,1,A,104,207.626606,-3.125568,-3.122367,10657.694127,10657.694409,-.000003,3.725568,3.722367,179.728883,180.172843,26.953519,26.953519,55.019650,54.360277
49,1,A,104,206.906278,-2.427644,-2.418793,12632.045693,12632.088502,-.000339,3.027644,3.018793,224.229259,224.825510,26.930036,26.930036,57.318926,56.335594
50,1,A,104,209.207769,-4.753391,-4.749187,14556.448394,14557.187124,-.005075,5.353391,5.349187,126.485075,128.044307,26.980887,26.980887,116.551226,115.090157
51,1,A,104,203.712531,-.408620,.710249,40942.284726,26792.391857,34.560584,1.008620,-.110249,223.627718,228.325397,27.000833,27.000833,179.802852,119.808010
52,1,A,104,211.602379,-7.242119,-7.212611,.000000,.000000,.000000,7.842119,7.812611,447.806682,454.607690,27.025395,27.025395,.000000,.000000
53,2,I,104,212.110000,.506569,.706806,26792.391857,26792.391857,.000000,.093431,-.106806,217.840528,223.740110,27.000833,27.000833,183.487696,122.990851
