$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51,
   0.305,     0.000,    66.300,    52.100,    62.500,    46.300,    52.100,    53.300,    51.900,    56.000,    45.600,    50.400,    45.000,    50.300,   113.500,    53.100,    57.200,    59.900,    82.300,   118.300,    91.700,    96.000,    60.000,    40.200,    43.700,    46.000,    36.500,    44.500,    72.300,   102.800,    71.300,    78.000,    40.000,    29.600,    35.900,    34.000,    38.700,    45.800,    40.100,    38.800,    25.100,    32.300,    28.300,    41.200,    41.100,    41.700,     0.000,     0.000,    27.600,    24.100,    21.100,     0.000,  8
   0.305,     0.000,    57.300,    46.100,    55.100,    43.000,    46.900,    48.100,    46.000,    50.900,    40.200,    45.800,    39.000,    45.100,    98.400,    45.400,    48.400,    50.600,    67.600,   104.600,    81.500,    85.800,    53.500,    37.300,    40.500,    42.500,    32.100,    25.400,    37.600,    37.700,    46.400,    48.500,    36.000,    27.100,    32.800,    31.500,    35.600,    41.600,    37.000,    34.800,    22.300,    32.200,    28.100,    38.400,    37.900,    38.900,     0.000,     0.000,    26.000,    23.300,    16.600,     0.000,  9
   0.305,     0.000,    34.600,    36.300,    46.000,    39.200,    41.500,    40.200,    40.400,    45.100,    34.700,    39.900,    33.100,    39.900,    62.900,    38.000,    38.800,    39.800,    42.900,    47.800,    44.100,    67.000,    46.500,    34.500,    36.100,    38.300,    27.600,    20.300,    33.000,    32.500,    37.300,    29.000,    31.900,    24.400,    29.300,    29.100,    32.300,    37.500,    33.900,    30.900,    19.800,    25.300,    20.300,    34.500,    34.300,    35.500,     0.000,     0.000,    24.300,    21.800,    15.500,     0.000, 10
   0.305,     0.000,     5.600,    22.400,    35.800,    34.500,    32.600,    30.900,    34.100,    38.900,    29.200,    32.900,    27.000,    34.100,    42.800,    29.400,    27.800,    28.100,    30.400,    38.600,    37.500,    57.800,    36.900,    31.400,    31.400,    30.200,    21.700,    14.200,    27.900,    26.900,    27.600,    24.900,    27.700,    21.700,    25.800,    25.900,    28.600,    32.700,    30.600,    27.400,    17.200,    17.300,    19.600,    30.400,    30.600,    33.000,     0.000,     0.000,    21.200,    19.200,    13.100,     0.000, 11
   0.305,     0.000,     5.000,     5.000,    13.200,    27.400,    22.400,    19.200,    24.900,    28.600,    22.700,    24.000,    20.600,    27.100,    29.000,    17.800,    11.300,     5.000,    13.100,    28.400,    30.900,    47.800,    27.200,    27.900,    24.400,    17.700,    14.900,     8.200,    20.700,    19.400,    17.100,    20.100,    22.700,    19.100,    21.100,    22.600,    24.800,    27.900,    27.100,    22.100,    14.300,    15.900,    18.800,    26.500,    26.900,    30.100,     0.000,     0.000,    16.000,    12.800,     9.700,     0.000, 12
   0.305,     0.000,     0.000,     0.000,     0.000,    17.700,     6.300,     0.000,    14.600,    16.000,    14.300,    14.900,    12.600,    17.400,    16.000,     5.000,     0.000,     0.000,     0.000,    14.700,    24.200,    33.800,    11.000,    23.900,    14.300,     0.000,     0.000,     5.000,    11.700,    11.100,    13.000,    14.600,    14.700,    15.300,    16.300,    18.900,    19.700,    23.100,    23.300,    18.300,    11.600,    12.200,    12.400,    21.400,    22.900,    26.900,     0.000,     0.000,     0.000,     5.000,     5.000,     0.000, 13
   0.305,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     7.000,    22.400,     0.000,    19.800,     5.200,     0.000,     0.000,     0.000,     0.000,     0.000,     7.300,     8.400,     5.200,     5.600,     8.200,    14.600,    12.800,    17.600,    18.600,    13.300,    11.600,    11.000,    11.000,    12.700,    17.100,    22.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000, 14
   0.305,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    14.300,     5.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,     5.000,     8.900,    12.600,     9.700,     0.000,     0.000,     0.000,     9.000,    10.700,    17.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000, 15
   0.305,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,     5.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     9.000,    12.300,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000, 16
   0.305,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000, 17
