$T cdh_br1.csv head boundary concentrations with no startification,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
JDAY,TDS,TRACER,Age,Coliform,ISS,PO4,NH4,NO3,LDOM,RDOM,LPOM,ALG1,Do,TIC,ALK
1,0,0,0,3300,0,0.05,0.1,0.3,5,0,0,0.06,9.31,0,0
365,0,0,0,3300,0,0.05,0.1,0.3,5,0,0,0.06,9.31,0,0
